command_type,param_06,param_05,param_03,drama_id,param_01,param_07,param_04,command_id,param_02,param_08
1,1.5,-150,115,101,1,0,-100,101001,111831,nop_idle_joy1
1,1.5,-150,114,101,1,1,100,101002,120731,nop_idle_normal_joy
1,1.5,-127,111,101,1,0,-215,101003,120831,nop_idle_arm_crossed
1,1.5,-127,110,101,1,1,215,101004,111931,nop_idle_normal
1,1.5,-150,113,101,1,0,-330,101005,120931,nop_idle_thinking
1,1.5,-150,112,101,1,1,330,101006,112031,nop_idle_normal
1,1.5,-150,115,102,1,0,-100,102001,108731,nop_idle_joy1
1,1.5,-150,114,102,1,1,100,102002,108831,nop_idle_joy_normal
1,1.5,-127,111,102,1,0,-215,102003,108931,nop_idle_normal
1,1.5,-135,113,103,1,0,-100,103001,102011,nop_idle_joy1
1,1.5,-150,115,103,1,0,-215,103002,100411,nop_idle_normal
1,1.5,-143,114,103,1,1,100,103003,103631,nop_idle_wish
1,1.5,-150,115,104,1,0,-100,104001,101231,nop_idle_normal
1,1.5,-150,114,104,1,1,100,104002,104011,nop_idle_normal
1,1.5,-127,111,104,1,0,-215,104003,101511,nop_idle_normal
1,1.5,-135,113,105,1,0,-100,105001,103111,nop_idle_normal
1,1.5,-135,111,105,1,1,100,105002,102211,nop_idle_sad
1,1.5,-150,115,105,1,0,-215,105003,100711,nop_05_miyako_idle_normal
1,1.5,-150,112,105,1,1,215,105004,100611,nop_idle_joy1
5,1.5,-135,114,105,1,1,-25,105005,2051,nop_skull_idle
1,1.5,-150,115,106,1,0,-215,106001,104731,nop_idle_arm_crossed
1,1.5,-150,114,106,1,1,215,106002,107131,nop_idle_arm_crossed
1,1.5,-135,111,106,1,0,-100,106003,103731,nop_idle_normal
1,1.5,-135,110,106,1,1,100,106004,100511,nop_idle_joy1
1,1.5,-150,115,107,1,0,-100,107001,102831,nop_idle_normal
1,1.5,-150,114,107,1,1,100,107002,102111,nop_idle_normal
1,1.5,-127,111,107,1,0,-215,107003,102511,nop_idle_normal
1,1.5,-127,110,107,1,1,215,107004,102311,nop_idle_normal
1,1.5,-150,115,108,1,0,-100,108001,101011,nop_idle_joy_normal
1,1.5,-150,114,108,1,1,100,108002,104331,nop_idle_arm_crossed
1,1.5,-127,111,108,1,0,-215,108003,101711,nop_idle_joy1
1,1.5,-127,110,108,1,1,215,108004,101431,nop_idle_normal
1,1.5,-150,115,109,1,0,-100,109001,103311,nop_idle_joy1
1,1.5,-127,111,109,1,0,-215,109002,105211,nop_idle_joy_normal
1,1.5,-150,114,109,1,1,100,109003,102611,nop_idle_sad2
1,1.5,-127,110,109,1,1,215,109004,103811,nop_idle_normal
1,1.5,-150,115,110,1,0,-100,110001,103231,nop_idle_joy1
1,1.5,-127,110,110,1,1,215,110002,103411,nop_10_yukari_02
5,1.5,-127,111,110,1,1,215,110003,11,nop_10_yukari_02
1,1.5,-150,114,110,1,1,100,110004,104811,nop_idle_doya
1,1.5,-127,111,110,1,0,-215,110005,104611,nop_idle_joy_normal
1,1.5,-150,115,111,1,0,-100,111001,100911,nop_11_anna_idle_arm_crossed
1,1.5,-150,114,111,1,1,100,111002,101311,nop_idle_joy_normal
1,1.5,-127,111,111,1,0,-215,111003,102711,nop_11_eriko_idle_wish
1,1.5,-127,110,111,1,1,215,111004,105111,nop_idle_normal
1,1.5,-143,115,112,1,1,100,112001,101831,nop_idle_joy1
1,1.5,-135,110,112,1,0,-100,112002,101611,nop_idle_joy_normal
1,1.5,-150,114,112,1,0,-215,112003,105011,nop_idle_joy_normal
1,1.5,-150,113,113,1,1,100,113001,105331,nop_idle_normal_joy
1,1.5,-150,114,113,1,0,-100,113002,104511,nop_13_kuka_idle_memory2
1,1.5,-127,110,113,1,0,-215,113003,103031,nop_idle_joy1
1,1.5,-150,111,113,1,0,-330,113004,100811,nop_idle_thinking
1,1.5,-150,115,113,1,1,240,113005,105511,nop_idle_sad
1,1.5,-150,115,114,1,1,100,114001,106831,nop_idle_normal
1,1.5,-150,114,114,1,0,-100,114002,101131,nop_idle_normal
