relay_story_id,is_enable_read,sub_title,story_seq,condition_quest_id
1001001,1,"리마 인터뷰",1,20021103
1001002,1,"캬루 인터뷰",2,20021103
1001003,1,"타마키 인터뷰",3,20021103
1001004,1,"토모 인터뷰",4,20021103
1002001,1,"크리스티나·아키노 인터뷰",5,20021105
1002002,1,"시오리·쿄우카 인터뷰",6,20021105
1002003,1,"페코린느 인터뷰",7,20021105
1002004,1,"모니카 인터뷰",8,20021105
1003001,1,"아유미 인터뷰",9,20021109
1003002,1,"린 인터뷰",10,20021109
1003003,1,"미소기 인터뷰",11,20021109
1003004,1,"쥰 인터뷰",12,20021109
1004001,1,"미미 인터뷰",13,20021113
1004002,1,"스즈메 인터뷰",14,20021113
1004003,1,"유카리 인터뷰",15,20021113
1004004,1,"마츠리 인터뷰",16,20021113
2001001,1,"1구역 레이스 시작 전",17,20021102
2001002,1,"1구역 레이스 종료 후",18,20021103
2002001,1,"2구역 레이스 시작 전",19,20021105
2002002,1,"2구역 레이스 종료 후",20,20021105
2003001,1,"3구역 레이스 시작 전",21,20021107
2003002,1,"3구역 레이스 종료 후",22,20021109
2004001,1,"4구역 레이스 시작 전",23,20021109
2004002,1,"4구역 레이스 종료 후",24,20021113
3001001,1,"미식전 길드 소개",25,20021102
3001002,1,"왕궁기사단 길드 소개",26,20021102
3001003,1,"리틀 리리컬 길드 소개",27,20021102
3001004,1,"바이스플뤼겔 길드 소개",28,20021102
3001005,1,"메르쿠리우스 재단 길드 소개",29,20021102
3001006,1,"엘리자베스 파크 길드 소개",30,20021102
3002001,1,"미식전 레이스 소감",31,20021115
3002002,1,"왕궁기사단 레이스 소감",32,20021115
3002003,1,"리틀 리리컬 레이스 소감",33,20021115
3002004,1,"바이스플뤼겔 레이스 소감",34,20021115
3002005,1,"메르쿠리우스 재단 레이스 소감",35,20021115
3002006,1,"엘리자베스 파크 레이스 소감",36,20021115
4001001,1,"1구역 하이라이트 1",37,20021103
4001002,1,"1구역 하이라이트 2",38,20021103
4001003,1,"1구역 하이라이트 3",39,20021103
4002001,1,"2구역 하이라이트 1",40,20021105
4002002,1,"2구역 하이라이트 2",41,20021105
4002003,1,"2구역 하이라이트 3",42,20021105
4003001,1,"3구역 하이라이트 1",43,20021107
4003002,1,"3구역 하이라이트 2",44,20021107
4004001,1,"4구역 하이라이트 1",45,20021109
4004002,1,"4구역 하이라이트 2",46,20021111
4004003,1,"4구역 하이라이트 3",47,20021111
4004004,1,"4구역 하이라이트 4",48,20021113
