start_offset_x,type,bg_id,wac_id,date_id,end_offset_x
-1480,1,1,2816,11,-1480
-1400,1,1,2816,21,-1302
-1302,1,1,2816,31,-1263
-1263,1,1,2816,41,-1224
-1224,1,1,2816,51,-1185
-1185,1,1,2816,61,-1146
-1146,1,1,2816,71,-1146
-1146,1,1,2816,81,-1146
-1146,1,1,2816,91,-1107
-1107,1,1,2816,101,-1068
-1068,1,1,2816,111,-1029
-1029,1,1,2816,121,-1029
-1029,1,1,2816,131,-1029
-1029,1,1,2816,141,-1029
-1029,1,1,2816,151,-988
-988,1,1,2816,161,-947
-947,1,1,2816,171,-906
-906,1,1,2816,181,-865
-865,1,1,2816,191,-865
-865,1,1,2816,201,-865
-865,1,1,2816,211,-824
-824,1,1,2816,221,-783
-783,1,1,2816,231,-742
-742,1,1,2816,241,-701
-701,1,1,2816,251,-660
-660,1,1,2816,261,-619
-619,1,1,2816,271,-619
-619,1,1,2816,281,-619
-619,1,1,2816,291,-619
-619,1,1,2816,301,-578
-578,1,1,2816,311,-537
-537,1,1,2816,321,-496
-496,1,1,2816,331,-496
-496,1,1,2816,341,-496
-496,1,1,2816,351,-496
-496,1,1,2816,361,-455
-455,1,1,2816,371,-414
-414,1,1,2816,381,-373
-373,1,1,2816,391,-332
-332,1,1,2816,401,-332
-332,1,1,2816,411,-332
-332,1,1,2816,421,-200
-1246,2,2,2816,431,-1181
-1181,2,2,2816,441,-1152
-1152,2,2,2816,451,-1152
-1152,2,2,2816,461,-1123
-1123,2,2,2816,471,-1094
-1094,2,2,2816,481,-1094
-1094,2,2,2816,491,-1065
-1065,2,2,2816,501,-1065
-1065,2,2,2816,511,-1036
-1036,2,2,2816,521,-1036
-1036,2,2,2816,531,-1007
-1007,2,2,2816,541,-978
-978,2,2,2816,551,-978
-978,2,2,2816,561,-949
-949,2,2,2816,571,-920
-920,2,2,2816,581,-891
-891,2,2,2816,591,-862
-862,2,2,2816,601,-862
-862,2,2,2816,611,-862
-862,2,2,2816,621,-862
-862,2,2,2816,631,-833
-833,2,2,2816,641,-804
-804,2,2,2816,651,-775
-775,2,2,2816,661,-746
-746,2,2,2816,671,-717
-717,2,2,2816,681,-688
-688,2,2,2816,691,-659
-659,2,2,2816,701,-630
-630,2,2,2816,711,-601
-601,2,2,2816,721,-572
-572,2,2,2816,731,-543
-543,2,2,2816,741,-514
-514,2,2,2816,751,-449
-1226,2,3,2816,761,-1153
-1153,2,3,2816,771,-1115
-1115,2,3,2816,781,-1115
-1115,2,3,2816,791,-1077
-1077,2,3,2816,801,-1077
-1077,2,3,2816,811,-1039
-1039,2,3,2816,821,-1001
-1001,2,3,2816,831,-1001
-1001,2,3,2816,841,-963
-963,2,3,2816,851,-963
