clear_reward_group_id,wave_group_id,limit_time,quest_id,release_time
275000001,750000011,90,75000001,"2025/11/18 14:00:00"
275000002,750000021,90,75000002,"2025/11/18 14:00:00"
275000003,750000031,90,75000003,"2025/11/18 14:00:00"
275000004,750000041,90,75000004,"2025/11/18 14:00:00"
275000005,750000051,90,75000005,"2025/11/18 14:00:00"
275000006,750000061,90,75000006,"2025/11/18 14:00:00"
275000007,750000071,90,75000007,"2025/11/18 14:00:00"
275000008,750000081,90,75000008,"2025/11/18 14:00:00"
275000009,750000091,90,75000009,"2026/03/09 05:00:00"
275000010,750000101,90,75000010,"2026/03/09 05:00:00"
275000011,750000111,90,75000011,"2026/03/09 05:00:00"
275000012,750000121,90,75000012,"2026/03/09 05:00:00"
