condition_num,description,category_icon,mission_id,system_id,navigation,disp_group,mission_reward_id,mission_condition,premise_cleared_mission_id
20,"부품을 20개 획득하자",1,10000,3,1,100,1,1,0
25,"부품을 25개 획득하자",1,10001,3,2,100,2,1,0
30,"부품을 30개 획득하자",1,10002,3,2,100,3,1,0
35,"부품을 35개 획득하자",1,10003,3,3,100,4,1,0
40,"부품을 40개 획득하자",1,10004,3,3,100,5,1,0
45,"부품을 45개 획득하자",1,10005,3,4,100,6,1,0
50,"부품을 50개 획득하자",1,10006,3,4,100,7,1,0
1500,"총 전력을 1500 이상으로 만들자",1,20000,2,3,101,101,2,0
2000,"총 전력을 2000이상으로 만들자",1,20001,2,3,101,102,2,0
2500,"총 전력을 2500이상으로 만들자",1,20002,2,3,101,103,2,0
3000,"총 전력을 3000이상으로 만들자",1,20003,2,3,101,104,2,0
3500,"총 전력을 3500이상으로 만들자",1,20004,2,3,101,105,2,0
4000,"총 전력을 4000이상으로 만들자",1,20005,2,4,101,106,2,0
4500,"총 전력을 4500이상으로 만들자",1,20006,2,4,101,107,2,0
5000,"총 전력을 5000이상으로 만들자",1,20007,2,4,101,108,2,0
6000,"총 전력을 6000이상으로 만들자",1,20008,2,4,101,109,2,0
7000,"총 전력을 7000이상으로 만들자",1,20009,2,4,101,110,2,0
8000,"총 전력을 8000이상으로 만들자",1,20010,2,5,101,111,2,0
9000,"총 전력을 9000이상으로 만들자",1,20011,2,5,101,112,2,0
10000,"총 전력을 10000이상으로 만들자",1,20012,2,5,101,600,2,0
100,"배틀 포인트를 누적 100pt 획득하자",2,30000,4,2,200,201,3,0
200,"배틀 포인트를 누적 200pt 획득하자",2,30001,4,2,200,202,3,0
300,"배틀 포인트를 누적 300pt 획득하자",2,30002,4,2,200,203,3,0
400,"배틀 포인트를 누적 400pt 획득하자",2,30003,4,2,200,204,3,0
500,"배틀 포인트를 누적 500pt 획득하자",2,30004,4,2,200,205,3,0
600,"배틀 포인트를 누적 600pt 획득하자",2,30005,4,3,200,206,3,0
700,"배틀 포인트를 누적 700pt 획득하자",2,30006,4,3,200,207,3,0
800,"배틀 포인트를 누적 800pt 획득하자",2,30007,4,3,200,208,3,0
900,"배틀 포인트를 누적 900pt 획득하자",2,30008,4,3,200,209,3,0
1000,"배틀 포인트를 누적 1000pt 획득하자",2,30009,4,3,200,210,3,0
5,"후부키로부터 부품을 5개 획득하자",4,50000,1,7,400,401,5,0
10,"후부키에게서 10개 부품을 획득하자",4,50001,1,7,400,402,5,0
15,"후부키에게서 15개 부품을 획득하자",4,50002,1,7,400,403,5,0
20,"후부키에게서 20개 부품을 획득하자",4,50003,1,7,400,404,5,0
25,"후부키에게서 25개 부품을 획득하자",4,50004,1,7,400,405,5,0
30,"후부키에게서 30개 부품을 획득하자",4,50005,1,7,400,406,5,0
35,"후부키에게서 35개 부품을 획득하자",4,50006,1,7,400,407,5,0
40,"후부키에게서 40개 부품을 획득하자",4,50007,1,7,400,408,5,0
45,"후부키에게서 45개 부품을 획득하자",4,50008,1,7,400,409,5,0
50,"후부키에게서 50개 부품을 획득하자",4,50009,1,6,400,700,5,0
800,"배틀 포인트를 800pt 획득하자 (몇 번이든)",2,60000,4,7,209,999,6,30009
14,"스테이지 14를 클리어하자",3,70000,3,6,300,799,7,0
50,"스테이지 50을 클리어하자",3,70001,3,8,301,800,7,0
