ub_value_1,ub_value_4,in_game_description,top_description,ub_value_3,ub_value_2,ub_type,ub_id
3,0,"단시간, 장애물 배리어를 전개!","단시간, 장애물 배리어를 전개한다(TP 상승률: 대)",0,0,2001,101
5,0,"중시간, 스피드와 점프 (소) 증가!","중시간, 스피드와 점프를 (소) 증가(TP 상승률: 소)",5,5,3,102
4,0,"단시간, 스피드 (중) 증가!","단시간, 스피드를 (중) 증가(TP 상승률: 중)",0,6,1,103
5,0,"중시간, 장애물 배리어를 전개!","중시간, 장애물 배리어를 전개한다(TP 상승률: 소)",0,0,2001,104
6,0,"중시간, 스피드 (소) 증가!","중시간, 스피드를 (소) 증가(TP 상승률: 소)",0,3,1,105
6,0,"중시간, 대전 상대의 스피드 (소) 감소!","중시간, 대전 상대의 스피드를 (소) 감소(TP 상승률: 대)",0,4,1001,106
5,0,"중시간, 스피드와 점프 (특대) 증가!","중시간, 스피드와 점프를 (특대) 증가(TP 상승률: 소)",16,17,3,107
40,0,"라운드 중, 스피드 (중) 증가!","라운드 중, 스피드를 (중) 증가(TP 상승률: 소)",0,8,1,108
4,0,"단시간, 스피드 (특대) 증가!","단시간, 스피드를 (특대) 증가(TP 상승률: 특소)",0,30,1,109
40,0,"라운드 중, 대전 상대가 크게 감속!","라운드 중, 대전 상대의 스피드를 (중) 감소(TP 상승률: 소)",0,10,1001,110
1,0,"초단시간, 장애물 배리어를 전개!","초단시간, 장애물 배리어를 전개한다(TP 상승률: 대)",0,0,2001,111
4,0,"단시간, 선두인 대전 상대가 크게 감속!","단시간, 선두인 대전 상대의 스피드를 (대) 감소(TP 상승률: 소)",0,15,1004,112
6,0,"중시간, 스피드 (소) 증가!","중시간, 스피드를 (소) 증가(TP 상승률: 대)",0,5,1,113
5,0,"중시간, 점프 (소) 증가!","중시간, 점프를 (소) 증가(TP 상승률: 대)",0,5,2,114
7,0,"장시간, 배리어로 능력 감소를 막는다!","장시간, 능력 감소를 막는 배리어를 전개한다(TP 상승률: 특대)",0,0,2002,115
25,0,"누적으로 스피드 (소) 증가!","누적으로 스피드를 (소) 증가(TP 상승률: 특대)",0,3,1,116
25,0,"누적으로 대전 상대가 조금 감속!","누적으로 대전 상대의 스피드를 (소) 감소(TP 상승률: 특대)",0,3,1001,117
7,0,"장시간, 스피드와 점프 (특대) 증가!","장시간, 스피드와 점프를 (특대) 증가(TP 상승률: 중)",20,30,3,118
4,0,"단시간, 선두인 대전 상대가 크게 감속!","단시간, 선두인 대전 상대의 스피드를 (대) 감소(TP 상승률: 중)",0,15,1004,119
7,0,"장시간, 배리어로 능력 감소를 막는다!","장시간, 능력 감소를 막는 배리어를 전개한다(TP 상승률: 대)",0,0,2002,120
12,0,"장시간, 점프 (특대) 증가!","장시간, 점프를 (특대) 증가(TP 상승률: 중)",0,30,2,121
30,0,"누적으로 선두인 대전 상대가 크게 감속!","누적으로 선두인 대전 상대의 스피드를 (대) 감소(TP 상승률: 중)",0,15,1004,122
4,8,"단시간 크게 가속한 후 초단시간 감속!","단시간 스피드 (대) 증가 후, 스피드 감소(TP 상승률: 대)",2,11,4,123
8,0,"장시간, 스피드 (중) 증가!","장시간, 스피드를 (중) 증가(TP 상승률: 대)",0,9,1,124
4,0,"단시간, 장애물 배리어를 전개!","단시간, 장애물 배리어를 전개한다(TP 상승률: 중)",0,0,2001,125
30,0,"누적으로 대전 상대가 조금 감속!","누적으로 대전 상대의 스피드를 (소) 감소(TP 상승률: 특대)",0,3,1001,126
10,0,"장시간, 스피드 (특대) 증가!","장시간, 스피드를 (특대) 증가(TP 상승률: 특소)",0,22,1,127
4,0,"단시간, 점프 (특대) 증가!","단시간, 점프를 (특대) 증가 (TP 상승률: 대)",0,30,2,128
3,0,"단시간, 대전 상대의 스피드 (특대) 감소!","단시간, 대전 상대의 스피드를 (특대) 감소(TP 상승률: 대)",0,20,1001,129
4,0,"단시간, 스피드 (특대) 증가!","단시간, 스피드를 (특대) 증가 (TP 상승률: 대)",0,30,1,130
