seq_num,id,command,line_num,end_pos,seek_time,story_id,type,sheet_name,cue_name,start_pos,command_param
1,1010001,3,0,0,0.0,1,4,0,0,0,1.0
2,1010002,0,0,0,0.0,1,2,vo_minigame_1005,vo_minigame_1005_nikki01_000,0,0.0
3,1010003,0,1,125,1.418,1,1,0,0,0,0.0
4,1010004,1,0,0,0.0,1,4,0,0,0,1.858
5,1010005,0,2,316,2.536,1,1,0,0,0,0.0
6,1010006,1,0,0,0.0,1,4,0,0,0,3.484
7,1010007,0,0,0,0.0,1,2,vo_minigame_1005,vo_minigame_1005_nikki01_001,0,0.0
8,1010008,0,3,121,1.131,1,1,0,0,0,0.0
9,1010009,1,0,0,0.0,1,4,0,0,0,1.407
10,1010010,0,3,259,1.043,1,1,0,0,121,0.0
11,1010011,1,0,0,0.0,1,4,0,0,0,1.719
12,1010012,0,3,389,0.69,1,1,0,0,259,0.0
13,1010013,1,0,0,0.0,1,4,0,0,0,0.69
14,1010014,0,4,163,1.694,1,1,0,0,0,0.0
15,1010015,1,0,0,0.0,1,4,0,0,0,2.204
16,1010016,0,4,343,1.298,1,1,0,0,163,0.0
17,1010017,1,0,0,0.0,1,4,0,0,0,1.298
18,1010018,0,5,131,1.118,1,1,0,0,0,0.0
19,1010019,1,0,0,0.0,1,4,0,0,0,1.199
20,1010020,0,5,210,0.958,1,1,0,0,131,0.0
21,1010021,1,0,0,0.0,1,4,0,0,0,1.269
22,1010022,0,5,316,1.373,1,1,0,0,210,0.0
23,1010023,1,0,0,0.0,1,4,0,0,0,1.373
24,1010024,0,6,1,0.193,1,1,0,0,0,0.0
25,1010025,1,0,0,0.0,1,4,0,0,0,0.552
26,1010026,0,6,338,2.64,1,1,0,0,1,0.0
27,1010027,1,0,0,0.0,1,4,0,0,0,3.195
28,1010028,0,7,96,0.599,1,1,0,0,0,0.0
29,1010029,1,0,0,0.0,1,4,0,0,0,0.929
30,1010030,0,7,301,1.302,1,1,0,0,96,0.0
31,1010031,1,0,0,0.0,1,4,0,0,0,2.395
32,1010032,0,0,0,0.0,1,2,vo_minigame_1005,vo_minigame_1005_nikki01_002,0,0.0
33,1010033,0,8,215,2.09,1,1,0,0,0,0.0
34,1010034,1,0,0,0.0,1,4,0,0,0,2.512
35,1010035,0,8,330,0.868,1,1,0,0,215,0.0
36,1010036,1,0,0,0.0,1,4,0,0,0,0.907
37,1010037,0,9,136,2.214,1,1,0,0,0,0.0
38,1010038,1,0,0,0.0,1,4,0,0,0,2.562
39,1010039,0,9,283,1.65,1,1,0,0,136,0.0
40,1010040,1,0,0,0.0,1,4,0,0,0,2.654
41,1010041,0,0,0,0.0,1,2,vo_minigame_1005,vo_minigame_1005_nikki01_003,0,0.0
42,1010042,0,9,370,0.685,1,1,0,0,283,0.0
43,1010043,1,0,0,0.0,1,4,0,0,0,1.036
44,1010044,0,9,371,0.378,1,1,0,0,370,0.0
45,1010045,1,0,0,0.0,1,4,0,0,0,0.378
46,1010046,0,10,350,2.438,1,1,0,0,0,0.0
47,1010047,1,0,0,0.0,1,4,0,0,0,3.395
48,1010048,0,0,0,0.0,1,2,vo_minigame_1005,vo_minigame_1005_nikki01_004,0,0.0
49,1010049,0,11,83,0.642,1,1,0,0,0,0.0
50,1010050,1,0,0,0.0,1,4,0,0,0,1.061
51,1010051,0,11,126,0.539,1,1,0,0,83,0.0
52,1010052,1,0,0,0.0,1,4,0,0,0,0.877
53,1010053,0,11,260,1.135,1,1,0,0,126,0.0
54,1010054,1,0,0,0.0,1,4,0,0,0,2.635
1,1020001,3,0,0,0.0,2,4,0,0,0,1.0
2,1020002,0,0,0,0.0,2,2,vo_minigame_1005,vo_minigame_1005_nikki02_000,0,0.0
3,1020003,0,1,300,2.91,2,1,0,0,0,0.0
4,1020004,1,0,0,0.0,2,4,0,0,0,3.814
5,1020005,0,0,0,0.0,2,2,vo_minigame_1005,vo_minigame_1005_nikki02_001,0,0.0
6,1020006,0,2,128,1.67,2,1,0,0,0,0.0
7,1020007,1,0,0,0.0,2,4,0,0,0,2.19
8,1020008,0,2,340,2.455,2,1,0,0,128,0.0
9,1020009,1,0,0,0.0,2,4,0,0,0,3.527
10,1020010,0,0,0,0.0,2,2,vo_minigame_1005,vo_minigame_1005_nikki02_002,0,0.0
11,1020011,0,3,43,0.454,2,1,0,0,0,0.0
12,1020012,1,0,0,0.0,2,4,0,0,0,0.874
13,1020013,0,3,227,2.154,2,1,0,0,43,0.0
14,1020014,1,0,0,0.0,2,4,0,0,0,3.373
15,1020015,0,0,0,0.0,2,2,vo_minigame_1005,vo_minigame_1005_nikki02_003,0,0.0
16,1020016,0,4,58,0.895,2,1,0,0,0,0.0
17,1020017,1,0,0,0.0,2,4,0,0,0,1.311
18,1020018,0,4,180,1.114,2,1,0,0,58,0.0
19,1020019,1,0,0,0.0,2,4,0,0,0,1.181
