drama_id,param_05,param_07,param_03,param_01,param_02,param_04,param_08,param_06,command_type,command_id
1,-194,1,100,1,122611,40,sjr_talk_idle,1.65,1,1001
1,"","",1,122611,sjr_talk_wish_look,"","",0.2,3,1002
1,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_001,0,"","",21,1003
1,0,0,10,122611,"기사 군… 지켜봐 줘\n나, 열심히\n달릴 테니까…!",1,1,0,11,1004
1,"","","",0,"","","","",91,1005
1,"","",1,122611,sjr_talk_idle,"","",0.2,3,1006
2,-194,1,100,1,122611,40,sjr_talk_idle,1.65,1,2001
2,"","",1,122611,sjr_talk_mouth_hidden_shy,"","",0.2,3,2002
2,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_002,0,"","",21,2003
2,0,0,7,122611,"수영복을 입은 채 달린다고…?\n으으… 부끄러워…\n혹시 벗겨지거나 하면\n어쩌지…",1,1,0,11,2004
2,"","","",0,"","","","",91,2005
2,"","",1,122611,sjr_talk_idle,"","",0.2,3,2006
3,-194,1,100,1,122611,40,sjr_talk_idle,1.65,1,3001
3,1,0,0,122611,sjr_talk_stepback_surprise_worry,sjr_talk_stepback_worry,"",0.2,3,3002
3,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_003,0,"","",21,3003
3,0,0,8,122611,"저, 저 사람, 무척\n빠를 것 같아…!\n나, 이길 수 있을까…",1,1,0,11,3004
3,"","","",0,"","","","",91,3005
3,"","",1,122611,sjr_talk_idle,"","",0.2,3,3006
4,-194,1,100,1,122611,40,sjr_talk_idle,1.65,1,4001
4,"","",1,122611,sjr_talk_thinking_surprise,"","",0.2,3,4002
4,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_004,0,"","",21,4003
4,0,0,6,122611,"특이한 코스가\n잔뜩 있네\n어디에 출전할까…",1,1,0,11,4004
4,"","","",0,"","","","",91,4005
4,"","",1,122611,sjr_talk_idle,"","",0.2,3,4006
5,-194,1,100,1,122611,40,sjr_talk_idle,1.65,1,5001
5,1,0,0,122611,sjr_talk_guts2_anger,sjr_talk_guts2_anger_loop,"",0.2,3,5002
5,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_005,0,"","",21,5003
5,0,0,7,122611,"레이와 히요리…\n두 사람에게 지지 않도록\n나도 최선을 다해서…!",1,1,0,11,5004
5,"","","",0,"","","","",91,5005
5,"","",1,122611,sjr_talk_idle,"","",0.2,3,5006
6,-194,1,100,1,122511,40,sjr_talk_idle,1.65,1,6001
6,1,0,0,122511,sjr_talk_arm_crossed_joy_look,sjr_talk_arm_crossed_look_loop,"",0.2,3,6002
6,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_006,0,"","",21,6003
6,0,0,6,122511,"이렇게 서로 겨루는\n것도 좋네\n너도 응원\n잘 부탁해",1,1,0,11,6004
6,"","","",0,"","","","",91,6005
6,"","",1,122511,sjr_talk_idle,"","",0.2,3,6006
7,-194,1,100,1,122511,40,sjr_talk_idle,1.65,1,7001
7,"","",1,122511,sjr_talk_mouth_hidden2_shy,"","",0.2,3,7002
7,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_007,0,"","",21,7003
7,0,0,6,122511,"이런 차림으로 달리는 건\n좀 부끄럽네…\n너무 보지 말아 줘…",1,1,0,11,7004
7,"","","",0,"","","","",91,7005
7,"","",1,122511,sjr_talk_idle,"","",0.2,3,7006
8,-194,1,100,1,122511,40,sjr_talk_idle,1.65,1,8001
8,"","",1,122511,sjr_talk_mouth_hidden,"","",0.2,3,8002
8,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_008,0,"","",21,8003
8,0,0,6,122511,"헤에, 강자가 모두\n모인 것 같네\n이건 나도 최선을 다해\n임해야겠어…!",1,1,0,11,8004
8,"","","",0,"","","","",91,8005
8,"","",1,122511,sjr_talk_idle,"","",0.2,3,8006
9,-194,1,100,1,122511,40,sjr_talk_idle,1.65,1,9001
9,"","",1,122511,sjr_talk_stepback_surprise,"","",0.2,3,9002
9,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_009,0,"","",21,9003
9,0,0,6,122511,"코스에는 장애물과\n마물이…?\n비치 플래그스라는 게\n이런 경기였나",1,1,0,11,9004
9,"","","",0,"","","","",91,9005
9,"","",1,122511,sjr_talk_idle,"","",0.2,3,9006
10,-194,1,100,1,122511,40,sjr_talk_idle,1.65,1,10001
10,"","",1,122511,sjr_talk_thinking_blink,"","",0.2,3,10002
10,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_010,0,"","",21,10003
10,0,0,5,122511,"유이는 괜찮으려나\n히요리는 기뻐할 것\n같지만…\n아니, 믿어야겠지",1,1,0,11,10004
10,"","","",0,"","","","",91,10005
10,"","",1,122511,sjr_talk_idle,"","",0.2,3,10006
11,-194,1,100,1,122411,40,sjr_talk_idle,1.65,1,11001
11,1,0,0,122411,sjr_talk_eieio,sjr_talk_eieio_loop,"",0.2,3,11002
11,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_011,0,"","",21,11003
11,0,0,6,122411,"준비운동도 완벽!\n내가 1등\n할 테니까~!",1,1,0,11,11004
11,"","","",0,"","","","",91,11005
11,"","",1,122411,sjr_talk_idle,"","",0.2,3,11006
12,-194,1,100,1,122411,40,sjr_talk_idle,1.65,1,12001
12,"","",1,122411,sjr_talk_arm_opened_wink,"","",0.2,3,12002
12,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_012,0,"","",21,12003
12,0,0,6,122411,"엣헤헤~!\n수영복은 움직이기 편해서\n좋다니까~!\n신바람 난다~!",1,1,0,11,12004
12,"","","",0,"","","","",91,12005
12,"","",1,122411,sjr_talk_idle,"","",0.2,3,12006
13,-194,1,100,1,122411,40,sjr_talk_idle,1.65,1,13001
13,1,0,0,122411,sjr_talk_doya,sjr_talk_doya_loop,"",0.2,3,13002
13,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_013,0,"","",21,13003
13,0,0,8,122411,"앗, 곤란해하는\n사람 발견~!\n곤란할 때는 서로\n도와야지♪",1,1,0,11,13004
13,"","","",0,"","","","",91,13005
13,"","",1,122411,sjr_talk_idle,"","",0.2,3,13006
14,-194,1,100,1,122411,40,sjr_talk_idle,1.65,1,14001
14,1,0,0,122411,sjr_talk_watch_arm_opened,sjr_talk_swing_joy,"",0.2,3,14002
14,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_014,0,"","",21,14003
14,0,0,7,122411,"어떤 코스를\n달릴까~♪\n다 재밌을 것 같아~!\n빨리하고 싶다~!",1,1,0,11,14004
14,"","","",0,"","","","",91,14005
14,"","",1,122411,sjr_talk_idle,"","",0.2,3,14006
15,-194,1,100,1,122411,40,sjr_talk_idle,1.65,1,15001
15,"","",1,122411,sjr_talk_wish_doya,"","",0.2,3,15002
15,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_1_015,0,"","",21,15003
15,0,0,7,122411,"유이하고 레이 씨\n두 사람과 함께\n겨루고 싶다!",1,1,0,11,15004
15,"","","",0,"","","","",91,15005
15,"","",1,122411,sjr_talk_idle,"","",0.2,3,15006
16,-194,1,100,1,122611,72,sjr_talk_idle,1.65,1,16001
16,-194,0,100,1,122511,-72,sjr_talk_idle,1.65,1,16002
16,"","",1,122611,sjr_talk_wish_doya,"","",0.2,3,16003
16,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_001,0,"","",21,16004
16,0,0,5,122611,"레이\n서로 최선을 다해 달리자\n난 진심으로 임할 테니까",1,1,0,11,16005
16,"","","",0,"","","","",91,16006
16,"","",1,122611,sjr_talk_idle,"","",0.2,3,16007
16,1,0,0,122511,sjr_talk_arm_crossed_normal_joy,sjr_talk_arm_crossed_joy_loop,"",0.2,3,16008
16,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_002,0,"","",21,16009
16,0,0,6,122511,"유이… 제법 큰소리를\n치게 됐는데\n후훗, 그렇다면 나도\n그 패기에 응할게",1,0.5,0,11,16010
16,"","","",0,"","","","",91,16011
16,"","",1,122511,sjr_talk_idle,"","",0.2,3,16012
17,-194,1,100,1,122611,72,sjr_talk_idle,1.65,1,17001
17,-194,0,100,1,122511,-72,sjr_talk_idle,1.65,1,17002
17,"","",1,122511,sjr_talk_worry_shy,"","",0.2,3,17003
17,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_003,0,"","",21,17004
17,0,0,6,122511,"있잖아, 유이\n수영복 입고 달리는 건\n좀…",1,0.5,0,11,17005
17,"","","",0,"","","","",91,17006
17,"","",1,122511,sjr_talk_idle,"","",0.2,3,17007
17,"","",1,122611,sjr_talk_wish_shy,"","",0.2,3,17008
17,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_004,0,"","",21,17009
17,0,0,5,122611,"응, 부끄럽지\n기사 군이\n본다고 생각하면…\n…으으~~~!",1,0.5,0,11,17010
17,"","","",0,"","","","",91,17011
17,"","",1,122611,sjr_talk_idle,"","",0.2,3,17012
17,1,0,0,122511,sjr_talk_thinking_blink_light,sjr_talk_thinking_light,"",0.2,3,17013
17,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_005,0,"","",21,17014
17,0,0,6,122511,"아니, 잠깐만…\n유이는 부끄러울 때\n달아나는 속도가 빨라져…\n그걸 이용하면…!",1,0.5,0,11,17015
17,"","","",0,"","","","",91,17016
17,"","",1,122511,sjr_talk_idle,"","",0.2,3,17017
18,-194,1,100,1,122611,72,sjr_talk_idle,1.65,1,18001
18,-194,0,100,1,122511,-72,sjr_talk_idle,1.65,1,18002
18,"","",1,122611,sjr_talk_wish_surprise,"","",0.2,3,18003
18,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_006,0,"","",21,18004
18,0,0,7,122611,"어쩐지 굉장한 코스\n뿐이네…\n어떻게\n만든 걸까…",1,0.5,0,11,18005
18,"","","",0,"","","","",91,18006
18,"","",1,122611,sjr_talk_idle,"","",0.2,3,18007
18,1,0,0,122511,sjr_talk_arm_crossed_normal2,sjr_talk_arm_crossed_normal2_loop,"",0.2,3,18008
18,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_007,0,"","",21,18009
18,0,0,7,122511,"신경 쓰면 안 돼\n이런 때는 순수하게\n즐기는 게 제일이야",1,0.5,0,11,18010
18,"","","",0,"","","","",91,18011
