unlock_condition_boss_id,unlock_condition_quest_id,title,sub_story_id,read_condition_event_story_id,original_event_id
0,20033108,"인연 다이어리 1번째",1005801,5058003,10058
0,20033110,"인연 다이어리 2번째",1005802,5058003,10058
0,20033112,"인연 다이어리 3번째",1005803,5058003,10058
0,20033115,"인연 다이어리 4번째",1005804,5058004,10058
2003301,0,"인연 다이어리 5번째",1005805,5058005,10058
0,20034103,"인연 다이어리 6번째",1005901,5059001,10059
0,20034106,"인연 다이어리 7번째",1005902,5059002,10059
0,20034109,"인연 다이어리 8번째",1005903,5059004,10059
0,20034112,"인연 다이어리 9번째",1005904,5059005,10059
0,20034115,"인연 다이어리 10번째",1005905,5059006,10059
2003401,0,"인연 다이어리 11번째",1005906,5059007,10059
0,0,"엑스트라 페이지",1005907,0,10059
