disp_reward_type_1,enemy_id_5,disp_reward_id_4,disp_reward_type_2,drop_gold_5,disp_reward_id_1,drop_gold_3,enemy_id_2,reward_odds_4,difficulty,drop_gold_2,reward_group_id_1,disp_reward_id_3,reward_lot_count_4,reward_odds_2,drop_gold_4,disp_reward_id_5,disp_reward_type_5,reward_odds_1,drop_gold_1,enemy_id_4,reward_group_id_2,reward_lot_count_5,wave_group_id,id,disp_reward_type_4,reward_odds_5,enemy_id_3,disp_reward_type_3,enemy_id_1,reward_odds_3,reward_group_id_3,reward_group_id_5,reward_lot_count_3,wave,reward_lot_count_2,reward_lot_count_1,disp_reward_id_2,match_lv_min,match_lv_max,reward_group_id_4
0,0,0,0,0,0,0,620090001,0,1,0,61001005,0,0,18,0,0,0,30,258,0,61001004,0,600110031,600000003,0,0,620130001,0,620060001,36,61001007,0,1,1,1,1,0,3001,3001,0
0,0,0,0,0,0,0,620090001,0,1,0,61001005,0,0,18,0,0,0,30,258,0,61001004,0,600110041,600000004,0,0,620130001,0,620060001,36,61001007,0,1,1,1,1,0,4001,4001,0
0,0,0,0,0,0,0,620090002,0,1,0,61001005,0,0,18,0,0,0,30,268,0,61001004,0,600110051,600000005,0,0,620130002,0,620060002,36,61001007,0,1,1,1,1,0,5001,5001,0
0,0,0,0,0,0,0,620090003,0,1,0,61001005,0,0,18,0,0,0,30,273,0,61001004,0,600110061,600000006,0,0,620130003,0,620060003,36,61001007,0,1,1,1,1,0,6001,6001,0
0,0,0,0,0,0,0,620090004,0,1,0,61001005,0,0,18,0,0,0,30,281,0,61001004,0,600110071,600000007,0,0,620130004,0,620060004,36,61001007,0,1,1,1,1,0,7001,7001,0
0,0,0,0,0,0,0,620090005,0,1,0,61001005,0,0,18,0,0,0,30,288,0,61001004,0,600110081,600000008,0,0,620130005,0,620060005,36,61001007,0,1,1,1,1,0,8001,8001,0
0,0,0,0,0,0,0,620090006,0,1,0,61001005,0,0,18,0,0,0,30,298,0,61001004,0,600110091,600000009,0,0,620130006,0,620060006,36,61001007,0,1,1,1,1,0,9001,9001,0
0,0,0,0,0,0,0,620090007,0,1,0,61001005,0,0,18,0,0,0,30,309,0,61001004,0,600110101,600000010,0,0,620130007,0,620060007,36,61001007,0,1,1,1,1,0,10001,10001,0
0,0,0,0,0,0,0,620090008,0,1,0,61001005,0,0,18,0,0,0,30,313,0,61001004,0,600110111,600000011,0,0,620130008,0,620060008,36,61001007,0,1,1,1,1,0,11001,11001,0
0,0,0,0,0,0,0,620090009,0,1,0,61001005,0,0,18,0,0,0,30,321,0,61001004,0,600110121,600000012,0,0,620130009,0,620060009,36,61001007,0,1,1,1,1,0,12001,12001,0
0,0,0,0,0,0,0,620090010,0,1,0,61001005,0,0,18,0,0,0,30,326,0,61001004,0,600110131,600000013,0,0,620130010,0,620060010,36,61001007,0,1,1,1,1,0,13001,13001,0
