name,icon_type,description,odds_file,id
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_1-3,1
"RANK 3~6 장비 아이템",99002,"RANK 1~4의 캐릭터에게 필요한 장비 아이템",eq_rank_3-6,2
"RANK 4~7 장비 아이템",99002,"RANK 4~7의 캐릭터에게 필요한 장비 아이템",eq_rank_4-7,3
"하츠네의 메모리 피스",99002,"",1000120101,4
"시오리의 메모리 피스",99002,"",1000120102,5
"미소기의 메모리 피스",99002,"",1000220101,6
"미미의 메모리 피스",99002,"",1000220102,7
"마호의 메모리 피스",99002,"",1000320101,8
"카오리의 메모리 피스",99002,"",1000320102,9
"콧코로(여름)의 메모리 피스",99002,"",1000420101,10
"사렌의 메모리 피스",99002,"",1000420102,11
"RANK 5~8 장비 아이템",99002,"RANK 5~8의 캐릭터에게 필요한 장비 아이템",eq_rank_5-8,12
"미후유(여름)의 메모리 피스",99002,"",1000520101,13
"아키노의 메모리 피스",99002,"",1000520102,14
"쥰의 메모리 피스",99002,"",1000620101,15
"유카리의 메모리 피스",99002,"",1000620102,16
"미야코(할로윈)의 메모리 피스",99002,"",1000720101,17
"요리의 메모리 피스",99002,"",1000720102,18
"안나의 메모리 피스",99002,"",1000820101,19
"미츠키의 메모리 피스",99002,"",1000820102,20
"쿠루미(크리스마스)의 메모리 피스",99002,"",1000920101,21
"노조미의 메모리 피스",99002,"",1000920102,22
"레이(새해)의 메모리 피스",99002,"",1001020101,23
"유이의 메모리 피스",99002,"",1001020102,24
"에리코(발렌타인)의 메모리 피스",99002,"",1001120101,25
"리노의 메모리 피스",99002,"",1001120102,26
"마코토의 메모리 피스",99002,"",1001220101,27
"유키의 메모리 피스",99002,"",1001220102,28
"루의 메모리 피스",99002,"",1001320101,29
"이오의 메모리 피스",99002,"",1001320102,30
"하츠네의 메모리 피스",99002,"",1001420101,31
"시오리의 메모리 피스",99002,"",1001420102,32
"마코토의 메모리 피스",99002,"",1001520101,33
"유키노의 메모리 피스",99002,"",1001520102,34
"미소기의 메모리 피스",99002,"",1001620101,35
"미미의 메모리 피스",99002,"",1001620102,36
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_2-4,37
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_2-5,38
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_3-6,39
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_4-5,40
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_6-7,41
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_7-8,42
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_8-10,43
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_8-11,44
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_9-12,45
"람의 메모리 피스",99002,"",1001720101,46
"스즈메의 메모리 피스",99002,"",1001720102,47
"마호의 메모리 피스",99002,"",1001820101,48
"카오리의 메모리 피스",99002,"",1001820102,49
"이오(여름)의 메모리 피스",99002,"",1001920101,50
"미사키의 메모리 피스",99002,"",1001920102,51
"콧코로(여름)의 메모리 피스",99002,"",1002020103,52
"사렌의 메모리 피스",99002,"",1002020104,53
"카오리(여름)의 메모리 피스",99002,"",1002120103,54
"카스미의 메모리 피스",99002,"",1002120104,55
"미후유(여름)의 메모리 피스",99002,"",1002220101,56
"아키노의 메모리 피스",99002,"",1002220102,57
"루카의 메모리 피스",99002,"",1002320101,58
"아오이의 메모리 피스",99002,"",1002320102,59
"미소기(할로윈)의 메모리 피스",99002,"",1002520101,60
"쿄우카의 메모리 피스",99002,"",1002520102,61
"쥰의 메모리 피스",99002,"",1002420101,62
"유카리의 메모리 피스",99002,"",1002420102,63
"미야코(할로윈)의 메모리 피스",99002,"",1002620101,64
"요리의 메모리 피스",99002,"",1002620102,65
"토모의 메모리 피스",99002,"",1002720101,66
"마츠리의 메모리 피스",99002,"",1002720102,67
"안나의 메모리 피스",99002,"",1002820101,68
"미츠키의 메모리 피스",99002,"",1002820102,69
"노조미(크리스마스)의 메모리 피스",99002,"",1002920101,70
"이리야의 메모리 피스",99002,"",1002920102,71
"쿠루미(크리스마스)의 메모리 피스",99002,"",1003020101,72
"노조미의 메모리 피스",99002,"",1003020102,73
"스즈메(새해)의 메모리 피스",99002,"",1003120101,74
"쿠루미의 메모리 피스",99002,"",1003120102,75
"시오리(매지컬)의 메모리 피스",99002,"",1003320101,76
"시즈루의 메모리 피스",99002,"",1003320102,77
"레이(새해)의 메모리 피스",99002,"",1003220101,80
"유이의 메모리 피스",99002,"",1003220102,81
"미오(데레마스)의 메모리 피스",99002,"",1003520101,82
"치카의 메모리 피스",99002,"",1003520102,83
"에리코(발렌타인)의 메모리 피스",99002,"",1003420101,86
"리노의 메모리 피스",99002,"",1003420102,87
"마코토의 메모리 피스",99002,"",1003720101,88
"유키의 메모리 피스",99002,"",1003720102,89
"노조미(크리스마스)의 메모리 피스",99002,"",1003820101,90
"이리야의 메모리 피스",99002,"",1003820102,91
"루의 메모리 피스",99002,"",1003920101,92
"이오의 메모리 피스",99002,"",1003920102,93
"사렌의 메모리 피스",99002,"",1004020101,94
"마히루의 메모리 피스",99002,"",1004020102,95
"모니카의 메모리 피스",99002,"",1004120101,96
"쿠우카의 메모리 피스",99002,"",1004120102,97
"아유미(원더)의 메모리 피스",99002,"",1004220101,98
"카야의 메모리 피스",99002,"",1004220102,99
"이오(여름)의 메모리 피스",99002,"",1004320101,100
"미사키의 메모리 피스",99002,"",1004320102,101
"안나(여름)의 메모리 피스",99002,"",1004420101,102
"에리코의 메모리 피스",99002,"",1004420102,103
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_3-8,104
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_3-10,105
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_9-13,106
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_11-14,107
"카오리(여름)의 메모리 피스",99002,"",1004520103,108
"카스미의 메모리 피스",99002,"",1004520104,109
"미사토(여름)의 메모리 피스",99002,"",1004620101,110
"아야네의 메모리 피스",99002,"",1004620102,111
"루카의 메모리 피스",99002,"",1004720101,112
"아오이의 메모리 피스",99002,"",1004720102,113
"스즈나의 메모리 피스",99002,"",1004820101,114
"나나카의 메모리 피스",99002,"",1004820102,115
"미소기(할로윈)의 메모리 피스",99002,"",1004920101,1004901
"쿄우카의 메모리 피스",99002,"",1004920102,1004902
"마츠리(할로윈)의 메모리 피스",99002,"",1005020101,1005001
"츠무기의 메모리 피스",99002,"",1005020102,1005002
"토모의 메모리 피스",99002,"",1005120101,1005101
"마츠리의 메모리 피스",99002,"",1005120102,1005102
"카스미의 메모리 피스",99002,"",1005220101,1005201
"토모의 메모리 피스",99002,"",1005220102,1005202
"람의 메모리 피스",99002,"",1005320101,1005301
"스즈메의 메모리 피스",99002,"",1005320102,1005302
"유카리(크리스마스)의 메모리 피스",99002,"",1005420101,1005401
"미후유의 메모리 피스",99002,"",1005420102,1005402
"노조미(크리스마스)의 메모리 피스",99002,"",1005520101,1005501
"이리야의 메모리 피스",99002,"",1005520102,1005502
"무이미(새해)의 메모리 피스",99002,"",1005620101,1005601
"캬루의 메모리 피스",99002,"",1005620102,1005602
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_11-14,1005603
"스즈메(새해)의 메모리 피스",99002,"",1005720101,1005701
"쿠루미의 메모리 피스",99002,"",1005720102,1005702
"유이(의장복)의 메모리 피스",99002,"",1005820101,1005801
"레이의 메모리 피스",99002,"",1005820102,1005802
"시오리(매지컬)의 메모리 피스",99002,"",1006020101,1006001
"시즈루의 메모리 피스",99002,"",1006020102,1006002
"리마(신데렐라)의 메모리 피스",99002,"",1006120101,1006101
"마호의 메모리 피스",99002,"",1006120102,1006102
"미오(데레마스)의 메모리 피스",99002,"",1006220101,1006201
"치카의 메모리 피스",99002,"",1006220102,1006202
"아키노의 메모리 피스",99002,"",1006420101,1006401
"시노부의 메모리 피스",99002,"",1006420102,1006402
"랜덤 장비 BOX",99002,"랜덤으로 장비를 획득할 수 있다.",box_rank_4-11,1006403
"아오이(편입생)의 메모리 피스",99002,"",1006520101,1006501
"타마키의 메모리 피스",99002,"",1006520102,1006502
"카야의 메모리 피스",99002,"",1006620101,1006601
"미사토의 메모리 피스",99002,"",1006620102,1006602
"사렌의 메모리 피스",99002,"",1006720101,1006701
"마히루의 메모리 피스",99002,"",1006720102,1006702
"타마키(작업복)의 메모리 피스",99002,"",1006820101,1006801
"아오이의 메모리 피스",99002,"",1006820102,1006802
"아유미(원더)의 메모리 피스",99002,"",1006920101,1006901
"카야의 메모리 피스",99002,"",1006920102,1006902
"이오의 메모리 피스",99002,"",1007020101,1007001
"미사키의 메모리 피스",99002,"",1007020102,1007002
