affect_type,scenario_idx,delay,icon_id,unit_pos_no,id,anime_id
1,1,0,0,1,1,1
1,2,0,0,2,1,4
1,3,0,12,1,1,5
1,4,0,0,2,1,2
2,5,0,0,1,1,8
1,1,0,0,1,2,1
1,2,0,0,2,2,1
1,3,0,0,1,2,6
1,4,0,0,2,2,1
1,5,0,0,3,2,1
3,6,0,11,1,2,3
1,7,0,0,2,2,1
1,8,0,0,1,2,3
2,9,0,0,1,2,1
1,1,0,0,1,3,1
1,2,0,0,2,3,10
1,3,0,0,1,3,11
1,4,0,0,2,3,5
1,5,0,0,3,3,6
1,6,0,0,3,3,3
2,7,0,9,4,3,3
1,8,0,0,4,3,7
1,9,0,0,4,3,1
3,10,0,8,1,3,9
1,11,0,0,2,3,4
1,12,0,0,1,3,1
1,13,0,0,4,3,3
2,14,0,11,3,3,3
1,1,0,10,1,4,4
1,2,0,12,1,4,12
1,3,0,10,2,4,1
1,4,0,4,1,4,11
1,5,0,0,2,4,1
1,6,0,13,1,4,4
1,7,0,6,2,4,2
1,8,0,0,1,4,8
1,9,0,10,2,4,8
1,1,0,10,1,5,1
1,2,0,5,2,5,11
1,3,0,7,1,5,1
1,4,0,12,2,5,5
1,5,0,11,1,5,1
1,6,0,4,2,5,3
1,7,0,12,2,5,5
1,8,0,6,1,5,2
1,9,0,4,2,5,11
1,10,0,8,1,5,8
1,11,0,10,1,5,4
1,12,0,10,2,5,5
1,1,0,7,1,6,8
1,2,0,10,2,6,4
1,3,0,11,1,6,1
1,4,0,8,2,6,8
1,5,0,6,1,6,11
2,6,0,7,1,6,2
1,7,0,4,1,6,5
1,8,0,10,2,6,4
2,9,0,13,1,6,10
1,1,0,7,1,7,8
1,2,0,10,2,7,12
1,3,0,12,2,7,4
1,4,0,7,1,7,11
1,5,0,10,1,7,1
1,6,0,12,2,7,5
1,7,0,11,2,7,5
1,8,0,10,2,7,8
1,9,0,8,1,7,2
1,10,0,7,1,7,8
1,11,0,9,2,7,4
2,1,0,10,1,8,1
1,2,0,10,2,8,12
1,3,0,5,1,8,12
1,4,0,12,1,8,5
1,5,0,10,2,8,1
1,6,0,12,1,8,5
1,7,0,12,1,8,5
1,8,0,10,2,8,1
1,9,0,9,2,8,8
2,10,0,9,1,8,4
1,1,0,8,1,9,4
1,2,0,10,1,9,5
1,3,0,7,2,9,4
1,4,0,8,2,9,6
1,5,0,10,1,9,1
1,6,0,11,1,9,11
1,7,0,6,1,9,1
1,8,0,8,2,9,5
1,9,0,7,2,9,8
1,10,0,6,1,9,4
1,1,0,10,2,10,11
1,2,0,7,1,10,1
2,3,0,8,1,10,8
1,4,0,9,2,10,5
1,5,0,8,1,10,10
2,6,0,7,1,10,1
2,7,0,6,1,10,2
1,8,0,10,1,10,11
1,9,0,10,2,10,8
1,1,0,8,1,11,9
1,2,0,0,2,11,5
1,3,0,12,2,11,6
1,4,0,5,1,11,1
1,5,0,10,2,11,5
1,6,0,12,2,11,6
1,7,0,4,1,11,1
1,8,0,0,1,11,11
1,9,0,0,1,11,6
1,10,0,10,2,11,1
1,11,0,11,1,11,6
1,12,0,12,2,11,1
1,13,0,6,2,11,5
1,14,0,7,1,11,10
1,15,0,7,2,11,4
1,1,0,4,2,12,11
1,2,0,5,1,12,1
1,3,0,10,2,12,6
1,4,0,10,2,12,5
1,5,0,0,1,12,11
1,6,0,0,2,12,6
1,7,0,17,2,12,12
1,8,0,1,1,12,5
1,9,0,2,1,12,1
1,10,0,10,2,12,6
1,11,0,10,2,12,4
1,12,0,0,1,12,1
1,13,0,13,1,12,5
1,14,0,8,2,12,11
1,15,0,10,1,12,8
1,1,0,10,1,13,11
1,2,0,8,3,13,11
1,3,0,0,2,13,6
1,4,0,10,1,13,11
1,5,0,7,2,13,11
1,6,0,6,3,13,2
1,7,1500,0,3,13,1
3,8,0,5,1,13,11
1,9,0,10,3,13,5
1,10,0,4,2,13,1
1,11,0,4,1,13,1
1,12,0,6,3,13,6
1,13,0,6,1,13,4
3,14,0,10,1,13,9
1,15,0,10,3,13,8
1,16,0,6,1,13,4
1,17,0,0,3,13,1
1,18,0,8,2,13,8
1,1,0,0,1,14,11
2,2,0,13,1,14,2
1,3,0,10,3,14,11
1,4,0,10,1,14,1
2,5,0,10,1,14,4
1,6,0,0,2,14,11
1,7,0,0,2,14,1
1,8,0,10,1,14,1
1,9,0,12,3,14,12
1,10,0,12,3,14,12
1,11,0,0,3,14,5
1,12,0,12,1,14,5
2,13,0,6,1,14,10
1,14,0,10,1,14,11
3,15,0,6,1,14,10
1,16,0,10,1,14,11
3,17,0,6,1,14,2
2,18,0,6,1,14,10
1,19,0,4,1,14,11
1,20,0,10,2,14,8
3,21,0,4,1,14,8
1,1,0,10,2,15,12
1,2,0,12,1,15,12
1,3,0,12,3,15,11
1,4,0,6,1,15,11
1,5,0,12,2,15,12
1,6,0,0,2,15,5
1,7,0,12,1,15,11
1,8,0,0,1,15,1
1,9,0,0,1,15,5
2,10,0,12,1,15,12
1,11,0,0,3,15,11
1,12,0,11,3,15,12
1,13,0,9,2,15,1
1,14,0,12,1,15,1
1,15,0,0,1,15,12
1,16,0,9,1,15,12
1,17,0,4,2,15,11
3,18,0,4,1,15,11
1,19,0,12,2,15,5
1,20,0,0,2,15,12
1,21,0,7,2,15,12
3,22,0,12,1,15,12
3,23,0,7,1,15,1
1,24,0,0,3,15,4
3,25,0,10,1,15,4
1,26,0,0,2,15,8
1,27,0,0,1,15,11
1,28,0,0,2,15,11
1,1,0,0,1,16,6
1,2,0,10,2,16,11
1,3,0,0,3,16,12
1,4,0,0,2,16,4
1,5,0,12,1,16,6
1,6,0,0,1,16,6
1,7,0,4,2,16,4
1,8,0,4,3,16,5
1,9,0,0,3,16,1
1,10,0,17,1,16,12
1,11,0,0,2,16,11
1,12,0,10,3,16,1
1,13,0,11,2,16,11
1,14,0,0,3,16,11
1,15,0,12,1,16,12
1,16,0,10,1,16,11
1,17,0,10,1,16,11
1,18,0,6,1,16,6
1,19,0,6,2,16,11
1,20,0,8,3,16,1
1,21,0,8,3,16,5
1,22,0,9,1,16,4
1,23,0,10,1,16,11
1,1,0,4,1,17,11
3,2,0,10,1,17,4
1,3,0,4,1,17,11
1,4,0,0,1,17,1
2,5,0,10,1,17,1
1,6,0,4,2,17,11
2,7,0,10,1,17,1
1,8,0,4,2,17,11
1,9,0,0,3,17,1
2,10,0,10,1,17,8
1,11,0,12,1,17,12
1,12,0,4,3,17,11
3,13,0,4,1,17,1
1,14,0,10,1,17,11
2,15,0,0,1,17,1
2,16,0,4,1,17,11
2,17,0,7,1,17,8
1,18,0,0,1,17,11
3,19,0,6,1,17,2
1,20,0,10,1,17,10
1,21,0,10,2,17,11
1,22,0,7,3,17,8
1,1,0,4,1,18,11
2,2,0,13,1,18,5
1,3,0,10,1,18,4
1,4,0,10,2,18,4
1,5,0,10,3,18,11
3,6,0,7,1,18,5
1,7,0,10,1,18,11
1,8,0,10,3,18,4
1,9,0,10,2,18,11
3,10,0,6,1,18,5
1,11,0,10,1,18,11
1,12,0,10,2,18,11
1,13,0,10,3,18,4
2,14,0,8,1,18,5
2,15,0,6,1,18,6
1,16,0,0,3,18,10
1,17,0,0,2,18,10
1,18,0,0,1,18,10
2,19,0,7,1,18,10
1,20,0,10,1,18,8
1,21,0,10,1,18,11
2,22,0,9,1,18,2
2,1,0,0,1,19,13
2,2,0,8,1,19,4
2,3,0,0,1,19,8
2,1,0,10,1,20,14
2,2,0,0,1,20,8
2,1,0,13,1,21,15
2,1,0,0,1,22,15
2,2,0,0,1,22,13
2,1,0,0,1,23,42
2,2,0,0,1,23,72
2,1,0,0,1,24,43
2,1,0,0,1,25,44
2,1,0,0,1,26,45
2,1,0,0,1,27,46
2,1,0,0,1,28,47
2,1,0,0,1,29,14
1,1,0,0,1,30,15
1,2,0,0,2,30,8
1,3,0,13,1,30,10
1,4,0,13,2,30,10
1,5,0,9,2,30,12
1,6,0,6,1,30,72
2,7,0,8,1,30,2
2,8,0,0,1,30,13
1,1,0,8,1,31,4
1,2,0,0,2,31,1
1,3,0,6,1,31,10
1,4,0,0,2,31,4
1,5,0,7,1,31,9
1,6,0,0,2,31,1
1,1,0,6,1,32,10
1,2,0,13,2,32,10
1,3,0,0,3,32,1
1,4,0,11,2,32,2
1,5,0,8,1,32,2
1,6,0,0,3,32,1
1,7,0,7,3,32,72
1,1,0,0,3,33,6
3,2,0,13,1,33,10
1,3,0,3,3,33,3
3,4,0,0,1,33,72
1,5,0,2,3,33,12
2,1,0,6,1,34,4
1,2,0,7,1,34,5
1,3,0,0,2,34,1
1,4,0,8,2,34,12
1,5,0,0,1,34,1
2,6,0,0,1,34,15
2,1,0,0,1,35,8
2,2,0,10,1,35,72
2,3,0,0,1,35,13
2,1,0,0,1,36,4
1,2,0,6,1,36,6
1,3,0,0,1,36,1
1,4,0,10,2,36,72
1,5,0,0,2,36,9
2,6,0,7,2,36,2
2,1,0,7,1,37,8
1,2,0,0,1,37,4
1,3,0,0,2,37,5
2,4,0,6,1,37,13
2,1,0,10,1,38,13
1,2,0,8,1,38,5
1,3,0,7,2,38,6
1,4,0,0,1,38,1
1,5,0,7,2,38,9
1,6,0,13,2,38,15
2,7,0,0,1,38,8
2,1,0,6,1,39,4
1,2,0,13,1,39,6
1,3,0,10,2,39,72
2,4,0,6,1,39,13
