id,reward_num_1,reward_type_1,reward_id_3,reward_id_2,reward_group_id,reward_num_3,reward_type_2,reward_id_1,reward_num_2,reward_type_3
1,10,8,25014,25021,284001001,31,2,91002,8,2
2,10,8,25014,25021,284001002,31,2,91002,8,2
3,10,8,25014,25021,284001003,32,2,91002,8,2
4,10,8,25014,25021,284001004,32,2,91002,8,2
5,10,8,25014,25021,284001005,33,2,91002,8,2
6,10,8,25014,25021,284001006,33,2,91002,9,2
7,10,8,25014,25021,284001007,34,2,91002,9,2
8,10,8,25014,25021,284001008,35,2,91002,9,2
9,10,8,25014,25021,284001009,35,2,91002,9,2
10,30,8,25014,25021,284001010,37,2,91002,10,2
11,10,8,25014,25021,284001011,41,2,91002,10,2
12,10,8,25014,25021,284001012,43,2,91002,11,2
13,10,8,25014,25021,284001013,46,2,91002,11,2
14,10,8,25014,25021,284001014,48,2,91002,12,2
15,10,8,25014,25021,284001015,50,2,91002,12,2
16,10,8,25014,25021,284001016,53,2,91002,13,2
17,10,8,25014,25021,284001017,55,2,91002,14,2
18,10,8,25014,25021,284001018,58,2,91002,14,2
19,10,8,25014,25021,284001019,60,2,91002,15,2
20,30,8,25014,25021,284001020,62,2,91002,15,2
21,10,8,25014,25021,284001021,68,2,91002,16,2
22,10,8,25014,25021,284001022,70,2,91002,16,2
23,10,8,25014,25021,284001023,72,2,91002,16,2
24,10,8,25014,25021,284001024,75,2,91002,17,2
25,10,8,25014,25021,284001025,77,2,91002,18,2
26,10,8,25014,25021,284001026,79,2,91002,18,2
27,10,8,25014,25021,284001027,82,2,91002,19,2
28,10,8,25014,25021,284001028,84,2,91002,19,2
29,10,8,25014,25021,284001029,86,2,91002,19,2
30,30,8,25014,25021,284001030,89,2,91002,20,2
31,10,8,25014,25021,284001031,94,2,91002,20,2
32,10,8,25014,25021,284001032,96,2,91002,21,2
33,10,8,25014,25021,284001033,99,2,91002,21,2
34,10,8,25014,25021,284001034,101,2,91002,22,2
35,10,8,25014,25021,284001035,103,2,91002,22,2
36,10,8,25014,25021,284001036,106,2,91002,23,2
37,10,8,25014,25021,284001037,108,2,91002,23,2
38,10,8,25014,25021,284001038,111,2,91002,24,2
39,10,8,25014,25021,284001039,113,2,91002,25,2
40,30,8,25014,25021,284001040,115,2,91002,25,2
41,10,8,25014,25021,284001041,121,2,91002,26,2
42,10,8,25014,25021,284001042,123,2,91002,27,2
43,10,8,25014,25021,284001043,125,2,91002,28,2
44,10,8,25014,25021,284001044,128,2,91002,28,2
45,10,8,25014,25021,284001045,130,2,91002,29,2
46,10,8,25014,25021,284001046,132,2,91002,30,2
47,10,8,25014,25021,284001047,135,2,91002,30,2
48,10,8,25014,25021,284001048,137,2,91002,31,2
49,10,8,25014,25021,284001049,139,2,91002,31,2
50,30,8,25014,25021,284001050,142,2,91002,31,2
51,10,8,25014,25021,284001051,144,2,91002,32,2
52,10,8,25014,25021,284001052,146,2,91002,32,2
53,10,8,25014,25021,284001053,149,2,91002,32,2
54,10,8,25014,25021,284001054,152,2,91002,33,2
55,10,8,25014,25021,284001055,155,2,91002,33,2
56,10,8,25014,25021,284001056,157,2,91002,33,2
57,10,8,25014,25021,284001057,160,2,91002,34,2
58,10,8,25014,25021,284001058,163,2,91002,34,2
59,10,8,25014,25021,284001059,166,2,91002,34,2
60,30,8,25014,25021,284001060,169,2,91002,35,2
61,10,8,25014,25021,284001061,171,2,91002,35,2
62,10,8,25014,25021,284001062,174,2,91002,35,2
63,10,8,25014,25021,284001063,177,2,91002,36,2
64,10,8,25014,25021,284001064,180,2,91002,36,2
65,10,8,25014,25021,284001065,182,2,91002,36,2
66,10,8,25014,25021,284001066,185,2,91002,37,2
67,10,8,25014,25021,284001067,187,2,91002,37,2
68,10,8,25014,25021,284001068,190,2,91002,37,2
69,10,8,25014,25021,284001069,193,2,91002,38,2
70,30,8,25014,25021,284001070,196,2,91002,38,2
