command_type,param_04,param_01,param_03,param_02,drama_id,param_05,param_08,param_06,command_id,param_07
5,0,1,53,1,10101,0,empty,1,1101010001,0
5,0,101000,56,2,10101,0,empty,1,1101010002,0
5,0,101000,70,3,10101,0,empty,1,1101010003,0
31,0,101000,0,0,10101,1,"",0,1101010004,""
31,0,101001,0,1,10101,1,"",0,1101010005,""
31,0,101002,0,2,10101,1,"",0,1101010006,""
31,0,101003,0,3,10101,1,"",0,1101010007,""
31,0,101004,0,4,10101,1,"",0,1101010008,""
31,0,1,0,10,10101,1,"",0,1101010009,""
31,0,3,0,30,10101,1,"",0,1101010010,""
91,"",0,"",0,10101,"","","",1101010011,""
32,"",0,"",1,10101,"","","",1101010012,""
32,"",10,"",1,10101,"","","",1101010013,""
3,"",2,0,getDish_1_in,10101,"","",0,1101010014,""
93,"",0.2,"",0,10101,"","","",1101010015,""
3,"",1,0,getDish,10101,"","",0,1101010016,""
3,"",2,0,getDish_1_B,10101,"","",0,1101010017,""
3,"",3,0,getDish_1_F,10101,"","",0,1101010018,""
32,"",1,"",1,10101,"","","",1101010019,""
32,"",3,"",1,10101,"","","",1101010020,""
93,"",7.2,"",0,10101,"","","",1101010021,""
101,"",1101010023,"",1,10101,"","","",1101010022,""
35,"",2,"",1,10101,"","","",1101010023,""
32,"",2,"",1,10101,"","","",1101010024,""
35,"",4,"",1,10101,"","","",1101010025,""
32,"",4,"",1,10101,"","","",1101010026,""
32,"",3,"",0,10101,"","","",1101010027,""
93,"",2.3,"",0,10101,"","","",1101010028,""
35,"",30,"",1,10101,"","","",1101010029,""
32,"",30,"",1,10101,"","","",1101010030,""
93,"",0.2,"",0,10101,"","","",1101010031,""
6,1,1,1,1,10101,0,"",0,1101010032,0
6,1,2,1,1,10101,0,"",0,1101010033,0
6,1,3,1,1,10101,0,"",0,1101010034,0
32,"",0,"",0,10101,"","","",1101010035,""
32,"",1,"",0,10101,"","","",1101010036,""
32,"",2,"",0,10101,"","","",1101010037,""
32,"",3,"",0,10101,"","","",1101010038,""
32,"",4,"",0,10101,"","","",1101010039,""
32,"",10,"",0,10101,"","","",1101010040,""
93,"",0.3,"",0,10101,"","","",1101010041,""
111,1,1,1,1,10101,0,"",0.1,1101010042,0
5,-205,2,50,1,10201,-325,empty,0.9,1102010001,0
5,-205,102000,58,2,10201,-325,empty,0.9,1102010002,0
5,1500,100,54,100,10201,-263,idle_single,0.6,1102010003,0
31,0,102000,0,0,10201,1,"",0,1102010004,""
31,-263,102001,1500,1,10201,1,"",0,1102010005,""
31,0,102002,0,2,10201,1,"",0,1102010006,""
31,-136,102003,-132,3,10201,1,"",0,1102010007,""
31,0,102004,0,4,10201,1,"",0,1102010008,""
31,0,1,0,10,10201,1,"",0,1102010009,""
31,0,2,0,20,10201,1,"",0,1102010010,""
31,0,3,0,30,10201,1,"",0,1102010011,""
91,"",0,"",0,10201,"","","",1102010012,""
32,"",0,"",1,10201,"","","",1102010013,""
32,"",10,"",1,10201,"","","",1102010014,""
23,"",se_caravan,0,se_caravan_dice_get_intro,10201,"","","",1102010015,""
3,"",1,1,getDice_idle,10201,"","",0,1102010016,""
3,eat_loop,100,0,run_getDice,10201,1,"",0,1102010017,0
32,"",1,"",1,10201,"","","",1102010018,""
2,2,100,-263,344,10201,11,"","",1102010019,""
33,2,1,-263,344,10201,11,"","",1102010020,""
32,"",2,"",1,10201,"","","",1102010021,""
93,"",1.7,"",0,10201,"","","",1102010022,""
3,"",1,1,getDice_curious,10201,"","",0.2,1102010023,0
21,0,vo_caravan,0,vo_caravan_event_002_000,10201,"","","",1102010024,""
93,"",1.5,"",0,10201,"","","",1102010025,""
23,"",se_caravan,0,se_caravan_dice_get_outro_1,10201,"","","",1102010026,""
21,0.1,vo_caravan,0,vo_caravan_event_002_001,10201,"","","",1102010027,""
3,"",100,0,spit_in,10201,"","",0.1,1102010028,""
3,"",2,0,getDice_1,10201,"","",0,1102010029,""
3,"",1,0,getDice_panic_1,10201,"","",0.1,1102010030,""
93,"",0.5,"",0,10201,"","","",1102010031,""
3,idle_single,100,0,spit_out,10201,1,"",0,1102010032,0
93,"",1.4,"",0,10201,"","","",1102010033,""
3,idle_single,100,0,joy_single,10201,1,"",0.2,1102010034,0
93,"",0.1,"",0,10201,"","","",1102010035,""
32,"",3,"",1,10201,"","","",1102010036,""
93,"",0.5,"",0,10201,"","","",1102010037,""
21,0,vo_caravan,0,vo_caravan_event_002_002,10201,"","","",1102010038,""
93,"",1.3,"",0,10201,"","","",1102010039,""
101,"",1102010041,"",0,10201,"","","",1102010040,""
35,"",4,"",1,10201,"","","",1102010041,""
32,"",4,"",1,10201,"","","",1102010042,""
32,"",20,"",1,10201,"","","",1102010043,""
32,"",1,"",0,10201,"","","",1102010044,""
93,"",0.4,"",0,10201,"","","",1102010045,""
92,"","","","",10201,"","","",1102010046,""
35,"",30,"",1,10201,"","","",1102010047,""
32,"",30,"",1,10201,"","","",1102010048,""
93,"",0.2,"",0,10201,"","","",1102010049,""
6,1,1,1,1,10201,0,"",0,1102010050,0
6,1,2,1,1,10201,0,"",0,1102010051,0
6,1,100,1,1,10201,0,"",0,1102010052,0
32,"",0,"",0,10201,"","","",1102010053,""
32,"",2,"",0,10201,"","","",1102010054,""
32,"",3,"",0,10201,"","","",1102010055,""
32,"",4,"",0,10201,"","","",1102010056,""
32,"",10,"",0,10201,"","","",1102010057,""
93,"",0.3,"",0,10201,"","","",1102010058,""
5,-205,2,50,1,10202,-325,empty,0.9,1102020001,0
5,-205,102000,58,2,10202,-325,empty,0.9,1102020002,0
5,1500,100,54,100,10202,-263,idle_single,0.6,1102020003,0
31,0,102000,0,0,10202,1,"",0,1102020004,""
31,-263,102001,1500,1,10202,1,"",0,1102020005,""
31,0,102002,0,2,10202,1,"",0,1102020006,""
31,-136,102003,-132,3,10202,1,"",0,1102020007,""
31,0,102005,0,4,10202,1,"",0,1102020008,""
31,0,1,0,10,10202,1,"",0,1102020009,""
31,0,2,0,20,10202,1,"",0,1102020010,""
31,0,3,0,30,10202,1,"",0,1102020011,""
91,"",0,"",0,10202,"","","",1102020012,""
32,"",0,"",1,10202,"","","",1102020013,""
32,"",10,"",1,10202,"","","",1102020014,""
23,"",se_caravan,0,se_caravan_dice_get_intro,10202,"","","",1102020015,""
3,"",1,1,getDice_idle,10202,"","",0,1102020016,""
3,eat_loop,100,0,run_getDice,10202,1,"",0,1102020017,0
32,"",1,"",1,10202,"","","",1102020018,""
