type,description,arcade_id,image_id,id
1,"5글자의 빈칸 퀴즈에 답하는 퀴즈 게임입니다.\n5명이 한 팀이 되어 힘을 합쳐 1인 1글자씩 대답하세요.\n퀴즈 장르에는 여러 가지가 있습니다.",1009,100901,1
1,"즐기는 방법에 따라 2가지 플레이 모드가 있습니다.\n자신의 실력에 도전하고 싶다면 CPU와 즐기는 혼자서 놀기를,\n동료와 협동해서 플레이할 경우에는 같이 놀기를 선택해 주세요.",1009,100902,2
1,"랜덤으로 힌트가 나타납니다.\n힌트를 더 원할 경우에는 「힌트 버튼」을 사용하세요.\n횟수에는 제한이 있는 듯 하니, 낭비하면 『떽』입니다.",1009,100903,3
1,"출제된 퀴즈는 「아카이브」 기능으로 되돌아볼 수 있습니다.\n아카이브를 채워나가면 한정 칭호 등의 보상을 받을 수 있으니\n착실히 복습하며 퀴즈를 계속해서 플레이하세요.",1009,100904,4
1,"내가 공부를 가르쳐 줬으면 좋겠다고? ……어쩔 수 없네, 퀴즈 형식으로\n재밌게 성적 상승을 노리자! 나 아니면 스즈나를 선택해서 공부 모임을\n시작해 봐. 스즈나랑 도전할 거라면, 네가 제대로 가르쳐 줘야 한다?",1012,100905,5
1,"문제는 세 가지 출제 형식 중에서 랜덤으로 선택돼.\n「사자택일」과 「사지선다」에서는 한정된 횟수지만 힌트를 사용할 수 있어!\n어느 타이밍에 힌트를 사용할 것인지가 성적을 올릴 열쇠가 되겠네.",1012,100906,6
1,"한번 출제된 문제는 「아카이브」에 기록된다고 해! 복습도\n이걸로 확실히 할 수 있겠어. 아카이브 내용을 채우면 칭호를 받을 수\n있는 것 같으니까, 힘내서 컴플리트를 노리자!",1012,100907,7
2,"조건을 만족하면 해방되는 「심화 모드」에서는 제한 시간 안에 얼마나\n많은 문제를 맞힐 수 있는지 도전할 수 있어!\n성장한 네 실력을 보여 줄 기회야! 열심히 해봐!",1012,100908,8
1,"상금 획득을 목표로 『전차 배틀 대회』라는 데 참가하는 거다!\n최고의 머신을 조립해 다른 녀석들을 무찔러 주자고.",1014,101401,9
1,"머신끼리 맞붙는 전투는 전부 자동으로 이루어지는 모양이야.\n……그럼 우리가 참가하는 의미가 없다고? 하, 무슨 소릴 하는 거지.\n탑승자가 지닌 스킬이 승부를 좌우한다는 걸 명심해.",1014,101402,10
1,"승부가 길어지면 좌우에서 밀려드는 벽 때문에 머신이 망가질 거야.\n또 규칙상 화면 밖으로 머신이 날아가도 패배지.\n꽤 스릴 넘치고 재밌지 않아?",1014,101403,11
2,"소문에 『퀘스트』 모드에서는 총 50 스테이지의 배틀에 도전할 수 있다는군.\n흐응…… 각 세계의 공주님들과 싸울 수 있는 건가. 복수도 할 겸\n머신에 쓸 수 있을 만한 부품이라도 뜯어내 볼까나.",1014,101404,12
3,"뭐어~? 허접이 오빠, 머신의 부품을 원하는구나~?\n그・렇・다・면~ 필사적으로 조르면 생각해 볼게~♡\n어린애한테 고개를 숙이며 물건을 동냥하다니~ 완전 한심하지만~!",1014,101405,13
3,"혹시나 해서 말해 두겠는데~ 아무리 자존심이 없는 허접이 오빠라도 계속 알랑거리는\n건 안 돼♡ 내 마음이 내킬 때까지 얌전히 기다리고 있어♪\n아, 하지만 필요 없는 부품 같은 거 분해하게 해주면 마음이 내킬지도♡",1014,101406,14
4,"여기선~ 현재 가진 부품을 조립해 머신을 커스텀 할 수 있다네\n~? 그러니까 허접이 오빠 나름대로 허접허접호를 만들어 보지 그래~?\n아무쪼록 멋진 허접허접호가 완성될 수 있게 힘내♡ 파이팅♡",1014,101407,15
4,"머신은 베이스가 되는 기체에 다른 부품을 장착해야 완성돼.\n부품을 달 수 있는 부분은 기체마다 다르니까 일단 각각의\n기체에 설정된 장착 가능 위치를 확인하면 좋지 않을까~?",1014,101408,16
4,"아, 맞다~ 기체에는 장착 가능한 부품의 비용 상한이 있어서~\n그걸 초과하는 웨폰이나 가제트는 못 단다~?\n아, 허접이 오빠는 계산하기 어려우려나~♡ 내가 도와줄까?",1014,101409,17
4,"머신에는~ 리더 1명과 멤버 2명, 총 3명까지 태울 수\n있대. 누가 타는지에 따라서 머신의 힘도 달라지니까 잘 생각하고\n고르는 게 좋을걸~? 오빠는 날 선택할 거지~?",1014,101410,18
5,"『라이벌 배틀』에서는 다양한 분의 머신에 대결 신청을 할 수\n있다나 봐요. 많은 승리를 거두어 포인트를 모으면 미션을 통해 보상을\n받을 수 있으니 힘내야 해요…… 저녁밥 반찬을 위해서도……!",1014,101411,19
6,"『동료와 배틀』에서는 친구나 클랜 멤버분들과\n대전을 할 수 있다고 해요. 사, 살살 부탁드려요……\n……아앗~!? 후부키, 날 노리지 마~!?",1014,101412,20
