id,reward_num_2,reward_num_4,ranking_from,reward_id_5,reward_id_1,reward_type_3,ranking_to,reward_num_5,reward_num_3,reward_type_4,reward_type_5,odds_group_id,reward_id_3,reward_id_4,reward_num_1,reward_id_2,reward_type_1,damage_rank_id,reward_type_2
1,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1001201,2
2,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1001201,2
3,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1001201,2
4,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1001201,2
5,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1001202,2
6,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1001202,2
7,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1001202,2
8,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1001202,2
9,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1001203,2
10,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1001203,2
11,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1001203,2
12,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1001203,2
13,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1001204,2
14,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1001204,2
15,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1001204,2
16,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1001204,2
17,10,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,40,20003,2,1001205,2
18,8,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,30,20003,2,1001205,2
19,6,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,20,20003,2,1001205,2
20,2,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,10,20003,2,1001205,2
21,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,5,20003,2,1001206,2
22,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,4,20003,2,1001206,2
23,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,3,20003,2,1001206,2
24,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,2,20003,2,1001206,2
25,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,5,20003,2,1001207,2
26,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,4,20003,2,1001207,2
27,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,3,20003,2,1001207,2
28,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,2,20003,2,1001207,2
29,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,5,20003,2,1001208,2
30,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,4,20003,2,1001208,2
31,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,3,20003,2,1001208,2
32,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,2,20003,2,1001208,2
33,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,5,20003,2,1001209,2
34,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,4,20003,2,1001209,2
35,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,3,20003,2,1001209,2
36,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,2,20003,2,1001209,2
37,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,5,20003,2,1001210,2
38,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,4,20003,2,1001210,2
39,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,3,20003,2,1001210,2
40,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,2,20003,2,1001210,2
41,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1002201,2
42,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1002201,2
43,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1002201,2
44,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1002201,2
45,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1002202,2
46,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1002202,2
47,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1002202,2
48,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1002202,2
49,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1002203,2
50,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1002203,2
51,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1002203,2
52,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1002203,2
53,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1002204,2
54,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1002204,2
55,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1002204,2
56,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1002204,2
57,10,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,40,20003,2,1002205,2
58,8,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,30,20003,2,1002205,2
59,6,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,20,20003,2,1002205,2
60,2,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,10,20003,2,1002205,2
61,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1002206,2
62,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1002206,2
