condition_value,end_time,description,legion_mission_id,mission_condition,start_time,category_id,legion_boss_id,disp_group,condition_num,mission_reward_id
0,"2022/09/23 14:59:59","1회 배틀하자",10000101,7000,"2022/09/16 15:00:00",1000,0,10,1,10000101
0,"2022/09/23 14:59:59","5회 배틀하자",10000102,7000,"2022/09/16 15:00:00",1000,0,10,5,10000102
0,"2022/09/23 14:59:59","10회 배틀하자",10000103,7000,"2022/09/16 15:00:00",1000,0,10,10,10000103
0,"2022/09/23 14:59:59","15회 배틀하자",10000104,7000,"2022/09/16 15:00:00",1000,0,10,15,10000104
0,"2022/09/23 14:59:59","20회 배틀하자",10000105,7000,"2022/09/16 15:00:00",1000,0,10,20,10000105
0,"2022/09/23 14:59:59","25회 배틀하자",10000106,7000,"2022/09/16 15:00:00",1000,0,10,25,10000106
0,"2022/09/23 14:59:59","30회 배틀하자",10000107,7000,"2022/09/16 15:00:00",1000,0,10,30,10000107
0,"2022/09/23 14:59:59","35회 배틀하자",10000108,7000,"2022/09/16 15:00:00",1000,0,10,35,10000108
0,"2022/09/23 14:59:59","40회 배틀하자",10000109,7000,"2022/09/16 15:00:00",1000,0,10,40,10000109
0,"2022/09/23 14:59:59","미소라에게 누적 300만 데미지를 주자",10050501,7001,"2022/09/16 15:00:00",1005,1005,50,3000000,10050501
0,"2022/09/23 14:59:59","미소라에게 누적 900만 데미지를 주자",10050502,7001,"2022/09/16 15:00:00",1005,1005,50,9000000,10050502
0,"2022/09/23 14:59:59","미소라에게 누적 1500만 데미지를 주자",10050503,7001,"2022/09/16 15:00:00",1005,1005,50,15000000,10050503
1000000,"2022/09/23 14:59:59","미소라에게 1번의 배틀에서 100만 데미지를 주자",10050511,7002,"2022/09/16 15:00:00",1005,1005,51,1,10050511
3000000,"2022/09/23 14:59:59","미소라에게 1번의 배틀에서 300만 데미지를 주자",10050512,7002,"2022/09/16 15:00:00",1005,1005,51,1,10050512
0,"2022/09/23 14:59:59","란파에게 누적 500만 데미지를 주자",10060601,7001,"2022/09/16 15:00:00",1006,1006,60,5000000,10060601
0,"2022/09/23 14:59:59","란파에게 누적 1500만 데미지를 주자",10060602,7001,"2022/09/16 15:00:00",1006,1006,60,15000000,10060602
0,"2022/09/23 14:59:59","란파에게 누적 2400만 데미지를 주자",10060603,7001,"2022/09/16 15:00:00",1006,1006,60,24000000,10060603
2000000,"2022/09/23 14:59:59","란파에게 1번의 배틀에서 200만 데미지를 주자",10060611,7002,"2022/09/16 15:00:00",1006,1006,61,1,10060611
5000000,"2022/09/23 14:59:59","란파에게 1번의 배틀에서 500만 데미지를 주자",10060612,7002,"2022/09/16 15:00:00",1006,1006,61,1,10060612
0,"2022/09/23 14:59:59","아졸드에게 누적 300만 데미지를 주자",10070701,7001,"2022/09/16 15:00:00",1007,1007,70,3000000,10070701
0,"2022/09/23 14:59:59","아졸드에게 누적 900만 데미지를 주자",10070702,7001,"2022/09/16 15:00:00",1007,1007,70,9000000,10070702
0,"2022/09/23 14:59:59","아졸드에게 누적 1500만 데미지를 주자",10070703,7001,"2022/09/16 15:00:00",1007,1007,70,15000000,10070703
1000000,"2022/09/23 14:59:59","아졸드에게 1번의 배틀에서 100만 데미지를 주자",10070711,7002,"2022/09/16 15:00:00",1007,1007,71,1,10070711
3000000,"2022/09/23 14:59:59","아졸드에게 1번의 배틀에서 300만 데미지를 주자",10070712,7002,"2022/09/16 15:00:00",1007,1007,71,1,10070712
0,"2022/09/23 14:59:59","카리자에게 누적 500만 데미지를 주자",10080801,7001,"2022/09/16 15:00:00",1008,1008,80,5000000,10080801
0,"2022/09/23 14:59:59","카리자에게 누적 1500만 데미지를 주자",10080802,7001,"2022/09/16 15:00:00",1008,1008,80,15000000,10080802
0,"2022/09/23 14:59:59","카리자에게 누적 2400만 데미지를 주자",10080803,7001,"2022/09/16 15:00:00",1008,1008,80,24000000,10080803
2000000,"2022/09/23 14:59:59","카리자에게 1번의 배틀에서 200만 데미지를 주자",10080811,7002,"2022/09/16 15:00:00",1008,1008,81,1,10080811
5000000,"2022/09/23 14:59:59","카리자에게 1번의 배틀에서 500만 데미지를 주자",10080812,7002,"2022/09/16 15:00:00",1008,1008,81,1,10080812
