unit_1_dir,unit_3_x,ignore_unit_id1,unit_3_y,unit_id2,ignore_unit_id3,unit_2_x,ignore_unit_id2,unit_2_dir,unit_3_dir,unit_5_y,ignore_unit_id5,unit_id4,id,unit_1_x,unit_4_y,ignore_unit_id4,unit_5_x,unit_5_dir,unit_2_y,unit_id3,unit_num,unit_1_y,unit_id1,unit_4_dir,unit_4_x,unit_id5
4,0,192501,2,,129001,1,106901,4,2,,,,1,3,,,,,0,,3,0,,,,
4,,192501,,,129001,0,106901,2,,,,,2,2,,,,,2,,2,0,,,,
4,0,192501,1,,129001,1,106901,4,2,,,,3,3,3,,,,0,,4,0,,2,0,
4,,192501,,,129001,0,106901,2,,,,,4,1,,,,,1,,2,0,,,,
4,,192501,,,129001,0,106901,2,,,,,5,1,,,,,1,,2,0,190901,,,
4,,190901,,,129001,0,106901,2,,,,,6,1,,,,,1,,2,0,192501,,,
4,,,,118401,129001,0,106901,2,,,,,7,1,,,,,1,,2,0,118301,,,
4,,,,118401,129001,0,106901,2,,,,,8,2,,,,,2,,2,0,118301,,,
4,0,,2,120501,129001,1,106901,4,2,,,,9,3,,,,,0,120601,3,0,120401,,,
4,,,,121801,129001,0,106901,2,,,,,10,2,,,,,2,,2,0,121701,,,
4,,,,124401,,0,,2,,,,,11,2,,,,,2,,2,0,124301,,,
4,,,,128201,,0,,2,,,,,12,2,,,,,2,,2,0,128101,,,
