enemy_id,atk,hp,main_skill_lv_4,resist_variation_id,unique_equipment_flag_1,main_skill_lv_3,def,energy_recovery_rate,unit_id,magic_penetrate,hp_recovery_rate,main_skill_lv_6,wave_hp_recovery,name,wave_energy_recovery,main_skill_lv_8,level,promotion_level,ex_skill_lv_2,virtual_hp,ex_skill_lv_1,physical_critical,energy_reduce_rate,break_durability,magic_def,resist_status_id,ex_skill_lv_5,life_steal,main_skill_lv_10,union_burst_level,main_skill_lv_2,accuracy,main_skill_lv_7,main_skill_lv_5,ex_skill_lv_4,dodge,magic_critical,physical_penetrate,rarity,main_skill_lv_1,magic_str,main_skill_lv_9,ex_skill_lv_3
600010011,82,598,11,0,0,11,11,30,200100,0,0,11,0,"우끼끼",0,11,11,1,11,0,11,10,0,0,9,200000006,11,0,11,11,11,0,11,11,11,1,10,0,1,11,0,11,11
600010019,177,1482,19,0,0,19,15,30,200100,0,0,19,0,"우끼끼",0,19,19,1,19,0,19,10,0,0,13,200000006,19,0,19,19,19,0,19,19,19,1,10,0,1,19,0,19,19
600010021,206,1784,21,0,0,21,18,30,200100,0,0,21,0,"우끼끼",0,21,21,1,21,0,21,10,0,0,15,200000006,21,0,21,21,21,0,21,21,21,1,10,0,1,21,0,21,21
600020011,138,954,11,0,0,11,11,30,200200,0,0,11,0,"벌룬 버드",0,11,11,1,11,0,11,10,0,0,13,200000001,11,0,11,11,11,0,11,11,11,1,10,0,1,11,0,11,11
600020019,215,2090,19,0,0,19,14,30,200200,0,0,19,0,"벌룬 버드",0,19,19,1,19,0,19,10,0,0,16,200000001,19,0,19,19,19,0,19,19,19,1,10,0,1,19,0,19,19
600020020,223,2296,20,0,0,20,14,30,200200,0,0,20,0,"벌룬 버드",0,20,20,1,20,0,20,10,0,0,16,200000001,20,0,20,20,20,0,20,20,20,1,10,0,1,20,0,20,20
600030011,0,1076,11,0,0,11,22,30,200300,0,0,11,0,"게이트 키퍼",0,11,11,1,11,0,11,10,0,0,13,200000008,11,0,11,11,11,0,11,11,11,1,10,0,1,11,123,11,11
600030019,0,2828,19,0,0,19,27,30,200300,0,0,19,0,"게이트 키퍼",0,19,19,1,19,0,19,10,0,0,18,200000008,19,0,19,19,19,0,19,19,19,1,10,0,1,19,200,19,19
600030020,0,2939,20,0,0,20,27,30,200300,0,0,20,0,"게이트 키퍼",0,20,20,1,20,0,20,10,0,0,18,200000008,20,0,20,20,20,0,20,20,20,1,10,0,1,20,203,20,20
600040010,247,1702,10,0,0,10,8,30,200400,0,0,10,0,"웨어울프",0,10,10,1,10,0,10,10,0,0,6,200000001,10,0,10,10,10,0,10,10,10,1,10,0,1,10,0,10,10
600040018,426,3229,18,0,0,18,14,30,200400,0,0,18,0,"웨어울프",0,18,18,1,18,0,18,10,0,0,11,200000001,18,0,18,18,18,0,18,18,18,1,10,0,1,18,0,18,18
600040020,490,3804,20,0,0,20,16,30,200400,0,0,20,0,"웨어울프",0,20,20,1,20,0,20,10,0,0,13,200000001,20,0,20,20,20,0,20,20,20,1,10,0,1,20,0,20,20
600050001,40,320,1,0,0,1,3,30,200500,0,0,1,0,"와일드 혼",0,1,1,1,1,0,1,10,0,0,2,200000001,1,0,1,1,1,0,1,1,1,1,10,0,1,1,0,1,1
