sheet_name,id,chara_index,talk_text,direction,talk_id,cue_name
vo_minigame_1004,1000101,1,"훗훗후, 이걸로 카야삐와 보스가 돌아보게 하는 거예요!",2,10001,vo_minigame_1004_top_1_000
vo_minigame_1004,1000201,1,"끝말잇기 싸움, 오빠도 도와주세요",2,10002,vo_minigame_1004_top_1_003
vo_minigame_1004,1000301,2,"어떤 싸움이든 내게 건다면 받아주는 게 싸움꾼이다! 상대해 주지!",1,10003,vo_minigame_1004_top_1_004
vo_minigame_1004,1000401,2,"석판으로 끝말잇기인가…… 이노리 녀석 재미있는 생각을 하네",1,10004,vo_minigame_1004_top_1_005
vo_minigame_1004,1000501,2,"끝말잇기든 뭐든 되받아쳐 주지",1,10005,vo_minigame_1004_top_1_006
vo_minigame_1004,1000601,3,"크릉……(나, 배고파)",2,10006,vo_minigame_1004_top_1_007
vo_minigame_1004,1000701,3,"크르르르릉(끝말잇기 재밌어)",2,10007,vo_minigame_1004_top_1_008
vo_minigame_1004,1000801,3,"크르르르릉!(이노리는 좋은 녀석)",2,10008,vo_minigame_1004_top_1_009
vo_minigame_1004,1000901,1,"카야삐가 상대라도 봐주지 않을 거예요",2,10009,vo_minigame_1004_top_2_010
vo_minigame_1004,1000902,2,"훌륭해! 하기로 한 이상 진심으로 덤비라고",1,10009,vo_minigame_1004_top_2_011
vo_minigame_1004,1001001,1,"캬야삐, 사과하려면 지금이에요",2,10010,vo_minigame_1004_top_2_012
vo_minigame_1004,1001002,2,"이노리야말로 울면서 애원하려면 지금이라고?",1,10010,vo_minigame_1004_top_2_013
vo_minigame_1004,1001101,1,"카야삐, 앞으로는 지성의 시대라고요?",2,10011,vo_minigame_1004_top_2_014
vo_minigame_1004,1001102,2,"잠깐! 내가 바보라는 듯 말하지 마!!",1,10011,vo_minigame_1004_top_2_015
vo_minigame_1004,1001201,1,"자, 우리의 힘을 보여주는 거예요",1,10012,vo_minigame_1004_top_2_016
vo_minigame_1004,1001202,3,"크릉!(맡겨줘!)",2,10012,vo_minigame_1004_top_2_017
vo_minigame_1004,1001301,1,"옳지 옳지, 좋아요 잘하면 초콜릿을 줄게요!",1,10013,vo_minigame_1004_top_2_018
vo_minigame_1004,1001302,3,"크릉!(나 초콜릿 좋아)",2,10013,vo_minigame_1004_top_2_019
vo_minigame_1004,1001401,2,"저기 이노리…… 혹시 당초 목적 잃어버리지 않았지?",1,10014,vo_minigame_1004_top_2_023
vo_minigame_1004,1001402,1,"물론 기억해요 카야삐를 쓰러뜨리고 우리의 지능을 증명하는 거예요",2,10014,vo_minigame_1004_top_2_024
vo_minigame_1004,1001501,2,"아무리 이노리가 상대라도 승리를 양보할 생각은 없으니까!",1,10015,vo_minigame_1004_top_2_025
vo_minigame_1004,1001502,1,"바라는 바입니다 봐주기 없기예요",2,10015,vo_minigame_1004_top_2_026
vo_minigame_1004,1001601,2,"헷, 꽤 하잖아",1,10016,vo_minigame_1004_top_2_027
vo_minigame_1004,1001602,1,"카야삐도 생각보다 잘하는군요!",2,10016,vo_minigame_1004_top_2_028
vo_minigame_1004,1001701,2,"어~이, 모조 드래곤?",1,10017,vo_minigame_1004_top_2_029
vo_minigame_1004,1001702,3,"크릉!?(힉!)",2,10017,vo_minigame_1004_top_2_030
vo_minigame_1004,1001801,2,"아니이, 그땐 미안했어 하하핫",1,10018,vo_minigame_1004_top_2_031
vo_minigame_1004,1001802,3,"크르르르……(카야삐 무서웠어)",2,10018,vo_minigame_1004_top_2_032
vo_minigame_1004,1001901,2,"넌…… 정말 멍청한 얼굴을 하고 있네",1,10019,vo_minigame_1004_top_2_033
vo_minigame_1004,1001902,3,"크릉……(네가 할 말이냐)",2,10019,vo_minigame_1004_top_2_034
vo_minigame_1004,1002001,3,"크릉……(배고파 초콜릿 줘)",2,10020,vo_minigame_1004_top_2_044
vo_minigame_1004,1002002,2,"뭐야? 졸린 거야?",1,10020,vo_minigame_1004_top_2_045
vo_minigame_1004,1002101,3,"크르릉(이 녀석…… 위험해)",2,10021,vo_minigame_1004_top_2_046
vo_minigame_1004,1002102,2,"응? 뭐지? 내 사제라도 되고 싶어?",1,10021,vo_minigame_1004_top_2_047
vo_minigame_1004,1002201,3,"크릉…(카야삐 멍청이)",2,10022,vo_minigame_1004_top_2_048
vo_minigame_1004,1002202,2,"이봐, 지금 무례한 생각 했지?",1,10022,vo_minigame_1004_top_2_049
vo_minigame_1004,1002301,2,"저기, 이거 언제까지 할 거야?",1,10023,vo_minigame_1004_top_3_058
vo_minigame_1004,1002302,1,"카야삐가 항복할 때까지입니다!",2,10023,vo_minigame_1004_top_3_059
vo_minigame_1004,1002303,3,"크르릉!(항복해!)",2,10023,vo_minigame_1004_top_3_060
vo_minigame_1004,1002401,3,"크릉!(이노리 초콜릿 줘)",2,10024,vo_minigame_1004_top_3_065
vo_minigame_1004,1002402,1,"어쩔 수 없군요, 너무 많이 먹으면 안 돼요",1,10024,vo_minigame_1004_top_3_066
vo_minigame_1004,1002403,2,"초콜릿 선물, 상당히 마음에 들었나 보네",1,10024,vo_minigame_1004_top_3_067
vo_minigame_1004,1002501,3,"크릉!(카야삐에게는 안 져!)",2,10025,vo_minigame_1004_top_3_068
vo_minigame_1004,1002502,2,"오? 뭐야? 배라도 고픈 건가?",1,10025,vo_minigame_1004_top_3_069
vo_minigame_1004,1002503,1,"……말이 전혀 통하고 있지 않아요",2,10025,vo_minigame_1004_top_3_070
