magic_str,accuracy,physical_critical,physical_penetrate,def,magic_critical,wave_hp_recovery,energy_recovery_rate,wave_energy_recovery,energy_reduce_rate,magic_def,atk,dodge,max_lv,min_lv,id,hp,magic_penetrate,life_steal,hp_recovery_rate,equipment_id
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,-1,2,1300110,0.0,0.0,0.0,0.0,130011
2.3,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-1,2,1300210,0.0,0.0,0.0,0.25,130021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,-1,2,1300310,5.5,0.0,0.0,0.0,130031
0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,3.35,0.0,-1,2,1300410,0.0,0.0,0.0,0.0,130041
0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-1,2,1300510,6.5,0.0,0.0,0.0,130051
3.6,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,-1,2,1300610,0.0,0.0,0.0,0.0,130061
0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,300,2,1300710,11.5,0.0,0.0,0.0,130071
0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,-1,301,1300711,11.5,0.0,0.0,0.0,130071
3.15,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-1,2,1300810,0.0,0.0,0.0,0.0,130081
4.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2,1300910,0.0,0.0,0.0,0.0,130091
2.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-1,2,1301010,0.0,0.0,0.0,0.25,130101
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,-1,2,1301110,0.0,0.0,0.0,0.0,130111
0.0,0.0,90.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,-1,1,1301120,0.0,0.0,0.0,0.0,130112
4.4,0.0,0.0,0.0,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2,1301210,0.0,0.0,0.0,0.0,130121
4.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2,1301310,0.0,0.0,0.0,0.0,130131
0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,1,1301320,830.0,0.0,0.0,0.0,130132
