id,description,effect_name,quest_id,icon_name
1,"지타의 섀도우가 추가된다.","섀도우 1명 추가",74001102,add_shadow
2,"지타, 사렌(여름), 아메스의 섀도우가 추가된다.","섀도우 3명 추가",74001103,add_shadow
3,"노조미의 섀도우가 ★6이 된다.","섀도우 ★6화",74001104,star6_shadow
4,"지타, 사렌(여름), 아메스의 섀도우가 추가된다.","섀도우 3명 추가",74001104,add_shadow
5,"노조미, 지타, 쿄우카의 섀도우가 ★6이 된다.","섀도우 ★6화",74001105,star6_shadow
6,"지타, 사렌(여름), 아메스의 섀도우가 추가된다.","섀도우 3명 추가",74001105,add_shadow
7,"유카리의 섀도우가 추가된다.","섀도우 1명 추가",74001202,add_shadow
8,"유카리, 무이미(새해), 유이의 섀도우가 추가된다.","섀도우 3명 추가",74001203,add_shadow
9,"유카리와 유이의 섀도우가 ★6이 된다.","섀도우 ★6화",74001204,star6_shadow
10,"유카리, 무이미(새해), 유이의 섀도우가 추가된다.","섀도우 3명 추가",74001204,add_shadow
11,"미야코, 유카리, 마호, 유이의 섀도우가 ★6이 된다.","섀도우 ★6화",74001205,star6_shadow
12,"유카리, 무이미(새해), 유이의 섀도우가 추가된다.","섀도우 3명 추가",74001205,add_shadow
13,"전투 시작 시, 보스 몬스터가 마법 데미지 20％ 컷 상태가 된다.","보스 마법 데미지 컷",74001301,boss_magic_cut
14,"전투 시작 시, 보스 몬스터가 마법 데미지 50％ 컷 상태가 된다.","보스 마법 데미지 컷",74001302,boss_magic_cut
15,"시즈루(여름)의 섀도우가 추가된다.","섀도우 1명 추가",74001302,add_shadow
16,"전투 시작 시, 보스 몬스터가 적 전원의 TP를 (중) 증가시킨다.","시작 시 TP 회복",74001303,energy_recover
17,"전투 시작 시, 보스 몬스터가 마법 데미지 50％ 컷 상태가 된다.","보스 마법 데미지 컷",74001303,boss_magic_cut
18,"시즈루(여름)와 크리스티나의 섀도우가 추가된다.","섀도우 2명 추가",74001303,add_shadow
19,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74001304,boss_ub_enhance
20,"전투 시작 시, 보스 몬스터가 적 전원의 TP를 (중) 증가시킨다.","시작 시 TP 회복",74001304,energy_recover
21,"전투 시작 시, 보스 몬스터가 마법 데미지 70％ 컷 상태가 된다.","보스 마법 데미지 컷",74001304,boss_magic_cut
22,"시즈루(여름)와 크리스티나의 섀도우가 추가된다.","섀도우 2명 추가",74001304,add_shadow
23,"전투 시간이 60초가 된다.","전투 시간 제한",74001305,limit_time
24,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74001305,boss_ub_enhance
25,"전투 시작 시, 보스 몬스터가 적 전원의 TP를 (중) 증가시킨다.","시작 시 TP 회복",74001305,energy_recover
26,"전투 시작 시, 보스 몬스터가 마법 데미지 100％ 컷 상태가 된다.","보스 마법 데미지 컷",74001305,boss_magic_cut
27,"시즈루(여름)와 크리스티나의 섀도우가 추가된다.","섀도우 2명 추가",74001305,add_shadow
28,"전투 시작 시, 보스 몬스터가 물리 데미지 20％ 컷 상태가 된다.","보스 물리 데미지 컷",74001401,boss_physics_cut
29,"전투 시작 시, 보스 몬스터가 물리 데미지 50％ 컷 상태가 된다.","보스 물리 데미지 컷",74001402,boss_physics_cut
30,"쿠우카(오에도)의 섀도우가 추가된다.","섀도우 1명 추가",74001402,add_shadow
31,"전투 시작 시, 보스 몬스터가 적 전원의 TP를 (중) 증가시킨다.","시작 시 TP 회복",74001403,energy_recover
32,"전투 시작 시, 보스 몬스터가 물리 데미지 50％ 컷 상태가 된다.","보스 물리 데미지 컷",74001403,boss_physics_cut
33,"쿠우카(오에도)와 네네카의 섀도우가 추가된다.","섀도우 2명 추가",74001403,add_shadow
34,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74001404,boss_ub_enhance
35,"전투 시작 시, 보스 몬스터가 적 전원의 TP를 (중) 증가시킨다.","시작 시 TP 회복",74001404,energy_recover
36,"전투 시작 시, 보스 몬스터가 물리 데미지 70％ 컷 상태가 된다.","보스 물리 데미지 컷",74001404,boss_physics_cut
37,"쿠우카(오에도)와 네네카의 섀도우가 추가된다.","섀도우 2명 추가",74001404,add_shadow
38,"전투 시간이 60초가 된다.","전투 시간 제한",74001405,limit_time
39,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74001405,boss_ub_enhance
40,"전투 시작 시, 보스 몬스터가 적 전원의 TP를 (중) 증가시킨다.","시작 시 TP 회복",74001405,energy_recover
41,"전투 시작 시, 보스 몬스터가 물리 데미지 100％ 컷 상태가 된다.","보스 물리 데미지 컷",74001405,boss_physics_cut
42,"쿠우카(오에도)와 네네카의 섀도우가 추가된다.","섀도우 2명 추가",74001405,add_shadow
43,"전투 시작 후 일정 시간 보스 몬스터의 물리 공격력이 (중) 증가한다.","시작 시 공격력 증가",74001502,boss_atk_up
44,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74001503,limit_chara_num
45,"전투 시작 후 일정 시간 보스 몬스터의 물리 공격력이 (중) 증가한다.","시작 시 공격력 증가",74001503,boss_atk_up
46,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74001504,limit_chara_num
47,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74001504,boss_ub_enhance
48,"전투 시작 후 일정 시간 보스 몬스터의 물리 공격력이 (중) 증가한다.","시작 시 공격력 증가",74001504,boss_atk_up
49,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74001505,limit_chara_num
50,"파티 캐릭터의 최대 HP가 20% 감소한다.","캐릭터 최대 HP 감소",74001505,max_hp_down
51,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74001505,boss_ub_enhance
52,"전투 시작 후 일정 시간 보스 몬스터의 물리 공격력이 (중) 증가한다.","시작 시 공격력 증가",74001505,boss_atk_up
53,"카린의 섀도우가 추가된다.","섀도우 1명 추가",74002102,add_shadow
54,"미야코, 유카리, 아유미의 섀도우에게 전용 장비가 추가된다.","섀도우 강화",74002103,star6_shadow
55,"카린의 섀도우가 추가된다.","섀도우 1명 추가",74002103,add_shadow
