sheet_id,voice_id,description,id,title,unit_id
vo_btl_100101,vo_btl_100101_win_001,"",10010101,"승리 1",100101
vo_btl_100101,vo_btl_100101_win_002,"",10010102,"승리 2",100101
vo_btl_100101,vo_btl_100101_win_003,"",10010103,"승리 3",100101
vo_btl_100101,vo_btl_100101_lose_001,"",10010104,"패배 1",100101
vo_btl_100101,vo_btl_100101_lose_002,"",10010105,"패배 2",100101
vo_btl_100101,vo_btl_100101_lose_003,"",10010106,"패배 3",100101
vo_btl_100101,vo_btl_100101_retire_001,"",10010107,"기절 1",100101
vo_btl_100101,vo_btl_100101_retire_002,"",10010108,"기절 2",100101
vo_btl_100101,vo_btl_100101_retire_003,"",10010109,"기절 3",100101
vo_btl_100101,vo_btl_100101_cutin_001,"",10010110,"스킬 컷인 1",100101
vo_btl_100101,vo_btl_100101_cutin_002,"",10010111,"스킬 컷인 2",100101
vo_btl_100101,vo_btl_100101_cutin_003,"",10010112,"스킬 컷인 3",100101
vo_btl_100101,vo_btl_100101_skill_000_001,"",10010113,"유니온 버스트 1",100101
vo_btl_100101,vo_btl_100101_skill_000_002,"",10010114,"유니온 버스트 2",100101
vo_btl_100101,vo_btl_100101_skill_000_003,"",10010115,"유니온 버스트 3",100101
vo_btl_100101,vo_btl_100101_wavestart,"",10010116,"전투 시작",100101
vo_btl_100101,vo_btl_100101_nextwave,"",10010117,"다음 wave",100101
vo_btl_100101,vo_btl_100101_lastwave,"",10010118,"최종 wave",100101
vo_cmn_100101,vo_cmn_100101_battlestart_001,"",10010119,"전투 로딩",100101
vo_cmn_100101,vo_cmn_100101_battleresult_001,"",10010120,"전투 결과 1",100101
vo_cmn_100101,vo_cmn_100101_battleresult_002,"",10010121,"전투 결과 2",100101
vo_cmn_100101,vo_cmn_100101_mypage_001,"",10010122,"마이 페이지 1",100101
vo_cmn_100101,vo_cmn_100101_mypage_002,"",10010123,"마이 페이지 2",100101
vo_cmn_100101,vo_cmn_100101_mypage_003,"",10010124,"마이 페이지 3",100101
vo_cmn_100101,vo_cmn_100101_mypage_004,"",10010125,"마이 페이지 4",100101
vo_cmn_100101,vo_cmn_100101_mypage_005,"",10010126,"마이 페이지 5",100101
vo_cmn_100101,vo_cmn_100101_gacha_001,"",10010127,"뽑기 등장 대사",100101
vo_cmn_100101,vo_cmn_100101_profile_001,"",10010128,"자기 소개",100101
vo_room_100101,vo_room_100101_auto_001,"",10010129,"길드 하우스 1",100101
vo_room_100101,vo_room_100101_auto_002,"",10010130,"길드 하우스 2",100101
vo_room_100101,vo_room_100101_auto_003,"",10010131,"길드 하우스 3",100101
vo_room_100101,vo_room_100101_auto_004,"",10010132,"길드 하우스 4",100101
vo_room_100101,vo_room_100101_auto_005,"",10010133,"길드 하우스 5",100101
