start_time,limit_num,serial_campaign_id,count_share_id,campaign_name,end_time,serial_group_id
"2030-08-04 12:00:00",1,10101,0,"애니메이션 프린세스 커넥트! Re:Dive 1 동봉 특전","2030/12/31 23:59:59",101
"2030-09-03 19:00:00",1,10102,0,"애니메이션 프린세스 커넥트! Re:Dive 2 동봉 특전","2030/12/31 23:59:59",101
"2029-10-01 17:00:00",1,10103,0,"애니메이션 프린세스 커넥트! Re:Dive 3 동봉 특전","2030/12/31 23:59:59",101
"2029-11-05 12:00:00",1,10104,0,"애니메이션 프린세스 커넥트! Re:Dive 4 동봉 특전","2030/12/31 23:59:59",101
"2029-03-21 00:00:00",1,10201,0,"애니메이션 프린세스 커넥트! Re:Dive Season2 1권 구입 특전","2030/12/31 23:59:59",102
"2029-04-18 00:00:00",1,10202,0,"애니메이션 프린세스 커넥트! Re:Dive Season2 2권 구입 특전","2030/12/31 23:59:59",102
"2029-05-16 00:00:00",1,10203,0,"애니메이션 프린세스 커넥트! Re:Dive Season2 3권 구입 특전","2030/12/31 23:59:59",102
"2029-05-19 00:00:00",1,20101,0,"주간 패미통 6월 3일 호(5월 20일 발매) 수록 특전","2029/05/19 23:59:59",201
"2029-07-30 00:00:00",1,20201,0,"공식 아트웍스 Vol.3 발매 기념 아이템","2030/07/30 23:59:59",202
"2030-01-15 15:00:00",3,20301,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20302,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20303,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20304,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20305,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20306,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20307,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20308,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20309,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20310,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20311,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20312,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20313,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20314,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20315,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20316,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2030-01-15 15:00:00",3,20317,1,"프리코네 페스 2023 리얼 뽑기","2031/01/31 23:59:59",203
"2031-02-14 00:00:00",1,20401,0,"캐릭터 송 앨범 Vol.5 구입 특전","2032/02/13 23:59:59",204
"2031-02-14 00:00:00",1,20501,0,"사운드 트랙 Vol.6 구입 특전","2032/02/13 23:59:59",205
"2031-11-29 12:00:00",0,20601,0,"사가시 고향 납세 답례품","2032/12/31 23:59:59",206
"2031-11-29 12:00:00",0,20602,0,"사가시 고향 납세 답례품","2032/12/31 23:59:59",206
"2031-11-29 12:00:00",0,20603,0,"사가시 고향 납세 답례품","2032/12/31 23:59:59",206
"2032-02-10 12:00:00",1,20701,0,"캐릭터 송 앨범 Vol.6 구입 특전","2033/02/11 23:59:59",207
