disp_group,mission_reward_id,event_id,condition_num,daily_mission_id,condition_value_1,system_id,mission_condition,condition_value_2,start_time,description,category_icon,end_time,condition_value_3
101,61001001,10001,1,61001001,0,6008,9012,0,"2019/05/01 15:00:00","지즈에게 1회 도전하자(NORMAL, HARD 공통)",601,"2019/05/21 14:59:59",0
102,61001002,10001,10,61001002,0,6004,9004,0,"2019/05/01 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2019/05/21 14:59:59",0
101,61002001,10002,1,61002001,0,6008,9012,0,"2019/05/29 15:00:00","알마에게 1회 도전하자(NORMAL, HARD 공통)",601,"2019/06/18 14:59:59",0
102,61002002,10002,10,61002002,0,6004,9004,0,"2019/05/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2019/06/18 14:59:59",0
101,61003001,10003,1,61003001,0,6008,9012,0,"2019/06/27 15:00:00","가르그에게 1회 도전하자(NORMAL, HARD 공통)",601,"2019/07/17 14:59:59",0
102,61003002,10003,10,61003002,0,6004,9004,0,"2019/06/27 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2019/07/17 14:59:59",0
101,61004001,10004,1,61004001,0,6008,9012,0,"2019/07/30 15:00:00","텐타퍼스에게 1회 도전하자(전체 난이도 공통)",601,"2019/08/19 14:59:59",0
102,61004002,10004,10,61004002,0,6004,9004,0,"2019/07/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2019/08/19 14:59:59",0
101,61005001,10005,1,61005001,0,6008,9012,0,"2019/08/29 15:00:00","섬고래에게 1회 도전하자(전체 난이도 공통)",601,"2019/09/17 14:59:59",0
102,61005002,10005,10,61005002,0,6004,9004,0,"2019/08/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2019/09/17 14:59:59",0
101,61006001,10006,1,61006001,0,6008,9012,0,"2019/10/01 15:00:00","리빙 메일에게 1회 도전하자(전체 난이도 공통)",601,"2019/10/20 14:59:59",0
102,61006002,10006,10,61006002,0,6004,9004,0,"2019/10/01 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2019/10/20 14:59:59",0
101,61007001,10007,1,61007001,0,6008,9012,0,"2019/10/30 15:00:00","잭 오 푸딩에게 1회 도전하자(전체 난이도 공통)",601,"2019/11/17 14:59:59",0
102,61007002,10007,10,61007002,0,6004,9004,0,"2019/10/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2019/11/17 14:59:59",0
101,61008001,10008,1,61008001,0,6008,9012,0,"2019/11/28 15:00:00","올램에게 1회 도전하자(전체 난이도 공통)",601,"2019/12/17 14:59:59",0
102,61008002,10008,10,61008002,0,6004,9004,0,"2019/11/28 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2019/12/17 14:59:59",0
101,61009001,10009,1,61009001,0,6008,9012,0,"2019/12/31 15:00:00","미스티에게 1회 도전하자(전체 난이도 공통)",601,"2020/01/16 14:59:59",0
102,61009002,10009,10,61009002,0,6004,9004,0,"2019/12/31 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/01/16 14:59:59",0
101,61010001,10010,1,61010001,0,6008,9012,0,"2020/01/30 15:00:00","사악한 떡의 신 가미에게 1회 도전하자(전체 난이도 공통)",601,"2020/02/13 14:59:59",0
102,61010002,10010,10,61010002,0,6004,9004,0,"2020/01/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/02/13 14:59:59",0
101,61011001,10011,1,61011001,0,6008,9012,0,"2020/02/27 15:00:00","어글리 러블리에게 1회 도전하자(전체 난이도 공통)",601,"2020/03/12 14:59:59",0
102,61011002,10011,10,61011002,0,6004,9004,0,"2020/02/27 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/03/12 14:59:59",0
