line_num,seek_time,story_id,command_param,start_pos,sheet_name,cue_name,end_pos,seq_num,id,type,command
0,0.0,10116115,0.8,0,0,0,0,1,1011611501,4,1
0,0.0,10116115,0.0,0,vo_won,vo_won_10116115_01,0,2,1011611502,2,0
1,2.18,10116115,0.0,0,0,0,277,3,1011611503,1,0
0,0.0,10116115,3.07,0,0,0,0,4,1011611504,4,1
1,1.0,10116115,0.0,277,0,0,395,5,1011611505,1,0
0,0.0,10116115,1.0,0,0,0,0,6,1011611506,4,1
2,2.51,10116115,0.0,0,0,0,295,7,1011611507,1,0
0,0.0,10116115,3.03,0,0,0,0,8,1011611508,4,1
2,1.2,10116115,0.0,295,0,0,430,9,1011611509,1,0
0,0.0,10116115,1.2,0,0,0,0,10,1011611510,4,1
3,0.92,10116115,0.0,0,0,0,71,11,1011611511,1,0
0,0.0,10116115,1.12,0,0,0,0,12,1011611512,4,1
3,2.09,10116115,0.0,71,0,0,430,13,1011611513,1,0
0,0.0,10116115,2.09,0,0,0,0,14,1011611514,4,1
4,0.98,10116115,0.0,0,0,0,89,15,1011611515,1,0
0,0.0,10116115,1.47,0,0,0,0,16,1011611516,4,1
4,2.38,10116115,0.0,89,0,0,440,17,1011611517,1,0
0,0.0,10116115,2.38,0,0,0,0,18,1011611518,4,1
5,0.588999999999999,10116115,0.0,0,0,0,100,19,1011611519,1,0
0,0.0,10116115,0.965999999999999,0,0,0,0,20,1011611520,4,1
5,1.423,10116115,0.0,100,0,0,291,21,1011611521,1,0
0,0.0,10116115,2.673,0,0,0,0,22,1011611522,4,1
0,0.0,10116115,0.0,0,vo_won,vo_won_10116115_02,0,23,1011611523,2,0
6,1.39,10116115,0.0,0,0,0,130,24,1011611524,1,0
0,0.0,10116115,2.1,0,0,0,0,25,1011611525,4,1
6,1.5,10116115,0.0,130,0,0,450,26,1011611526,1,0
0,0.0,10116115,1.5,0,0,0,0,27,1011611527,4,1
7,0.553,10116115,0.0,0,0,0,54,28,1011611528,1,0
0,0.0,10116115,1.05,0,0,0,0,29,1011611529,4,1
7,2.553,10116115,0.0,54,0,0,430,30,1011611530,1,0
0,0.0,10116115,2.553,0,0,0,0,31,1011611531,4,1
8,0.761,10116115,0.0,0,0,0,134,32,1011611532,1,0
0,0.0,10116115,1.375,0,0,0,0,33,1011611533,4,1
0,0.0,10116115,0.0,0,vo_won,vo_won_10116115_03,0,34,1011611534,2,0
8,1.261,10116115,0.0,134,0,0,273,35,1011611535,1,0
0,0.0,10116115,1.715,0,0,0,0,36,1011611536,4,1
8,1.87,10116115,0.0,273,0,0,450,37,1011611537,1,0
0,0.0,10116115,1.87,0,0,0,0,38,1011611538,4,1
9,3.212,10116115,0.0,0,0,0,450,39,1011611539,1,0
0,0.0,10116115,3.212,0,0,0,0,40,1011611540,4,1
10,1.299,10116115,0.0,0,0,0,283,41,1011611541,1,0
0,0.0,10116115,2.542,0,0,0,0,42,1011611542,4,1
0,0.0,10116115,0.0,0,vo_won,vo_won_10116115_04,0,43,1011611543,2,0
11,0.717,10116115,0.0,0,0,0,75,44,1011611544,1,0
0,0.0,10116115,1.491,0,0,0,0,45,1011611545,4,1
11,2.868,10116115,0.0,75,0,0,450,46,1011611546,1,0
0,0.0,10116115,3.897,0,0,0,0,47,1011611547,4,1
0,0.0,10116115,0.0,0,vo_won,vo_won_10116115_05,0,48,1011611548,2,0
12,1.079,10116115,0.0,0,0,0,120,49,1011611549,1,0
0,0.0,10116115,1.453,0,0,0,0,50,1011611550,4,1
12,3.532,10116115,0.0,120,0,0,450,51,1011611551,1,0
0,0.0,10116115,4.032,0,0,0,0,52,1011611552,4,1
0,0.0,10116115,0.0,0,vo_won,vo_won_10116115_06,0,53,1011611553,2,0
13,2.021,10116115,0.0,0,0,0,231,54,1011611554,1,0
0,0.0,10116115,2.845,0,0,0,0,55,1011611555,4,1
0,0.0,10116115,0.0,0,vo_won,vo_won_10116115_07,0,56,1011611556,2,0
13,2.861,10116115,0.0,231,0,0,450,57,1011611557,1,0
0,0.0,10116115,2.861,0,0,0,0,58,1011611558,4,1
14,0.982,10116115,0.0,0,0,0,142,59,1011611559,1,0
0,0.0,10116115,1.563,0,0,0,0,60,1011611560,4,1
14,1.916,10116115,0.0,142,0,0,450,61,1011611561,1,0
0,0.0,10116125,0.8,0,0,0,0,1,1011612501,4,1
0,0.0,10116125,0.0,0,vo_won,vo_won_10116125_01,0,2,1011612502,2,0
1,2.458,10116125,0.0,0,0,0,258,3,1011612503,1,0
0,0.0,10116125,3.21,0,0,0,0,4,1011612504,4,1
1,1.255,10116125,0.0,258,0,0,450,5,1011612505,1,0
0,0.0,10116125,1.255,0,0,0,0,6,1011612506,4,1
2,1.63,10116125,0.0,0,0,0,180,7,1011612507,1,0
0,0.0,10116125,2.759,0,0,0,0,8,1011612508,4,1
0,0.0,10116125,0.0,0,vo_won,vo_won_10116125_02,0,9,1011612509,2,0
2,0.753,10116125,0.0,180,0,0,249,10,1011612510,1,0
0,0.0,10116125,1.229,0,0,0,0,11,1011612511,4,1
2,1.255,10116125,0.0,249,0,0,450,12,1011612512,1,0
0,0.0,10116125,1.255,0,0,0,0,13,1011612513,4,1
3,2.138,10116125,0.0,0,0,0,320,14,1011612514,1,0
0,0.0,10116125,2.985,0,0,0,0,15,1011612515,4,1
3,0.501,10116125,0.0,320,0,0,430,16,1011612516,1,0
0,0.0,10116125,0.501,0,0,0,0,17,1011612517,4,1
4,1.807,10116125,0.0,0,0,0,211,18,1011612518,1,0
0,0.0,10116125,2.584,0,0,0,0,19,1011612519,4,1
4,0.703,10116125,0.0,211,0,0,254,20,1011612520,1,0
0,0.0,10116125,1.405,0,0,0,0,21,1011612521,4,1
4,1.153,10116125,0.0,254,0,0,456,22,1011612522,1,0
0,0.0,10116125,1.753,0,0,0,0,23,1011612523,4,1
5,2.233,10116125,0.0,0,0,0,300,24,1011612524,1,0
0,0.0,10116125,3.38,0,0,0,0,25,1011612525,4,1
5,0.1,10116125,0.0,300,0,0,450,26,1011612526,1,0
0,0.0,10116125,0.1,0,0,0,0,27,1011612527,4,1
0,0.0,10116125,0.0,0,vo_won,vo_won_10116125_03,0,28,1011612528,2,0
6,2.307,10116125,0.0,0,0,0,236,29,1011612529,1,0
0,0.0,10116125,2.859,0,0,0,0,30,1011612530,4,1
6,1.405,10116125,0.0,236,0,0,450,31,1011612531,1,0
0,0.0,10116125,1.832,0,0,0,0,32,1011612532,4,1
7,3.426,10116125,0.0,0,0,0,400,33,1011612533,1,0
0,0.0,10116125,3.912,0,0,0,0,34,1011612534,4,1
0,0.0,10116125,0.0,0,vo_won,vo_won_10116125_04,0,35,1011612535,2,0
8,3.0,10116125,0.0,0,0,0,399,36,1011612536,1,0
0,0.0,10116125,3.311,0,0,0,0,37,1011612537,4,1
8,0.979,10116125,0.0,399,0,0,450,38,1011612538,1,0
0,0.0,10116125,1.394,0,0,0,0,39,1011612539,4,1
9,3.346,10116125,0.0,0,0,0,450,40,1011612540,1,0
0,0.0,10116125,3.346,0,0,0,0,41,1011612541,4,1
10,0.828,10116125,0.0,0,0,0,190,42,1011612542,1,0
0,0.0,10116125,2.361,0,0,0,0,43,1011612543,4,1
0,0.0,10116125,0.0,0,vo_won,vo_won_10116125_05,0,44,1011612544,2,0
11,3.221,10116125,0.0,0,0,0,457,45,1011612545,1,0
0,0.0,10116125,3.999,0,0,0,0,46,1011612546,4,1
12,0.727,10116125,0.0,0,0,0,53,47,1011612547,1,0
0,0.0,10116125,1.405,0,0,0,0,48,1011612548,4,1
12,2.085,10116125,0.0,53,0,0,430,49,1011612549,1,0
0,0.0,10116125,3.523,0,0,0,0,50,1011612550,4,1
0,0.0,10116125,0.0,0,vo_won,vo_won_10116125_06,0,51,1011612551,2,0
13,0.62,10116125,0.0,0,0,0,67,52,1011612552,1,0
0,0.0,10116125,1.355,0,0,0,0,53,1011612553,4,1
13,2.483,10116125,0.0,67,0,0,440,54,1011612554,1,0
0,0.0,10116125,3.03,0,0,0,0,55,1011612555,4,1
14,1.284,10116125,0.0,0,0,0,220,56,1011612556,1,0
0,0.0,10116135,0.8,0,0,0,0,1,1011613501,4,1
0,0.0,10116135,0.0,0,vo_won,vo_won_10116135_01,0,2,1011613502,2,0
1,2.046,10116135,0.0,0,0,0,239,3,1011613503,1,0
0,0.0,10116135,2.601,0,0,0,0,4,1011613504,4,1
1,1.646,10116135,0.0,239,0,0,450,5,1011613505,1,0
0,0.0,10116135,2.101,0,0,0,0,6,1011613506,4,1
2,2.992,10116135,0.0,0,0,0,410,7,1011613507,1,0
0,0.0,10116135,4.249,0,0,0,0,8,1011613508,4,1
0,0.0,10116135,0.0,0,vo_won,vo_won_10116135_02,0,9,1011613509,2,0
3,0.865,10116135,0.0,0,0,0,87,10,1011613510,1,0
0,0.0,10116135,1.349,0,0,0,0,11,1011613511,4,1
3,2.925,10116135,0.0,87,0,0,450,12,1011613512,1,0
0,0.0,10116135,2.925,0,0,0,0,13,1011613513,4,1
4,0.64,10116135,0.0,0,0,0,66,14,1011613514,1,0
0,0.0,10116135,1.089,0,0,0,0,15,1011613515,4,1
4,1.967,10116135,0.0,66,0,0,289,16,1011613516,1,0
0,0.0,10116135,3.198,0,0,0,0,17,1011613517,4,1
0,0.0,10116135,0.0,0,vo_won,vo_won_10116135_03,0,18,1011613518,2,0
4,1.26,10116135,0.0,289,0,0,450,19,1011613519,1,0
0,0.0,10116135,1.26,0,0,0,0,20,1011613520,4,1
5,1.394,10116135,0.0,0,0,0,191,21,1011613521,1,0
0,0.0,10116135,2.162,0,0,0,0,22,1011613522,4,1
5,2.355,10116135,0.0,191,0,0,450,23,1011613523,1,0
0,0.0,10116135,2.355,0,0,0,0,24,1011613524,4,1
6,2.646,10116135,0.0,0,0,0,279,25,1011613525,1,0
0,0.0,10116135,4.005,0,0,0,0,26,1011613526,4,1
0,0.0,10116135,0.0,0,vo_won,vo_won_10116135_04,0,27,1011613527,2,0
6,1.54,10116135,0.0,279,0,0,450,28,1011613528,1,0
0,0.0,10116135,2.182,0,0,0,0,29,1011613529,4,1
7,2.931,10116135,0.0,0,0,0,260,30,1011613530,1,0
0,0.0,10116135,4.229,0,0,0,0,31,1011613531,4,1
0,0.0,10116135,0.0,0,vo_won,vo_won_10116135_05,0,32,1011613532,2,0
7,0.876,10116135,0.0,260,0,0,450,33,1011613533,1,0
0,0.0,10116135,1.994,0,0,0,0,34,1011613534,4,1
0,0.0,10116135,0.0,0,vo_won,vo_won_10116135_06,0,35,1011613535,2,0
8,3.336,10116135,0.0,0,0,0,330,36,1011613536,1,0
0,0.0,10116135,3.882,0,0,0,0,37,1011613537,4,1
8,0.936,10116135,0.0,330,0,0,450,38,1011613538,1,0
0,0.0,10116135,0.936,0,0,0,0,39,1011613539,4,1
9,5.02399999999999,10116135,0.0,0,0,0,450,40,1011613540,1,0
0,0.0,10116135,5.214,0,0,0,0,41,1011613541,4,1
0,0.0,10116135,0.0,0,vo_won,vo_won_10116135_07,0,42,1011613542,2,0
10,0.536,10116135,0.0,0,0,0,87,43,1011613543,1,0
0,0.0,10116135,0.952,0,0,0,0,44,1011613544,4,1
10,1.989,10116135,0.0,87,0,0,318,45,1011613545,1,0
0,0.0,10116135,3.059,0,0,0,0,46,1011613546,4,1
