unit_id,bg_id,unit_name,face_type
100131,510100,"하루사키 히요리",4
100231,510220,"쿠사노 유이",2
100331,510350,"시죠 레이",2
100431,510340,"호다카 미소기",4
100531,510010,"오리하라 마츠리",4
100631,510120,"카제미야 아카리",8
100731,510090,"이즈모 미야코",4
100831,510300,"니지무라 유키",2
100931,510300,"히이라기 안나",4
101032,510030,"히메미야 마호",4
101131,510360,"이노사키 리노",9
101231,510330,"카시와자키 하츠네",9
101332,510300,"탄노 나나카",4
101431,510221,"키리하라 카스미",2
101532,510070,"아이카와 미사토",4
101631,510300,"미나미 스즈나",2
101731,510050,"컁 카오리",9
101831,510220,"하세쿠라 이오",2
102031,510330,"아카네 미미",4
102131,510100,"쿠리바야시 쿠루미",2
102232,510350,"카제미야 요리",2
102331,510200,"호죠 아야네",1
102531,510040,"아마노 스즈메",4
102631,510090,"모리치카 린",2
102731,510090,"쿠라이시 에리코",4
102832,510290,"사사키 사렌",4
102931,510300,"사쿠라이 노조미",9
103031,510290,"니논 쥬베르",9
103131,510290,"카미키 시노부",4
103231,510120,"토도 아키노",4
103331,510140,"노토 마히루",4
103431,510350,"아야세 유카리",2
103631,510090,"히카와 쿄우카",4
103731,510030,"미쿠마 토모",3
103832,510260,"카시와자키 시오리",2
104031,510360,"후타바 아오이",4
104231,510200,"미스미 치카",4
104331,510220,"아키 마코토",1
104431,510120,"이리야 온스타인",4
104532,510150,"토오미 쿠우카",4
104632,510300,"미야사카 타마키",2
104731,510240,"시로가네 쥰",2
104831,510290,"오오가미 미후유",4
104931,510090,"호시노 시즈루",2
105031,510120,"타마이즈미 미사키",4
105131,510140,"요이가하마 미츠키",2
105231,510100,"리마",2
105331,510340,"모니카 바이스빈트",4
105432,510351,"마유미야 츠무기",4
105531,510040,"이시바시 아유미",2
105631,510290,"타치아라이 루카",4
105731,510230,"지타",2
105831,510300,"유스티아나 폰 아스트라이아",4
105931,510120,"나츠메 코코로",2
106031,510350,"모모치 키루야",2
106131,510121,"소노우에 무이미",4
106331,510350,"아리사",4
106431,510124,"아가토 시후나",2
106531,510352,"키도 카야",4
106631,510301,"이치노세 이노리",4
106731,510290,"토오노 호마레",4
106831,510120,"모사쿠지 아키라",2
106931,510201,"센리 마나",2
107031,510181,"우츠시미 네네카",4
107131,510120,"크리스티나 모건",4
107531,510360,"유스티아나 폰 아스트라이아",4
107631,510190,"나츠메 코코로",4
107731,510190,"아마노 스즈메",4
107831,510280,"모모치 키루야",2
107931,510250,"미야사카 타마키",2
108031,510250,"오오가미 미후유",4
108131,510300,"카미키 시노부",4
108231,510030,"이즈모 미야코",4
108331,510101,"타마이즈미 미사키",4
108431,510150,"미스미 치카",2
108531,510160,"쿠리바야시 쿠루미",2
108631,510280,"호죠 아야네",1
108731,510360,"하루사키 히요리",9
108831,510220,"쿠사노 유이",2
108931,510350,"시죠 레이",2
109031,510300,"쿠라이시 에리코",4
109131,510090,"호시노 시즈루",2
109531,510150,"토오미 쿠우카",4
109631,510350,"니논 쥬베르",9
110031,510250,"미나미 스즈나",9
110131,510190,"하세쿠라 이오",2
110331,510170,"사사키 사렌",4
110431,510360,"아키 마코토",1
110531,510250,"컁 카오리",2
110631,510240,"히메미야 마호",4
110731,510240,"후타바 아오이",4
110831,510150,"쿠로에 하나코",2
110931,510301,"카자마 치에루",4
111031,510050,"신교지 유니",4
111131,510301,"히카와 쿄우카",4
111231,510100,"호다카 미소기",4
111331,510100,"아카네 미미",4
111431,510240,"루나",4
111531,510280,"크리스티나 모건",4
111631,510150,"사쿠라이 노조미",9
111731,510282,"이리야 온스타인",4
111831,510100,"유스티아나 폰 아스트라이아",2
111931,510140,"나츠메 코코로",2
112031,510350,"모모치 키루야",2
112131,510390,"아마노 스즈메",4
112231,510320,"키리하라 카스미",2
112331,510320,"카시와자키 시오리",2
112431,510100,"시마무라 우즈키",2
112531,510290,"시부야 린",2
112631,510120,"혼다 미오",4
112731,510360,"모리치카 린",2
112831,510280,"노토 마히루",4
112931,510160,"이노사키 리노",9
113031,510150,"이시바시 아유미",2
113131,510292,"타치아라이 루카",2
113231,510250,"히이라기 안나",4
113331,510350,"탄노 나나카",4
113431,510250,"카시와자키 하츠네",4
113531,510250,"아이카와 미사토",4
113631,510250,"시로가네 쥰",2
113731,510350,"카제미야 아카리",4
113831,510350,"카제미야 요리",2
113931,510124,"마유미야 츠무기",4
114031,510280,"시죠 레이",2
114131,510290,"오리하라 마츠리",4
114231,510124,"모니카 바이스빈트",4
114331,510030,"미쿠마 토모",3
114431,510300,"토도 아키노",4
114531,510100,"사사키 사렌",4
114631,510352,"아야세 유카리",2
114731,510290,"소노우에 무이미",4
115031,510080,"우츠시미 네네카",4
115531,510240,"나츠메 코코로",2
115631,510040,"쿠사노 유이",4
115731,510160,"키리하라 카스미",2
115831,510124,"리마",2
115931,510220,"아키 마코토",1
116031,510124,"히메미야 마호",4
116231,510150,"쿠로에 하나코",2
116331,510050,"카자마 치에루",4
116431,510124,"신교지 유니",4
116531,510301,"이치노세 이노리",4
116631,510300,"키도 카야",4
116731,510390,"후타바 아오이",2
116831,510120,"미야사카 타마키",2
116931,510300,"오오가미 미후유",4
117031,510250,"쿠라이시 에리코",2
117131,510250,"호시노 시즈루",4
117231,510240,"사쿠라이 노조미",9
117331,510300,"미스미 치카",4
117431,510250,"마유미야 츠무기",4
117531,510400,"요이가하마 미츠키",4
117631,510090,"니지무라 유키",2
117731,510124,"컁 카오리",4
117831,510220,"니논 쥬베르",4
117931,510300,"미나미 스즈나",2
118031,510100,"클레어 보얀시아",4
118131,510392,"우노하나 란",4
118231,510100,"나가레 미소라",2
118531,510100,"칸자키 카린",2
119031,510090,"하세쿠라 이오",2
119131,510150,"토오미 쿠우카",4
119231,510303,"노토 마히루",4
119331,510392,"이노사키 리노",9
119931,510091,"이즈모 미야코",4
120031,510090,"호시노 시즈루",4
120731,510130,"아가토 시후나",2
120831,510303,"타치아라이 루카",2
120931,510202,"이리야 온스타인",4
121031,510360,"유스티아나 폰 아스트라이아",4
121131,510350,"모모치 키루야",2
121231,510121,"모사쿠지 아키라",2
121331,510300,"쿠리바야시 쿠루미",2
121431,510290,"타마이즈미 미사키",4
121531,510221,"이시바시 아유미",2
121631,510030,"이치노세 이노리",4
121931,510300,"히이라기 안나",4
122031,510350,"카미키 시노부",4
122131,510390,"후타바 아오이",2
122231,510070,"아야세 유카리",2
122331,510212,"밤피",20
122431,510250,"하루사키 히요리",2
122531,510250,"시죠 레이",2
122631,510250,"쿠사노 유이",4
122731,510250,"히카와 쿄우카",4
122831,510250,"호다카 미소기",4
122931,510080,"아카네 미미",4
123131,510280,"히메미야 마호",4
123231,510080,"호죠 아야네",2
123331,510350,"시키바 네아",2
123531,510090,"모리치카 린",2
123631,510290,"미쿠마 토모",3
123731,510090,"탄노 나나카",4
123831,510350,"크리스티나 모건",4
123931,510360,"오리하라 마츠리",4
124031,510330,"카제미야 아카리",4
124131,510150,"카제미야 요리",2
124231,510280,"시로가네 쥰",2
124531,510290,"토오노 호마레",4
124631,510130,"아이카와 미사토",4
124731,510301,"요이가하마 미츠키",4
124831,510352,"사쿠라이 노조미",9
124931,510350,"키도 카야",4
125031,510160,"소노우에 무이미",4
125131,510360,"미야사카 타마키",7
125231,510210,"모니카 바이스빈트",4
125331,510140,"나츠메 코코로",2
125431,510100,"카시와자키 시오리",2
125531,510220,"지타",2
125631,510350,"비카라",2
125731,510300,"칸자키 카린",2
125831,510090,"토쿠가와 리리",2
126031,510170,"쿠오 리아",2
126131,510082,"프레시아 와이즈먼",4
126231,510300,"이리야 온스타인",4
126331,510090,"니지무라 유키",2
126431,510124,"쿠로우 치에",4
126531,510125,"바라키 에루",4
126631,510080,"우츠시미 네네카",4
126731,510350,"토도 아키노",4
126831,510250,"아야세 유카리",2
126931,510390,"우노하나 란",4
127031,510350,"토오미 쿠우카",4
127131,510301,"카미키 시노부",4
127231,510240,"모모치 키루야",2
127331,510280,"미나미 스즈나",9
127531,510230,"사사키 사렌",2
127631,510290,"타치아라이 루카",4
127731,510350,"린드",2
127831,510090,"블룸",2
127931,510125,"유스티아나 폰 아스트라이아",4
128031,510301,"클레어 보얀시아",4
128331,510290,"이치노세 이노리",4
128431,510103,"카시와자키 하츠네",4
128531,510160,"키리하라 카스미",2
128731,510301,"하루사키 히요리",9
128831,510150,"시죠 레이",2
128931,510240,"쿠사노 유이",2
