rank,enhance_level,total_point,needed_mana,needed_point,equip_slot
1,2,10,500,10,1
1,3,20,500,10,1
1,4,30,500,10,1
1,5,40,500,10,1
1,6,50,500,10,1
1,7,60,500,10,1
1,8,70,500,10,1
1,9,80,500,10,1
1,10,90,500,10,1
1,11,105,500,15,1
1,12,120,500,15,1
1,13,135,500,15,1
1,14,150,500,15,1
1,15,165,500,15,1
1,16,180,500,15,1
1,17,195,500,15,1
1,18,210,500,15,1
1,19,225,500,15,1
1,20,240,500,15,1
1,21,265,500,25,1
1,22,290,500,25,1
1,23,315,500,25,1
1,24,340,500,25,1
1,25,365,500,25,1
1,26,390,500,25,1
1,27,415,500,25,1
1,28,440,500,25,1
1,29,465,500,25,1
1,30,490,500,25,1
2,31,530,500,40,1
2,32,570,500,40,1
2,33,610,500,40,1
2,34,650,500,40,1
2,35,690,500,40,1
2,36,730,500,40,1
2,37,770,500,40,1
2,38,810,500,40,1
2,39,850,500,40,1
2,40,890,500,40,1
2,41,940,500,50,1
2,42,990,500,50,1
2,43,1040,500,50,1
2,44,1090,500,50,1
2,45,1140,500,50,1
2,46,1190,500,50,1
2,47,1240,500,50,1
2,48,1290,500,50,1
2,49,1340,500,50,1
2,50,1390,500,50,1
3,51,1450,500,60,1
3,52,1510,500,60,1
3,53,1570,500,60,1
3,54,1630,500,60,1
3,55,1690,500,60,1
3,56,1750,500,60,1
3,57,1810,500,60,1
3,58,1870,500,60,1
3,59,1930,500,60,1
3,60,1990,500,60,1
3,61,2065,600,75,1
3,62,2140,600,75,1
3,63,2215,600,75,1
3,64,2290,600,75,1
3,65,2365,600,75,1
3,66,2440,600,75,1
3,67,2515,600,75,1
3,68,2590,600,75,1
3,69,2665,600,75,1
3,70,2740,600,75,1
4,71,2840,600,100,1
4,72,2940,600,100,1
4,73,3040,600,100,1
4,74,3140,600,100,1
4,75,3240,600,100,1
4,76,3340,600,100,1
4,77,3440,600,100,1
4,78,3540,600,100,1
4,79,3640,600,100,1
4,80,3740,600,100,1
4,81,3865,600,125,1
4,82,3990,600,125,1
4,83,4115,600,125,1
4,84,4240,600,125,1
4,85,4365,600,125,1
4,86,4490,600,125,1
4,87,4615,600,125,1
4,88,4740,600,125,1
4,89,4865,600,125,1
4,90,4990,600,125,1
5,91,5140,600,150,1
5,92,5290,600,150,1
5,93,5440,600,150,1
5,94,5590,600,150,1
5,95,5740,600,150,1
5,96,5890,600,150,1
5,97,6040,600,150,1
5,98,6190,600,150,1
5,99,6340,600,150,1
5,100,6490,600,150,1
5,101,6665,600,175,1
5,102,6840,600,175,1
5,103,7015,600,175,1
5,104,7190,600,175,1
5,105,7365,600,175,1
5,106,7540,600,175,1
5,107,7715,600,175,1
5,108,7890,600,175,1
5,109,8065,600,175,1
5,110,8240,600,175,1
6,111,8440,600,200,1
6,112,8640,600,200,1
6,113,8840,600,200,1
6,114,9040,600,200,1
6,115,9240,600,200,1
6,116,9440,600,200,1
6,117,9640,600,200,1
6,118,9840,600,200,1
6,119,10040,600,200,1
6,120,10240,600,200,1
6,121,10465,600,225,1
6,122,10690,600,225,1
6,123,10915,600,225,1
6,124,11140,600,225,1
6,125,11365,600,225,1
6,126,11590,600,225,1
6,127,11815,600,225,1
6,128,12040,600,225,1
6,129,12265,600,225,1
6,130,12490,600,225,1
7,131,12740,600,250,1
7,132,12990,600,250,1
7,133,13240,600,250,1
7,134,13490,600,250,1
