condition_value_10,condition_value_3,stationary_mission_id,condition_value_4,condition_num,condition_value_2,start_time,mission_condition,condition_value_9,category_icon,condition_value_8,condition_value_6,max_level,title_color_id,disp_group,end_time,description,mission_reward_id,condition_value_1,condition_value_7,visible_flag,system_id,condition_value_5,min_level
0,0,21001001,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-1 (NORMAL)을 클리어하자",21001001,11001001,0,1,101,0,0
0,0,21001002,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-2 (NORMAL)을 클리어하자",21001001,11001002,0,1,101,0,0
0,0,21001003,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-3 (NORMAL)을 클리어하자",21001001,11001003,0,1,101,0,0
0,0,21001004,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-4 (NORMAL)을 클리어하자",21001001,11001004,0,1,101,0,0
0,0,21001005,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-5 (NORMAL)을 클리어하자",21001001,11001005,0,1,101,0,0
0,0,21001006,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-6 (NORMAL)을 클리어하자",21001001,11001006,0,1,101,0,0
0,0,21001007,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-7 (NORMAL)을 클리어하자",21001001,11001007,0,1,101,0,0
0,0,21001008,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-8 (NORMAL)을 클리어하자",21001001,11001008,0,1,101,0,0
0,0,21001009,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-9 (NORMAL)을 클리어하자",21001001,11001009,0,1,101,0,0
0,0,21001010,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 1-10 (NORMAL)을 클리어하자",21001001,11001010,0,1,101,0,0
0,0,21001011,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-1 (NORMAL)을 클리어하자",21001001,11002001,0,1,101,0,0
0,0,21001012,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-2 (NORMAL)을 클리어하자",21001001,11002002,0,1,101,0,0
0,0,21001013,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-3 (NORMAL)을 클리어하자",21001001,11002003,0,1,101,0,0
0,0,21001014,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-4 (NORMAL)을 클리어하자",21001001,11002004,0,1,101,0,0
0,0,21001015,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-5 (NORMAL)을 클리어하자",21001001,11002005,0,1,101,0,0
0,0,21001016,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-6 (NORMAL)을 클리어하자",21001001,11002006,0,1,101,0,0
0,0,21001017,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-7 (NORMAL)을 클리어하자",21001001,11002007,0,1,101,0,0
0,0,21001018,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-8 (NORMAL)을 클리어하자",21001001,11002008,0,1,101,0,0
0,0,21001019,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-9 (NORMAL)을 클리어하자",21001001,11002009,0,1,101,0,0
0,0,21001020,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-10 (NORMAL)을 클리어하자",21001001,11002010,0,1,101,0,0
0,0,21001021,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-11 (NORMAL)을 클리어하자",21001001,11002011,0,1,101,0,0
0,0,21001022,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 2-12 (NORMAL)을 클리어하자",21001001,11002012,0,1,101,0,0
0,0,21001023,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 3-1 (NORMAL)을 클리어하자",21001002,11003001,0,1,101,0,0
0,0,21001024,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 3-2 (NORMAL)을 클리어하자",21001002,11003002,0,1,101,0,0
0,0,21001025,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 3-3 (NORMAL)을 클리어하자",21001002,11003003,0,1,101,0,0
0,0,21001026,0,1,0,"2015/04/01 15:00:00",1001,0,201,0,0,0,0,20,"2030/04/01 14:59:59","메인 퀘스트 3-4 (NORMAL)을 클리어하자",21001002,11003004,0,1,101,0,0
