tips_index,value,id,title
1,100101,4100101,"작전 설명"
1,100201,4100201,"유이의 낮잠"
1,100301,4100301,"사실은 낚시가 좋아"
1,100401,4100401,"장난꾸러기 소녀"
1,100501,4100501,"포즈 연습!"
1,100601,4100601,"함께 가고 싶어"
1,100701,4100701,"만들어 오라"
1,100801,4100801,"자신만만"
1,100901,4100901,"내 이름은!!"
1,101001,4101001,"왕국은 있습니다"
1,101101,4101101,"작은 착각"
1,101201,4101201,"잠에 빠져서"
1,101301,4101301,"새로운 오의"
1,101401,4101401,"탐정의 천성"
1,101501,4101501,"사랑은 검보다 강하다"
1,101601,4101601,"향기에 이끌려"
1,101701,4101701,"호탕한 카오리"
1,101801,4101801,"모두의 본보기"
1,102001,4102001,"무럭무럭 아기 토끼"
1,102101,4102101,"눈에 안 띄는 장소"
1,102201,4102201,"아직 일러"
1,102301,4102301,"곰인형 수집"
1,102501,4102501,"접시 깨기 기록"
1,102601,4102601,"이른 잠자리"
1,102701,4102701,lock-on
1,102801,4102801,"인기 아이템"
1,102901,4102901,"잠깐의 외출"
1,103001,4103001,"오의?"
1,103101,4103101,"점술사"
1,103201,4103201,"출구는 이쪽"
1,103301,4103301,"이색적인 콤비"
1,103401,4103401,"반면교사"
1,103601,4103601,"수상해…"
1,103701,4103701,"요리 실력"
1,103801,4103801,"적보다 독서"
1,104001,4104001,"잘못된 방향성"
1,104201,4104201,"너무 집중해서"
1,104301,4104301,"입으로는 그렇게 말해도"
1,104401,4104401,"짚으로 세계정복"
1,104501,4104501,"깨닫고 보니"
1,104601,4104601,"갓 구워 따끈따끈"
1,104701,4104701,"코디네이트"
1,104801,4104801,"철저한 비교"
1,104901,4104901,"노파심"
1,105001,4105001,"어른스러워?"
1,105101,4105101,"문병?"
1,105201,4105201,"소녀의 동경"
1,105301,4105301,"어린애가 아냐"
1,105401,4105401,"최고의 옷을"
1,105501,4105501,"Remember Me!"
1,105601,4105601,"늘어난 제자"
1,105701,4105701,"종이비행기에 꿈을 싣고"
1,105801,4105801,"나이스 리액션"
1,105901,4105901,"처음 보는 맛"
1,106001,4106001,"츤데레"
1,106101,4106101,"필살기"
1,106301,4106301,"감동적인 만남"
1,106401,4106401,"그게 아니라"
1,106601,4106601,"하극상"
1,106701,4106701,"비밀스러운 작가"
1,106801,4106801,"솜씨"
1,106901,4106901,"쥐엄쥐엄"
1,107001,4107001,"깜짝 이벤트 대성공"
1,107101,4107101,"지루하다……"
1,109201,4109201,"흥미진진"
1,109301,4109301,"적 앞에서 도망치다"
1,109401,4109401,"안 된다?"
1,109501,4109501,"버릇될 거 같아"
1,109601,4109601,"새로운 인법"
1,110701,4110701,"외톨이 전용"
1,110801,4110801,"자주 착각함"
1,110901,4110901,"치에룬☆"
1,111001,4111001,"책벌레"
1,111401,4111401,"친구가 되어 줄래?"
1,106501,4111501,"상대해 줄게?"
1,112201,4112201,"짜잔☆"
1,112301,4112301,"마법 소녀?"
1,112701,4112701,"대역"
1,112801,4112801,"인식"
1,112901,4112901,"세트"
1,113001,4113001,"마음껏 보기"
1,113701,4113701,"사랑의 마법"
1,113801,4113801,"부끄러워…!"
1,114201,4114201,"미행"
1,114301,4114301,"함께!"
1,115801,4115801,"생산자의 얼굴"
1,115901,4115901,"나풀나풀"
1,116001,4116001,"하느작하느작"
1,116201,4116201,"드높은 성원"
1,116301,4116301,"치에루식 주법"
1,116401,4116401,"잘하는 것 서툰 것"
1,116501,4116501,"정복 완료!"
1,116601,4116601,"업무 중"
1,116701,4116701,"특기 분야(일지도)"
1,116801,4116801,"적자 확정"
1,116901,4116901,"특기 분야"
1,117501,4117501,"따끔히"
1,117601,4117601,"나와 힐링 타임"
1,118001,4117701,"첫 번째 충신!"
1,118101,4118101,"타임 오버"
1,118201,4118201,"기총소사"
1,118501,4118501,"멋진 동료"
1,118601,4118601,"네비아 등장!"
1,119001,4119001,"어둠의 수업"
1,119101,4119101,"높아지다"
1,120001,4120001,"평화를 지키는 누나"
1,121301,4121301,"개연 직전"
1,121401,4121401,"섹시 어필"
1,121501,4121501,"라이벌 출현?"
1,121601,4121601,"불안의 씨앗"
1,121901,4121901,"만반의 준비를 하고"
1,122001,4122001,"잘 보이는"
1,122101,4122101,"캠프 마이스터"
1,122201,4122201,"사치스러운 시간"
