count_4,condition_id_1,class_id,count_5,condition_type_detail_3,count_3,condition_type_1,unit_id,condition_id_4,condition_type_detail_1,pre_unit_id,condition_type_5,release_effect_type,condition_type_3,condition_type_detail_4,condition_type_detail_5,count_2,unit_name,condition_type_4,condition_type_2,condition_type_detail_2,condition_id_3,condition_id_5,count_1,condition_id_2
0,31001,1,0,0,0,1,100101,0,2,0,0,0,0,0,0,0,"하루사키 히요리",0,0,0,0,0,15,0
0,31002,1,0,0,0,1,100201,0,2,0,0,0,0,0,0,0,"쿠사노 유이",0,0,0,0,0,15,0
0,31003,1,0,0,0,1,100301,0,2,0,0,0,0,0,0,0,"시죠 레이",0,0,0,0,0,15,0
0,31004,1,0,0,0,1,100401,0,2,0,0,0,0,0,0,0,"호다카 미소기",0,0,0,0,0,15,0
0,31005,1,0,0,0,1,100501,0,2,0,0,0,0,0,0,0,"오리하라 마츠리",0,0,0,0,0,45,0
0,31006,1,0,0,0,1,100601,0,2,0,0,0,0,0,0,0,"카제미야 아카리",0,0,0,0,0,45,0
0,31007,1,0,0,0,1,100701,0,2,0,0,0,0,0,0,0,"이즈모 미야코",0,0,0,0,0,45,0
0,31008,1,0,0,0,1,100801,0,2,0,0,0,0,0,0,0,"니지무라 유키",0,0,0,0,0,45,0
0,31009,1,0,0,0,1,100901,0,2,0,0,1,0,0,0,0,"히이라기 안나",0,0,0,0,0,145,0
0,31010,1,0,0,0,1,101001,0,2,0,0,2,0,0,0,0,"히메미야 마호",0,0,0,0,0,145,0
0,31011,1,0,0,0,1,101101,0,2,0,0,1,0,0,0,0,"이노사키 리노",0,0,0,0,0,145,0
0,31012,1,0,0,0,1,101201,0,2,0,0,3,0,0,0,0,"카시와자키 하츠네",0,0,0,0,0,145,0
0,31013,1,0,0,0,1,101301,0,2,0,0,3,0,0,0,0,"탄노 나나카",0,0,0,0,0,45,0
0,31014,1,0,0,0,1,101401,0,2,0,0,2,0,0,0,0,"키리하라 카스미",0,0,0,0,0,145,0
0,31015,1,0,0,0,1,101501,0,2,0,0,0,0,0,0,0,"아이카와 미사토",0,0,0,0,0,45,0
0,31016,1,0,0,0,1,101601,0,2,0,0,0,0,0,0,0,"미나미 스즈나",0,0,0,0,0,45,0
0,31017,1,0,0,0,1,101701,0,2,0,0,0,0,0,0,0,"컁 카오리",0,0,0,0,0,45,0
0,31018,1,0,0,0,1,101801,0,2,0,0,2,0,0,0,0,"하세쿠라 이오",0,0,0,0,0,145,0
0,31020,1,0,0,0,1,102001,0,2,0,0,0,0,0,0,0,"아카네 미미",0,0,0,0,0,45,0
0,31021,1,0,0,0,1,102101,0,2,0,0,0,0,0,0,0,"쿠리바야시 쿠루미",0,0,0,0,0,15,0
0,31022,1,0,0,0,1,102201,0,2,0,0,0,0,0,0,0,"카제미야 요리",0,0,0,0,0,15,0
0,31023,1,0,0,0,1,102301,0,2,0,0,0,0,0,0,0,"호죠 아야네",0,0,0,0,0,45,0
0,31025,1,0,0,0,1,102501,0,2,0,0,0,0,0,0,0,"아마노 스즈메",0,0,0,0,0,15,0
0,31026,1,0,0,0,1,102601,0,2,0,0,0,0,0,0,0,"모리치카 린",0,0,0,0,0,45,0
0,31027,1,0,0,0,1,102701,0,2,0,0,0,0,0,0,0,"쿠라이시 에리코",0,0,0,0,0,45,0
0,31028,1,0,0,0,1,102801,0,2,0,0,1,0,0,0,0,"사사키 사렌",0,0,0,0,0,145,0
0,31029,1,0,0,0,1,102901,0,2,0,0,2,0,0,0,0,"사쿠라이 노조미",0,0,0,0,0,145,0
0,31030,1,0,0,0,1,103001,0,2,0,0,2,0,0,0,0,"니논",0,0,0,0,0,145,0
0,31031,1,0,0,0,1,103101,0,2,0,0,0,0,0,0,0,"카미키 시노부",0,0,0,0,0,45,0
0,31032,1,0,0,0,1,103201,0,2,0,0,2,0,0,0,0,"토도 아키노",0,0,0,0,0,145,0
0,31033,1,0,0,0,1,103301,0,2,0,0,0,0,0,0,0,"노토 마히루",0,0,0,0,0,45,0
0,31034,1,0,0,0,1,103401,0,2,0,0,0,0,0,0,0,"아야세 유카리",0,0,0,0,0,15,0
