reward_type_3,reward_type_2,reward_num_1,reward_id_3,reward_type_1,reward_num_3,reward_id_2,reward_num_2,reward_group_id,id,reward_id_1
2,2,10,25013,8,31,25021,8,283001001,1,91002
2,2,10,25013,8,31,25021,8,283001002,2,91002
2,2,10,25013,8,32,25021,8,283001003,3,91002
2,2,10,25013,8,32,25021,8,283001004,4,91002
2,2,10,25013,8,33,25021,8,283001005,5,91002
2,2,10,25013,8,33,25021,9,283001006,6,91002
2,2,10,25013,8,34,25021,9,283001007,7,91002
2,2,10,25013,8,35,25021,9,283001008,8,91002
2,2,10,25013,8,35,25021,9,283001009,9,91002
2,2,30,25013,8,37,25021,10,283001010,10,91002
2,2,10,25013,8,41,25021,10,283001011,11,91002
2,2,10,25013,8,43,25021,11,283001012,12,91002
2,2,10,25013,8,46,25021,11,283001013,13,91002
2,2,10,25013,8,48,25021,12,283001014,14,91002
2,2,10,25013,8,50,25021,12,283001015,15,91002
2,2,10,25013,8,53,25021,13,283001016,16,91002
2,2,10,25013,8,55,25021,14,283001017,17,91002
2,2,10,25013,8,58,25021,14,283001018,18,91002
2,2,10,25013,8,60,25021,15,283001019,19,91002
2,2,30,25013,8,62,25021,15,283001020,20,91002
2,2,10,25013,8,68,25021,16,283001021,21,91002
2,2,10,25013,8,70,25021,16,283001022,22,91002
2,2,10,25013,8,72,25021,16,283001023,23,91002
2,2,10,25013,8,75,25021,17,283001024,24,91002
2,2,10,25013,8,77,25021,18,283001025,25,91002
2,2,10,25013,8,79,25021,18,283001026,26,91002
2,2,10,25013,8,82,25021,19,283001027,27,91002
2,2,10,25013,8,84,25021,19,283001028,28,91002
2,2,10,25013,8,86,25021,19,283001029,29,91002
2,2,30,25013,8,89,25021,20,283001030,30,91002
2,2,10,25013,8,94,25021,20,283001031,31,91002
2,2,10,25013,8,96,25021,21,283001032,32,91002
2,2,10,25013,8,99,25021,21,283001033,33,91002
2,2,10,25013,8,101,25021,22,283001034,34,91002
2,2,10,25013,8,103,25021,22,283001035,35,91002
2,2,10,25013,8,106,25021,23,283001036,36,91002
2,2,10,25013,8,108,25021,23,283001037,37,91002
2,2,10,25013,8,111,25021,24,283001038,38,91002
2,2,10,25013,8,113,25021,25,283001039,39,91002
2,2,30,25013,8,115,25021,25,283001040,40,91002
2,2,10,25013,8,121,25021,26,283001041,41,91002
2,2,10,25013,8,123,25021,27,283001042,42,91002
2,2,10,25013,8,125,25021,28,283001043,43,91002
2,2,10,25013,8,128,25021,28,283001044,44,91002
2,2,10,25013,8,130,25021,29,283001045,45,91002
2,2,10,25013,8,132,25021,30,283001046,46,91002
2,2,10,25013,8,135,25021,30,283001047,47,91002
2,2,10,25013,8,137,25021,31,283001048,48,91002
2,2,10,25013,8,139,25021,31,283001049,49,91002
2,2,30,25013,8,142,25021,31,283001050,50,91002
2,2,10,25013,8,144,25021,32,283001051,51,91002
2,2,10,25013,8,146,25021,32,283001052,52,91002
2,2,10,25013,8,149,25021,32,283001053,53,91002
2,2,10,25013,8,152,25021,33,283001054,54,91002
2,2,10,25013,8,155,25021,33,283001055,55,91002
2,2,10,25013,8,157,25021,33,283001056,56,91002
2,2,10,25013,8,160,25021,34,283001057,57,91002
2,2,10,25013,8,163,25021,34,283001058,58,91002
2,2,10,25013,8,166,25021,34,283001059,59,91002
2,2,30,25013,8,169,25021,35,283001060,60,91002
2,2,10,25013,8,171,25021,35,283001061,61,91002
2,2,10,25013,8,174,25021,35,283001062,62,91002
2,2,10,25013,8,177,25021,36,283001063,63,91002
2,2,10,25013,8,180,25021,36,283001064,64,91002
2,2,10,25013,8,182,25021,36,283001065,65,91002
2,2,10,25013,8,185,25021,37,283001066,66,91002
2,2,10,25013,8,187,25021,37,283001067,67,91002
2,2,10,25013,8,190,25021,37,283001068,68,91002
2,2,10,25013,8,193,25021,38,283001069,69,91002
2,2,30,25013,8,196,25021,38,283001070,70,91002
