boss_id,event_boss_treasure_box_id,must_kill_flag,map_depth,detail_offset_y,detail_scale,reward_gold_coefficient,reward_gold_limit,map_offset_x,map_offset_y,enemy_identify,event_id,detail_offset_x,map_scale
1005001,0,0,10,0,1.5,0.0,100000,30,-30,2,10050,0,1.7
1005001,10050101,1,0,-40,1.5,0.03,100000,-17,25,1,10050,0,1.7
1005001,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10050,0,1.7
1005002,0,0,10,0,1.5,0.0,100000,30,-30,2,10050,0,1.7
1005002,10050201,1,0,-40,1.5,0.03,100000,-17,25,1,10050,0,1.7
1005002,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10050,0,1.7
1005003,0,0,10,0,1.5,0.0,100000,30,-30,2,10050,0,1.7
1005003,10050301,1,0,-40,1.5,0.03,100000,-17,25,1,10050,0,1.7
1005003,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10050,0,1.7
1005004,0,0,10,0,1.5,0.0,100000,30,-30,2,10050,0,1.7
1005004,10050401,1,0,-40,1.5,0.03,100000,-17,25,1,10050,0,1.7
1005004,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10050,0,1.7
1005005,0,0,10,0,1.5,0.0,100000,30,-30,2,10050,0,1.7
1005005,0,1,0,-40,1.5,0.03,100000,-17,25,1,10050,0,1.7
1005005,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10050,0,1.7
1007701,0,0,10,0,1.5,0.0,100000,30,-30,2,10077,0,1.7
1007701,10077101,1,0,-40,1.5,0.03,100000,-17,25,1,10077,0,1.7
1007701,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10077,0,1.7
1007702,0,0,10,0,1.5,0.0,100000,30,-30,2,10077,0,1.7
1007702,10077201,1,0,-40,1.5,0.03,100000,-17,25,1,10077,0,1.7
1007702,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10077,0,1.7
1007703,0,0,10,0,1.5,0.0,100000,30,-30,2,10077,0,1.7
1007703,10077301,1,0,-40,1.5,0.03,100000,-17,25,1,10077,0,1.7
1007703,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10077,0,1.7
1007704,0,0,10,0,1.5,0.0,100000,30,-30,2,10077,0,1.7
1007704,10077401,1,0,-40,1.5,0.03,100000,-17,25,1,10077,0,1.7
1007704,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10077,0,1.7
1007705,0,0,10,0,1.5,0.0,100000,30,-30,2,10077,0,1.7
1007705,0,1,0,-40,1.5,0.03,100000,-17,25,1,10077,0,1.7
1007705,0,0,10,-23,1.5,0.0,100000,-32,-47,3,10077,0,1.7
1008801,10088101,1,10,-50,0.92,0.03,100000,-13,-25,1,10088,0,0.84
1008801,0,0,0,-50,0.8,0.0,100000,13,-25,2,10088,0,0.7
1008802,10088201,1,10,-50,0.92,0.03,100000,-13,-25,1,10088,0,0.84
1008802,0,0,0,-50,0.8,0.0,100000,13,-25,2,10088,0,0.7
1008803,10088301,1,10,-50,0.92,0.03,100000,-13,-25,1,10088,0,0.84
1008803,0,0,0,-50,0.8,0.0,100000,13,-25,2,10088,0,0.7
1008804,10088401,1,10,-50,0.92,0.03,100000,-17,-30,1,10088,0,0.7
1008804,0,0,0,-50,0.8,0.0,100000,30,-30,2,10088,0,0.6
1008805,0,1,10,-50,0.92,0.03,100000,-17,-30,1,10088,0,0.7
1008805,0,0,0,-50,0.8,0.0,100000,30,-30,2,10088,0,0.6
2002901,0,0,10,0,1.5,0.0,100000,30,-30,2,20029,0,1.7
2002901,20029101,1,0,-40,1.5,0.03,100000,-17,25,1,20029,0,1.7
2002901,0,0,10,-23,1.5,0.0,100000,-32,-47,3,20029,0,1.7
2002902,0,0,10,0,1.5,0.0,100000,30,-30,2,20029,0,1.7
2002902,0,1,0,-40,1.5,0.03,100000,-17,25,1,20029,0,1.7
2002902,0,0,10,-23,1.5,0.0,100000,-32,-47,3,20029,0,1.7
2002903,0,0,10,0,1.5,0.0,100000,30,-30,2,20029,0,1.7
2002903,0,1,0,-40,1.5,0.03,100000,-17,25,1,20029,0,1.7
2002903,0,0,10,-23,1.5,0.0,100000,-32,-47,3,20029,0,1.7
2002904,0,0,10,0,1.5,0.0,100000,30,-30,2,20029,0,1.7
2002904,0,1,0,-40,1.5,0.03,100000,-17,25,1,20029,0,1.7
2002904,0,0,10,-23,1.5,0.0,100000,-32,-47,3,20029,0,1.7
2002905,0,0,10,0,1.5,0.0,100000,30,-30,2,20029,0,1.7
2002905,0,1,0,-40,1.5,0.03,100000,-17,25,1,20029,0,1.7
2002905,0,0,10,-23,1.5,0.0,100000,-32,-47,3,20029,0,1.7
1011501,10115101,1,10,-50,0.92,0.03,100000,-13,-25,1,10115,0,0.84
1011501,0,0,0,-50,0.8,0.0,100000,13,-25,2,10115,0,0.7
1011502,10115201,1,10,-50,0.92,0.03,100000,-13,-25,1,10115,0,0.84
1011502,0,0,0,-50,0.8,0.0,100000,13,-25,2,10115,0,0.7
