reward_num_3,reward_type_3,reward_type_1,reward_num_1,reward_num_2,reward_id_1,reward_id_3,id,reward_group_id,reward_type_2,reward_id_2
31,2,8,10,8,91002,25013,1,283001001,2,25021
31,2,8,10,8,91002,25013,2,283001002,2,25021
32,2,8,10,8,91002,25013,3,283001003,2,25021
32,2,8,10,8,91002,25013,4,283001004,2,25021
33,2,8,10,8,91002,25013,5,283001005,2,25021
33,2,8,10,9,91002,25013,6,283001006,2,25021
34,2,8,10,9,91002,25013,7,283001007,2,25021
35,2,8,10,9,91002,25013,8,283001008,2,25021
35,2,8,10,9,91002,25013,9,283001009,2,25021
37,2,8,30,10,91002,25013,10,283001010,2,25021
41,2,8,10,10,91002,25013,11,283001011,2,25021
43,2,8,10,11,91002,25013,12,283001012,2,25021
46,2,8,10,11,91002,25013,13,283001013,2,25021
48,2,8,10,12,91002,25013,14,283001014,2,25021
50,2,8,10,12,91002,25013,15,283001015,2,25021
53,2,8,10,13,91002,25013,16,283001016,2,25021
55,2,8,10,14,91002,25013,17,283001017,2,25021
58,2,8,10,14,91002,25013,18,283001018,2,25021
60,2,8,10,15,91002,25013,19,283001019,2,25021
62,2,8,30,15,91002,25013,20,283001020,2,25021
68,2,8,10,16,91002,25013,21,283001021,2,25021
70,2,8,10,16,91002,25013,22,283001022,2,25021
72,2,8,10,16,91002,25013,23,283001023,2,25021
75,2,8,10,17,91002,25013,24,283001024,2,25021
77,2,8,10,18,91002,25013,25,283001025,2,25021
79,2,8,10,18,91002,25013,26,283001026,2,25021
82,2,8,10,19,91002,25013,27,283001027,2,25021
84,2,8,10,19,91002,25013,28,283001028,2,25021
86,2,8,10,19,91002,25013,29,283001029,2,25021
89,2,8,30,20,91002,25013,30,283001030,2,25021
94,2,8,10,20,91002,25013,31,283001031,2,25021
96,2,8,10,21,91002,25013,32,283001032,2,25021
99,2,8,10,21,91002,25013,33,283001033,2,25021
101,2,8,10,22,91002,25013,34,283001034,2,25021
103,2,8,10,22,91002,25013,35,283001035,2,25021
106,2,8,10,23,91002,25013,36,283001036,2,25021
108,2,8,10,23,91002,25013,37,283001037,2,25021
111,2,8,10,24,91002,25013,38,283001038,2,25021
113,2,8,10,25,91002,25013,39,283001039,2,25021
115,2,8,30,25,91002,25013,40,283001040,2,25021
121,2,8,10,26,91002,25013,41,283001041,2,25021
123,2,8,10,27,91002,25013,42,283001042,2,25021
125,2,8,10,28,91002,25013,43,283001043,2,25021
128,2,8,10,28,91002,25013,44,283001044,2,25021
130,2,8,10,29,91002,25013,45,283001045,2,25021
132,2,8,10,30,91002,25013,46,283001046,2,25021
135,2,8,10,30,91002,25013,47,283001047,2,25021
137,2,8,10,31,91002,25013,48,283001048,2,25021
139,2,8,10,31,91002,25013,49,283001049,2,25021
142,2,8,30,31,91002,25013,50,283001050,2,25021
