sre_boss_id,title,description,sre_id,phase,condition_hp,sre_battle_effect_id,condition_time,type,duration,sre_battle_bonus_id,battle_bonus_story_id
3001,"TP 250 증가","배틀 시작 시 아군의 TP가 250 증가",3,1,0,3001,-1,2,0,3001,0
3002,"TP 250 증가","배틀 시작 시 아군의 TP가 250 증가",3,1,0,3002,-1,2,0,3002,0
3003,"TP 250 증가","배틀 시작 시 아군의 TP가 250 증가",3,1,0,3003,-1,2,0,3003,0
3004,"TP 250 증가","배틀 시작 시 아군의 TP가 250 증가",3,1,0,3004,-1,2,0,3004,0
3006,"TP 1000 증가","배틀 시작 시 아군의 TP가 1000 증가",3,3,0,3006,-1,2,0,3006,0
3007,"TP 1000 증가","배틀 시작 시 아군의 TP가 1000 증가",3,3,0,3007,-1,2,0,3007,0
3001,"물리 공격 증가 90초","배틀 시작부터 90초간 아군의 물리 공격력이 증가",3,1,962500000000,30011,25200,3,0,30011,9006503
3001,"물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소",3,1,660000000000,30012,72000,3,0,30012,9006504
3002,"매초 HP 회복 90초","배틀 시작부터 90초간 아군의 HP가 매초 회복",3,1,650000000000,30021,39600,3,0,30021,9006506
3002,"매초 TP 증가 90초","배틀 시작부터 90초간 아군의 TP가 매초 증가",3,1,325000000000,30022,72000,3,0,30022,9006507
3003,"무적 15초","배틀 시작부터 15초간 아군이 무적 상태가 된다",3,1,638000000000,30031,43200,3,0,30031,9006509
3003,"마법 공격 감소 90초","배틀 시작부터 90초간 적의 마법 공격력이 감소",3,1,440000000000,30032,72000,3,0,30032,9006510
3004,"스턴 15초","배틀 시작부터 15초간 적이 스턴 상태가 된다",3,1,910000000000,30041,32400,3,0,30041,9006512
3004,"물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소",3,1,650000000000,30042,43200,3,0,30042,9006513
3005,"마법 공격 증가 90초","배틀 시작부터 90초간 아군의 마법 공격력이 증가",3,2,2900000000000,30051,43200,3,0,30051,9006516
3006,"매초 TP 증가 90초","배틀 시작부터 90초간 아군의 TP가 매초 증가",3,3,1925000000000,30061,21600,3,0,30061,9006519
3006,"마법 방어 감소 90초","배틀 시작부터 90초간 적의 마법 방어력이 감소",3,3,1100000000000,30062,43200,3,0,30062,9006520
3007,"물리 공격 증가 90초","배틀 시작부터 90초간 아군의 물리 공격력이 증가",3,3,2362500000000,30071,43200,3,0,30071,9006522
3007,"무적 15초","배틀 시작부터 15초간 아군이 무적 상태가 된다",3,3,275000000000,30072,64800,3,0,30072,9006523
3001,"물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소",3,1,1067000000000,300101,-1,1,36000,300101,0
3001,"물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소",3,1,1023000000000,300102,-1,1,36000,300102,0
3001,"물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소",3,1,990000000000,300103,-1,1,36000,300103,0
3001,"물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소",3,1,957000000000,300104,-1,1,36000,300104,0
3001,"물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소",3,1,924000000000,300105,-1,1,36000,300105,0
3001,"마법 방어 감소 90초","배틀 시작부터 90초간 적의 마법 방어력이 감소",3,1,847000000000,300106,-1,1,36000,300106,0
3001,"물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소",3,1,814000000000,300107,-1,1,36000,300107,0
3001,"마법 방어 감소 90초","배틀 시작부터 90초간 적의 마법 방어력이 감소",3,1,781000000000,300108,-1,1,36000,300108,0
3001,"매초 HP 회복 90초","배틀 시작부터 90초간 아군의 HP가 매초 회복",3,1,737000000000,300109,-1,1,36000,300109,0
3001,"물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소",3,1,704000000000,300110,-1,1,36000,300110,0
3001,"물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소",3,1,660000000000,300111,-1,1,36000,300111,0
3001,"물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소",3,1,627000000000,300112,-1,1,36000,300112,0
3001,"물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소",3,1,594000000000,300113,-1,1,36000,300113,0
3001,"물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소",3,1,517000000000,300114,-1,1,36000,300114,0
3001,"마법 방어 감소 90초","배틀 시작부터 90초간 적의 마법 방어력이 감소",3,1,484000000000,300115,-1,1,36000,300115,0
3001,"물리 방어 감소 90초","배틀 시작부터 90초간 적의 물리 방어력이 감소",3,1,451000000000,300116,-1,1,36000,300116,0
3001,"마법 방어 감소 90초","배틀 시작부터 90초간 적의 마법 방어력이 감소",3,1,407000000000,300117,-1,1,36000,300117,0
3001,"매초 HP 회복 90초","배틀 시작부터 90초간 아군의 HP가 매초 회복",3,1,374000000000,300118,-1,1,36000,300118,0
3001,"물리 공격 감소 90초","배틀 시작부터 90초간 적의 물리 공격력이 감소",3,1,341000000000,300119,-1,1,36000,300119,0
