unit_id_4,unit_id_1,unit_id_9,unit_id_3,unit_id_7,unit_id_5,unit_id_2,unit_id_8,unit_id_10,unit_id_6,taq_no
0,100701,0,0,0,0,0,0,0,0,1001
0,100301,0,0,0,0,0,0,0,0,1010
0,101001,0,0,0,0,0,0,0,0,1011
0,101201,0,0,0,0,0,0,0,0,1012
0,101301,0,0,0,0,0,0,0,0,1013
0,101401,0,0,0,0,0,0,0,0,1014
0,101801,0,0,0,0,0,0,0,0,1015
0,102001,0,0,0,0,0,0,0,0,1016
0,102201,0,0,0,0,0,0,0,0,1017
0,102801,0,0,0,0,0,0,0,0,1018
0,103301,0,0,0,0,0,0,0,0,1019
0,103601,0,0,0,0,0,0,0,0,1020
0,104801,0,0,0,0,0,0,0,0,1021
0,106101,0,0,0,0,0,0,0,0,1022
0,107101,0,0,0,0,0,0,0,0,1023
0,101201,0,0,0,0,0,0,0,0,1099
0,106501,0,0,0,0,0,0,0,0,1100
0,102301,0,0,0,0,101501,0,0,0,1101
0,106501,0,0,0,0,101501,0,0,0,1102
100201,105801,0,105901,0,100301,106001,0,0,100101,1164
0,111401,0,0,0,0,0,0,0,0,1174
0,106401,0,0,0,0,0,0,0,0,1192
0,105701,0,0,0,0,0,0,0,0,1225
0,106701,0,0,0,0,0,0,0,0,1240
0,105801,0,0,0,0,0,0,0,0,1255
0,102001,0,0,0,0,0,0,0,0,1261
0,104301,0,0,0,0,0,0,0,0,1262
0,103101,0,0,0,0,0,0,0,0,1263
0,102701,0,0,0,0,0,0,0,0,1264
0,101701,0,0,0,0,0,0,0,0,1265
0,111401,0,0,0,0,0,0,0,0,1266
0,101201,0,0,0,0,103801,0,0,0,2128
0,105801,0,105901,0,0,106001,0,0,0,2129
100501,104701,0,103701,0,0,107101,0,0,0,2130
0,101401,0,0,0,0,104301,0,0,0,2135
105501,103001,0,104501,0,105301,100801,0,0,0,2137
0,101601,0,105001,0,0,101801,0,0,0,2139
0,104401,0,107101,0,0,102901,0,0,0,2143
106701,101101,0,100101,0,0,106601,0,0,0,2148
0,102201,0,0,0,0,100601,0,0,0,2149
101401,105301,0,103801,0,0,103701,0,0,0,2151
0,102801,0,0,0,0,103201,0,0,0,2154
0,105201,0,0,0,0,0,0,0,0,2157
0,104901,0,0,0,0,102701,0,0,0,2162
0,102901,0,105401,0,0,104201,0,0,0,2163
0,100801,0,0,0,0,105101,0,0,0,2164
0,101701,0,101601,0,0,103001,0,0,0,2167
0,100601,0,0,0,0,102201,0,0,0,2211
0,106001,0,0,0,0,0,0,0,0,2229
0,106001,0,0,0,0,0,0,0,0,2230
0,105801,0,0,0,0,0,0,0,0,2231
0,103001,0,0,0,0,105601,0,0,0,2238
0,101701,0,0,0,0,0,0,0,0,2268
0,105101,0,0,0,0,100801,0,0,0,2279
101401,105301,0,103801,0,0,103701,0,0,0,2280
0,104901,0,104501,0,0,101801,0,0,0,2281
0,106701,0,106501,0,0,106601,0,0,0,2282
0,101801,0,101601,0,0,105001,0,0,0,2283
0,102301,0,104201,0,0,102101,0,0,0,2284
0,111401,0,0,0,0,0,0,0,0,2286
0,104001,0,0,0,0,0,0,0,0,2287
0,103601,0,0,0,0,0,0,0,0,2288
0,102101,0,0,0,0,0,0,0,0,2289
0,100901,0,0,0,0,0,0,0,0,3002
0,103601,0,0,0,0,0,0,0,0,3016
0,102701,0,101101,0,0,104901,0,0,0,3086
0,104501,0,0,0,0,0,0,0,0,3087
0,101701,0,0,0,0,0,0,0,0,3088
0,106501,0,0,0,0,106601,0,0,0,3089
0,102601,0,0,0,0,0,0,0,0,3090
0,101501,0,0,0,0,0,0,0,0,3091
0,100701,0,0,0,0,0,0,0,0,3093
0,102901,0,0,0,0,0,0,0,0,3124
0,100601,0,0,0,0,0,0,0,0,3134
106401,105801,0,105901,0,0,106001,0,0,0,3143
106401,105801,0,105901,0,0,106001,0,0,0,3144
0,106001,0,0,0,0,0,0,0,0,3145
0,102801,0,0,0,0,102501,0,0,0,3146
