comment_id,description,start_time,end_time,change_face_time,face_type,pos_x,change_face_type,character_id,event_id,voice_id,pos_y,where_type,character_name
10038001,"미션을 클리어하면\n보상을 받을 수 있어요!\n힘내세요!","2021/04/29 15:00:00","2021/05/17 14:59:59",3.414,1,-416.5,2,190801,10038,1,0.0,53,"카린"
10038002,"미션을 클리어하고\n보상을 손에 넣자구요!","2021/04/29 15:00:00","2021/05/17 14:59:59",3.099,1,-416.5,2,190801,10038,2,0.0,53,"카린"
10038003,"수령 가능한\n보상이 있는 것 같아요.\n확인해 보세요!","2021/04/29 15:00:00","2021/05/17 14:59:59",2.801,1,-416.5,2,190801,10038,3,0.0,54,"카린"
10038004,"보상을 받을 수 있어요!\n확인해 보세요!","2021/04/29 15:00:00","2021/05/17 14:59:59",0.0,2,-416.5,2,190801,10038,4,0.0,54,"카린"
10038005,"이벤트 수고하셨어요!\n여러분의 활약에\n항상 감사합니다!","2021/04/29 15:00:00","2021/05/17 14:59:59",0.0,1,-416.5,1,190801,10038,5,0.0,57,"카린"
10038006,"길드 관리 협회예요!\n토벌증을 갖고 계신다면\n보상으로 교환할 수 있어요!","2021/04/29 15:00:00","2021/05/17 14:59:59",5.506,1,-363.0,2,190801,10038,1,0.0,55,"카린"
10038007,"수고하십니다!\n여기에서는 토벌증과 보상을\n교환할 수 있답니다!","2021/04/29 15:00:00","2021/05/17 14:59:59",1.216,2,-363.0,1,190801,10038,2,0.0,55,"카린"
10038008,"수고하셨어요!\n토벌증 교환\n잊지 않도록 하세요!","2021/04/29 15:00:00","2021/05/17 14:59:59",1.539,2,-363.0,1,190801,10038,3,0.0,56,"카린"
10038009,"끝나버렸네요~\n토벌증은 노력의 증거!\n보상품과 교환하자구요!","2021/04/29 15:00:00","2021/05/17 14:59:59",1.875,2,-363.0,1,190801,10038,4,0.0,56,"카린"
10038101,"","2021/04/29 15:00:00","2021/05/17 14:59:59",9.376,1,-285.0,7,110901,10038,101,8.0,51,"치에루"
10038102,"","2021/04/29 15:00:00","2021/05/17 14:59:59",11.12,1,-285.0,7,110801,10038,201,8.0,51,"클로에"
10038103,"","2021/04/29 15:00:00","2021/05/17 14:59:59",15.936,1,-285.0,4,111001,10038,301,8.0,51,"유니"
10038104,"","2021/04/29 15:00:00","2021/05/17 14:59:59",8.78,1,-285.0,3,110901,10038,102,8.0,51,"치에루"
10038105,"","2021/04/29 15:00:00","2021/05/17 14:59:59",9.573,1,-285.0,6,110801,10038,202,8.0,51,"클로에"
10038106,"","2021/04/29 15:00:00","2021/05/17 14:59:59",0.0,1,-285.0,1,111001,10038,302,8.0,51,"유니"
10038107,"","2021/04/29 15:00:00","2021/05/17 14:59:59",12.005,1,-285.0,2,110901,10038,103,8.0,51,"치에루"
10038108,"","2021/04/29 15:00:00","2021/05/17 14:59:59",5.22,2,-285.0,1,110801,10038,203,8.0,51,"클로에"
10038109,"","2021/04/29 15:00:00","2021/05/17 14:59:59",6.41,1,-285.0,4,111001,10038,303,8.0,51,"유니"
10038110,"","2021/04/29 15:00:00","2021/05/17 14:59:59",10.08,4,-285.0,1,110901,10038,104,8.0,52,"치에루"
10038111,"","2021/04/29 15:00:00","2021/05/17 14:59:59",9.208,7,-285.0,3,110801,10038,204,8.0,52,"클로에"
