skip_enemy_size,skip_enemy_position_y,reward_image_1,quest_id,skip_enemy_position_x,bgm_sheet_id,detail_bg_position,detail_bg_id,enemy_position_y_1,battle_bg_id,enemy_size_1,reward_image_4,reward_image_5,reward_image_3,reward_image_2,quest_name,bgm_que_id,enemy_position_x_1
0.95,-250,26202,76010001,-100,bgm_M299,-100,102271,-200,102271,0.85,0,0,90013,99011,"패동황제의 영역 1층",bgm_M299,0
0.95,-250,26202,76010002,-100,bgm_M299,-100,102271,-200,102271,0.85,0,0,90013,99011,"패동황제의 영역 2층",bgm_M299,0
0.95,-250,26202,76010003,-100,bgm_M299,-100,102271,-200,102271,0.85,0,0,90013,99011,"패동황제의 영역 3층",bgm_M299,0
0.95,-250,26202,76010004,-100,bgm_M299,-100,102271,-200,102271,0.85,0,0,90013,99011,"패동황제의 영역 4층",bgm_M299,0
0.95,-250,26202,76010005,-100,bgm_M299,-100,102271,-200,102271,0.85,0,0,90013,99011,"패동황제의 영역 5층",bgm_M299,0
1.3,0,26202,76020001,0,bgm_M506,-100,102891,0,102891,1.2,0,0,90013,99011,"젠의 영역 1층",bgm_M506,0
1.3,0,26202,76020002,0,bgm_M506,-100,102891,0,102891,1.2,0,0,90013,99011,"젠의 영역 2층",bgm_M506,0
1.3,0,26202,76020003,0,bgm_M506,-100,102891,0,102891,1.2,0,0,90013,99011,"젠의 영역 3층",bgm_M506,0
1.3,0,26202,76020004,0,bgm_M506,-100,102891,0,102891,1.2,0,0,90013,99011,"젠의 영역 4층",bgm_M506,0
1.3,0,26202,76020005,0,bgm_M506,-100,102891,0,102891,1.2,0,0,90013,99011,"젠의 영역 5층",bgm_M506,0
