rail_4,rail_1,scenario_id,rail_2,rail_3
1048,1037,1,1025,1045
1004,1062,2,1003,1006
1007,1029,3,1003,1006
1045,1025,4,1047,1062
1013,1003,5,1043,1022
1004,1048,6,1006,1019
1033,1037,7,1062,1003
1053,1050,8,1056,1059
1011,1030,9,1001,1034
1023,1046,10,1063,1026
1038,1014,11,1020,1044
1049,1008,12,1017,1040
1044,1017,13,1023,1020
1038,1001,14,1017,1020
1048,1036,15,1030,1008
1038,1004,16,1044,1011
1011,1005,17,1043,1022
1016,1042,18,1046,1047
1028,1041,19,1014,1063
1055,1061,20,1052,1058
1001,1031,21,1025,1024
1063,1064,22,1024,1005
1000,1066,23,1040,1044
1038,1076,24,1000,1010
1019,1077,25,1003,1043
1069,1071,26,1070,1068
1091,1089,27,1092,1090
1100,1097,28,1098,1099
1104,1101,29,1102,1103
1108,1105,30,1106,1107
1006,1083,31,1012,1021
1085,1086,32,1087,1084
1095,1093,33,1094,1096
