login_bonus_id,end_time,id,start_time,adv_id,count_key,read_process_flag
70000,"2018/12/25 4:59:59",1,"2018/12/24 5:00:00",400,0,0
70000,"2018/12/26 4:59:59",2,"2018/12/25 5:00:00",401,0,0
70001,0,3,0,410,1,0
70001,0,4,0,411,2,0
70001,0,5,0,412,3,0
70002,"2020/12/25 4:59:59",6,"2020/12/24 5:00:00",400,0,0
70002,"2020/12/26 4:59:59",7,"2020/12/25 5:00:00",401,0,0
70003,0,8,0,413,1,0
70003,0,9,0,414,2,0
70003,0,10,0,415,3,0
70004,"2021/12/25 4:59:59",21,"2021/12/24 5:00:00",400,0,0
70004,"2021/12/26 4:59:59",22,"2021/12/25 5:00:00",401,0,0
70005,0,23,0,416,1,0
70005,0,24,0,417,2,0
70005,0,25,0,418,3,0
80004,"2022/02/28 4:59:59",26,"2022/02/27 5:00:00",9002001,3,0
80004,"2022/03/01 4:59:59",27,"2022/02/28 5:00:00",9002002,3,0
80004,"2022/03/02 4:59:59",28,"2022/03/01 5:00:00",9002003,3,0
80004,"2022/03/03 4:59:59",29,"2022/03/02 5:00:00",9002004,3,0
80004,"2022/03/04 4:59:59",30,"2022/03/03 5:00:00",9002005,3,0
80004,"2022/03/05 4:59:59",31,"2022/03/04 5:00:00",9002006,3,0
80004,"2022/03/06 4:59:59",32,"2022/03/05 5:00:00",9002007,3,0
80004,"2022/03/07 4:59:59",33,"2022/03/06 5:00:00",9002008,3,0
80004,"2022/03/08 4:59:59",34,"2022/03/07 5:00:00",9002009,3,0
80004,"2022/03/09 4:59:59",35,"2022/03/08 5:00:00",9002010,3,0
80004,"2022/03/10 4:59:59",36,"2022/03/09 5:00:00",9002011,3,0
80004,"2022/03/11 4:59:59",37,"2022/03/10 5:00:00",9002012,3,0
80004,"2022/03/12 4:59:59",38,"2022/03/11 5:00:00",9002013,3,0
80004,"2022/03/13 4:59:59",39,"2022/03/12 5:00:00",9002014,3,0
80004,"2022/03/14 4:59:59",40,"2022/03/13 5:00:00",9002015,3,0
80004,"2022/03/15 4:59:59",41,"2022/03/14 5:00:00",9002016,3,0
80004,"2022/03/16 4:59:59",42,"2022/03/15 5:00:00",9002017,3,1
70006,"2022/12/25 4:59:59",43,"2022/12/24 5:00:00",400,0,0
70006,"2022/12/26 4:59:59",44,"2022/12/25 5:00:00",401,0,0
80006,"2023/03/01 4:59:59",45,"2023/02/28 5:00:00",9004001,3,0
80006,"2023/03/02 4:59:59",46,"2023/03/01 5:00:00",9004002,3,0
80006,"2023/03/03 4:59:59",47,"2023/03/02 5:00:00",9004003,3,0
80006,"2023/03/04 4:59:59",48,"2023/03/03 5:00:00",9004004,3,0
80006,"2023/03/05 4:59:59",49,"2023/03/04 5:00:00",9004005,3,0
80006,"2023/03/06 4:59:59",50,"2023/03/05 5:00:00",9004006,3,0
80006,"2023/03/07 4:59:59",51,"2023/03/06 5:00:00",9004007,3,0
80006,"2023/03/08 4:59:59",52,"2023/03/07 5:00:00",9004008,3,0
80006,"2023/03/09 4:59:59",53,"2023/03/08 5:00:00",9004009,3,0
80006,"2023/03/10 4:59:59",54,"2023/03/09 5:00:00",9004010,3,0
80006,"2023/03/11 4:59:59",55,"2023/03/10 5:00:00",9004011,3,0
80006,"2023/03/12 4:59:59",56,"2023/03/11 5:00:00",9004012,3,0
80006,"2023/03/13 4:59:59",57,"2023/03/12 5:00:00",9004013,3,0
80006,"2023/03/14 4:59:59",58,"2023/03/13 5:00:00",9004014,3,0
80006,"2023/03/15 4:59:59",59,"2023/03/14 5:00:00",9004015,3,0
80006,"2023/03/16 4:59:59",60,"2023/03/15 5:00:00",9004016,3,0
80006,"2023/03/17 4:59:59",61,"2023/03/16 5:00:00",9004017,3,1
70007,0,62,0,436,1,0
70007,0,63,0,437,2,0
70007,0,64,0,438,3,0
80007,"2023/09/01 4:59:59",65,"2023/08/31 5:00:00",9005001,3,0
80007,"2023/09/02 4:59:59",66,"2023/09/01 5:00:00",9005002,3,0
80007,"2023/09/03 4:59:59",67,"2023/09/02 5:00:00",9005003,3,0
80007,"2023/09/04 4:59:59",68,"2023/09/03 5:00:00",9005004,3,0
80007,"2023/09/05 4:59:59",69,"2023/09/04 5:00:00",9005005,3,0
80007,"2023/09/06 4:59:59",70,"2023/09/05 5:00:00",9005006,3,0
80007,"2023/09/07 4:59:59",71,"2023/09/06 5:00:00",9005007,3,0
80007,"2023/09/08 4:59:59",72,"2023/09/07 5:00:00",9005008,3,0
80007,"2023/09/09 4:59:59",73,"2023/09/08 5:00:00",9005009,3,0
