enemy_id_3,enemy_id_2,enemy_id_4,wave_group_id,odds,enemy_id_1,enemy_id_5,id
710000102,710000101,710000105,710100011,100,710000104,0,710000001
710000202,710000201,710000203,710100021,100,710000204,0,710000002
710000304,710000301,710000305,710100031,100,710000302,0,710000003
710000404,710000401,710000405,710100041,100,710000402,0,710000004
710000505,710000502,710000501,710100051,100,710000504,0,710000005
710000605,710000601,710000602,710100061,100,710000603,710000604,710000006
710000701,710000704,710000702,710100071,100,710000703,710000705,710000007
710000802,710000805,710000801,710100081,100,710000803,710000804,710000008
710000903,710000902,710000904,710100091,100,710000901,710000905,710000009
0,0,0,710100101,100,710001001,0,710000010
710001103,710001101,710001105,710100111,100,710001102,710001104,710000011
710001201,710001205,710001202,710100121,100,710001203,710001204,710000012
710001303,710001301,710001302,710100131,100,710001304,710001305,710000013
710001404,710001401,710001402,710100141,100,710001403,710001405,710000014
710001505,710001501,710001502,710100151,100,710001503,710001504,710000015
710001601,710001602,710001603,710100161,100,710001605,710001604,710000016
710001701,710001703,710001702,710100171,100,710001705,710001704,710000017
710001804,710001801,710001802,710100181,100,710001803,710001805,710000018
710001901,710001902,710001903,710100191,100,710001904,710001905,710000019
710002001,710002002,0,710100201,100,710002002,0,710000020
710002102,710002104,710002101,710100211,100,710002103,710002105,710000021
710002201,710002204,710002202,710100221,100,710002203,710002205,710000022
710002304,710002302,710002301,710100231,100,710002303,710002305,710000023
710002401,710002404,710002402,710100241,100,710002403,710002405,710000024
710002503,710002502,710002504,710100251,100,710002501,710002505,710000025
710002601,710002602,710002605,710100261,100,710002603,710002604,710000026
710002705,710002702,710002701,710100271,100,710002703,710002704,710000027
710002802,710002801,710002805,710100281,100,710002803,710002804,710000028
710002904,710002901,710002902,710100291,100,710002903,710002905,710000029
710003003,710003002,710003001,710100301,100,710003002,0,710000030
710003101,710003102,710003104,710100311,100,710003103,710003105,710000031
710003201,710003204,710003202,710100321,100,710003203,710003205,710000032
710003302,710003304,710003301,710100331,100,710003303,710003305,710000033
710003402,710003404,710003401,710100341,100,710003403,710003405,710000034
710003502,710003501,710003504,710100351,100,710003503,710003505,710000035
710003602,710003601,710003604,710100361,100,710003603,710003605,710000036
710003701,710003704,710003702,710100371,100,710003703,710003705,710000037
710003804,710003801,710003802,710100381,100,710003803,710003805,710000038
710003901,710003902,710003905,710100391,100,710003903,710003904,710000039
710004003,710004002,710004001,710100401,100,710004002,0,710000040
710004104,710004102,710004101,710100411,100,710004103,710004105,710000041
710004202,710004203,710004201,710100421,100,710004204,710004205,710000042
710004302,710004304,710004301,710100431,100,710004303,710004305,710000043
710004403,710004402,710004404,710100441,100,710004401,710004405,710000044
710004502,710004501,710004504,710100451,100,710004503,710004505,710000045
710004602,710004604,710004601,710100461,100,710004603,710004605,710000046
710004702,710004701,710004704,710100471,100,710004703,710004705,710000047
710004802,710004801,710004803,710100481,100,710004805,710004804,710000048
710004901,710004904,710004902,710100491,100,710004903,710004905,710000049
710005003,710005002,710005001,710100501,100,710005002,710005004,710000050
710005103,710005102,710005101,710100511,100,710005104,710005105,710000051
710005204,710005202,710005201,710100521,100,710005203,710005205,710000052
710005303,710005301,710005305,710100531,100,710005302,710005304,710000053
710005401,710005402,710005403,710100541,100,710005405,710005404,710000054
710005502,710005504,710005501,710100551,100,710005503,710005505,710000055
710005603,710005601,710005605,710100561,100,710005602,710005604,710000056
710005702,710005701,710005704,710100571,100,710005703,710005705,710000057
710005804,710005801,710005802,710100581,100,710005803,710005805,710000058
710005903,710005902,710005901,710100591,100,710005904,710005905,710000059
710006003,710006002,710006001,710100601,100,710006002,710006004,710000060
710006104,710006101,710006102,710100611,100,710006103,710006105,710000061
710006201,710006203,710006202,710100621,100,710006205,710006204,710000062
710006302,710006301,710006305,710100631,100,710006304,710006303,710000063
710006401,710006404,710006402,710100641,100,710006403,710006405,710000064
710006501,710006502,710006505,710100651,100,710006503,710006504,710000065
710006603,710006604,710006602,710100661,100,710006601,710006605,710000066
710006705,710006703,710006701,710100671,100,710006704,710006702,710000067
710006802,710006803,710006801,710100681,100,710006805,710006804,710000068
710006901,710006903,710006902,710100691,100,710006904,710006905,710000069
710007004,710007002,710007001,710100701,100,710007002,710007003,710000070
710007103,710007102,710007104,710200711,100,710007101,710007105,710000071
710007203,710007202,710007204,710200721,100,710007201,710007205,710000072
710007303,710007302,710007304,710200731,100,710007301,710007305,710000073
710007403,710007402,710007404,710200741,100,710007401,710007405,710000074
710007502,710007503,710007504,710200751,100,710007501,710007505,710000075
710007603,710007602,710007604,710200761,100,710007601,710007605,710000076
710007703,710007701,710007704,710200771,100,710007702,710007705,710000077
710007803,710007802,710007804,710200781,100,710007801,710007805,710000078
710007902,710007903,710007904,710200791,100,710007901,710007905,710000079
710008002,710008001,710008003,710200801,100,710008001,710008004,710000080
710008103,710008102,710008104,710200811,100,710008101,710008105,710000081
710008203,710008202,710008204,710200821,100,710008201,710008205,710000082
710008303,710008302,710008304,710200831,100,710008301,710008305,710000083
710008403,710008402,710008404,710200841,100,710008401,710008405,710000084
