odds_group_id,bg_id,login_bonus_type,count_num,end_time,stamp_id,count_type,name,login_bonus_id,start_time,adv_play_type
0,530100,2,10,"2024/03/14 4:59:59",0,0,"스타트 대시 로그인 캠페인",20000,"2016/09/01 15:00:00",0
0,530100,2,10,"2099/01/01 23:59:00",0,0,"스타트 대시 로그인 캠페인",20001,"2024/03/14 5:00:00",0
0,0,3,15,"2099/01/01 23:59:00",0,0,"로그인 보너스",30000,"2016/04/01 15:00:00",0
0,0,4,1,"2017/01/01 23:59:00",0,0,"CF 방영 기념 로그인 보너스 제1탄",40000,"2016/09/01 15:00:00",0
0,500160,4,10,"2019/10/15 4:59:59",1,0,"Half Anniversary 로그인 캠페인",40001,"2019/09/28 5:00:00",0
0,40003,4,10,"2020/04/18 4:59:59",2,0,"애니메이션 방영 기념 스탬프 로그인 보너스",40003,"2020/04/08 5:00:00",0
0,40004,4,10,"2099/01/31 4:59:59",3,0,"마나리아 프렌즈 방영 응원 로그인 캠페인",40004,"2099/01/20 5:00:00",0
0,40005,4,10,"2099/04/25 4:59:59",2,0,"Shadowverse 콜라보 로그인 보너스",40005,"2099/03/28 5:00:00",0
0,40006,4,10,"2020/04/16 4:59:59",3,0,"애니메이션 방송 기념 스탬프 로그인 캠페인",40006,"2020/04/06 5:00:00",0
0,40007,4,10,"2021/12/22 4:59:59",2,0,"복각 Re:제로 콜라보 개최 기념 스탬프 로그인 캠페인",40007,"2021/12/10 5:00:00",0
0,40008,4,10,"2099/12/14 4:59:59",3,0,"드라갈리아 로스트 응원 로그인 캠페인",40008,"2099/12/01 5:00:00",0
0,40009,4,10,"2022/04/22 4:59:59",2,0,"복각 데레마스 콜라보 개최 기념 스탬프 로그인 캠페인",40009,"2022/04/05 5:00:00",0
0,40010,4,10,"2029/04/07 4:59:59",3,0,"애니메이션 방송 기념 스탬프 로그인 캠페인",40010,"2029/01/11 5:00:00",0
0,531200,4,6,"2024/03/18 4:59:59",3,0,"메인 스토리 제3부 시작 기념 로그인 캠페인",40011,"2024/03/12 5:00:00",0
0,40012,4,8,"2029/10/30 4:59:59",3,0,"TANITA 콜라보 로그인 캠페인",40012,"2029/09/27 5:00:00",0
0,40013,4,1,"2025/03/02 4:59:59",3,0,"2025년 발렌타인 기념 선물",40013,"2025/02/14 5:00:00",0
0,40014,4,2,"2029/09/11 4:59:59",2,0,"긴다코 하이볼 선술집 콜라보 로그인 캠페인",40014,"2029/08/14 5:00:00",0
