ex_skill_lv_3,main_skill_lv_4,main_skill_lv_8,ex_skill_lv_2,accuracy,physical_penetrate,level,resist_variation_id,rarity,magic_critical,main_skill_lv_7,def,main_skill_lv_1,promotion_level,magic_str,enemy_id,wave_hp_recovery,main_skill_lv_6,atk,ex_skill_lv_1,unit_id,ex_skill_lv_5,main_skill_lv_10,ex_skill_lv_4,physical_critical,energy_reduce_rate,enemy_color,magic_penetrate,dodge,name,main_skill_lv_3,main_skill_lv_2,union_burst_level,wave_energy_recovery,resist_status_id,life_steal,energy_recovery_rate,magic_def,hp_recovery_rate,main_skill_lv_5,main_skill_lv_9,hp
0,1,0,0,0,0,51,0,1,10,0,31,71,1,0,710000101,0,0,1150,0,600101,0,0,0,10,0,0,0,1,"히요리의 섀도우",71,71,71,0,200000001,0,30,21,0,0,0,11536
0,1,0,0,0,0,51,0,1,10,0,35,71,1,792,710000102,0,0,0,0,203200,0,0,0,10,0,0,0,1,"임프",71,71,71,0,200000001,0,30,52,0,0,0,13553
0,1,0,0,0,0,51,0,1,10,0,35,71,1,600,710000103,0,0,0,0,202500,0,0,0,10,0,0,0,1,"케이브 뱃",71,71,71,0,200000001,0,30,48,0,0,0,11969
0,1,0,0,0,0,51,0,1,10,0,300,71,1,0,710000104,0,0,1047,0,201200,0,0,0,10,0,0,0,1,"골렘",71,71,71,0,200000001,0,30,57,0,0,0,12917
0,1,0,0,0,0,51,0,1,10,0,40,71,1,0,710000105,0,0,729,0,201100,0,0,0,10,0,0,0,1,"코볼트",71,71,71,0,200000001,0,30,35,0,0,0,10383
0,1,0,0,0,0,52,0,1,10,0,32,72,1,0,710000201,0,0,1150,0,600301,0,0,0,10,0,0,0,1,"레이의 섀도우",72,72,72,0,200000001,0,30,20,0,0,0,13844
0,1,0,0,0,0,52,0,1,10,0,40,72,1,0,710000202,0,0,897,0,203700,0,0,0,10,0,0,0,1,"넛츠 슈터",72,72,72,0,200000001,0,30,31,0,0,0,16614
0,1,0,0,0,0,52,0,1,10,0,48,72,1,0,710000203,0,0,673,0,203500,0,0,0,10,0,0,0,1,"드릴 몰",72,72,72,0,200000001,0,30,35,0,0,0,17787
0,1,0,0,0,0,52,0,1,10,0,48,72,1,0,710000204,0,0,1310,0,203800,0,0,0,10,0,0,0,1,"오크",72,72,72,0,200000001,0,30,35,0,0,0,25070
0,1,0,0,0,0,52,0,1,10,0,31,72,1,973,710000205,0,0,0,0,202600,0,0,0,10,0,0,0,1,"케이브 스네일",72,72,72,0,200000001,0,30,44,0,0,0,14842
0,1,0,0,0,0,53,0,1,10,0,34,73,1,0,710000301,0,0,1169,0,602101,0,0,0,10,0,0,0,1,"쿠루미의 섀도우",73,73,73,0,200000001,0,30,21,0,0,0,14709
0,1,0,0,0,0,53,0,1,10,0,300,73,1,0,710000302,0,0,853,0,203300,0,0,0,10,0,0,0,1,"고블린 가드",73,73,73,0,200000001,0,30,40,0,0,0,8081
0,1,0,0,0,0,53,0,1,10,0,53,73,1,0,710000303,0,0,1193,0,202901,0,0,0,10,0,0,0,1,"록 리자드",73,73,73,0,200000001,0,30,35,0,0,0,20072
0,1,0,0,0,0,53,0,1,10,0,66,73,1,0,710000304,0,0,1125,0,202700,0,0,0,10,0,0,0,1,"허밋 나이트",73,73,73,0,200000001,0,30,53,0,0,0,16153
0,1,0,0,0,0,53,0,1,10,0,36,73,1,856,710000305,0,0,0,0,203100,0,0,0,10,0,0,0,1,"새끼 왕도마뱀",73,73,73,0,200000001,0,30,49,0,0,0,14384
0,1,0,0,0,0,54,0,1,10,0,33,74,1,0,710000401,0,0,1169,0,600401,0,0,0,10,0,0,0,1,"미소기의 섀도우",74,74,74,0,200000001,0,30,22,0,0,0,14709
0,1,0,0,0,0,54,0,1,10,0,300,74,1,0,710000402,0,0,1246,0,201200,0,0,0,10,0,0,0,1,"골렘",74,74,74,0,200000001,0,30,58,0,0,0,18818
0,1,0,0,0,0,54,0,1,10,0,40,74,1,0,710000403,0,0,816,0,200100,0,0,0,10,0,0,0,1,"우끼끼",74,74,74,0,200000001,0,30,36,0,0,0,12818
0,1,0,0,0,0,54,0,1,10,0,36,74,1,926,710000404,0,0,0,0,202200,0,0,0,10,0,0,0,1,"윙 롭",74,74,74,0,200000001,0,30,49,0,0,0,18979
0,1,0,0,0,0,54,0,1,10,0,36,74,1,926,710000405,0,0,0,0,201000,0,0,0,10,0,0,0,1,"스컬 플레임",74,74,74,0,200000001,0,30,49,0,0,0,18979
0,1,0,0,0,0,55,0,1,10,0,22,75,1,1090,710000501,0,0,0,0,605001,0,0,0,10,0,0,0,1,"미사키의 섀도우",75,75,75,0,200000001,0,30,36,0,0,0,11681
0,1,0,0,0,0,55,0,1,10,0,54,75,1,0,710000502,0,0,1328,0,202901,0,0,0,10,0,0,0,1,"록 리자드",75,75,75,0,200000001,0,30,36,0,0,0,21344
0,1,0,0,0,0,55,0,1,10,0,36,75,1,866,710000503,0,0,0,0,203100,0,0,0,10,0,0,0,1,"새끼 왕도마뱀",75,75,75,0,200000001,0,30,49,0,0,0,18407
0,1,0,0,0,0,55,0,1,10,0,400,75,1,0,710000504,0,0,2608,0,203301,0,0,0,10,0,0,0,1,"정글 가드",75,75,75,0,200000001,0,30,70,0,0,0,27466
0,1,0,0,0,0,55,0,1,10,0,32,75,1,766,710000505,0,0,0,0,204400,0,0,0,10,0,0,0,1,"쁘띠 데빌",75,75,75,0,200000001,0,30,45,0,0,0,14514
0,1,0,0,0,0,56,0,1,10,0,47,76,1,0,710000601,0,0,1069,0,605201,0,0,0,10,0,0,0,1,"리마의 섀도우",0,0,76,0,200000001,0,30,25,0,0,0,20765
