scene_type,sheet_id,id,effect_type,sound_type,que_id
1,vo_caravan,11101,1,1,vo_caravan_105801_start_001
1,vo_caravan,11102,1,1,vo_caravan_105801_start_002
1,vo_caravan,12101,2,1,vo_caravan_105901_start_001
1,vo_caravan,12102,2,1,vo_caravan_105901_start_002
1,vo_caravan,13101,3,1,vo_caravan_106001_start_001
1,vo_caravan,13102,3,1,vo_caravan_106001_start_002
2,vo_caravan,21101,1,1,vo_caravan_105801_dice_001
2,vo_caravan,21102,1,1,vo_caravan_105801_dice_002
2,vo_caravan,22101,2,1,vo_caravan_105901_dice_001
2,vo_caravan,22102,2,1,vo_caravan_105901_dice_002
2,vo_caravan,23101,3,1,vo_caravan_106001_dice_001
2,vo_caravan,23102,3,1,vo_caravan_106001_dice_002
3,vo_caravan,31101,1,1,vo_caravan_105801_slot_001
3,vo_caravan,32101,2,1,vo_caravan_105901_slot_001
3,vo_caravan,33101,3,1,vo_caravan_106001_slot_001
4,vo_caravan,41101,1,1,vo_caravan_105801_dish_001
4,vo_caravan,41102,1,1,vo_caravan_105801_dish_002
4,vo_caravan,42101,2,1,vo_caravan_105901_dish_001
4,vo_caravan,42102,2,1,vo_caravan_105901_dish_002
4,se_caravan,42201,1,2,se_caravan_food_peko
4,se_caravan,42202,2,2,se_caravan_food_coccoro
4,se_caravan,42203,3,2,se_caravan_food_kyaru
4,se_caravan,42204,4,2,se_caravan_food_coccoro
4,se_caravan,42205,100,2,se_caravan_food_onigiri
4,vo_caravan,43101,3,1,vo_caravan_106001_dish_001
4,vo_caravan,43102,3,1,vo_caravan_106001_dish_002
4,vo_caravan,45101,100,1,vo_caravan_onigiri_dish_001
6,vo_caravan,61101,0,1,vo_caravan_105801_goal_001
61,vo_caravan,61201,0,1,vo_caravan_105801_win_001
62,vo_caravan,61301,0,1,vo_caravan_105801_lose_001
6,vo_caravan,62101,0,1,vo_caravan_105901_goal_001
61,vo_caravan,62201,0,1,vo_caravan_105901_win_001
62,vo_caravan,62301,0,1,vo_caravan_105901_lose_001
6,vo_caravan,63101,0,1,vo_caravan_106001_goal_001
61,vo_caravan,63201,0,1,vo_caravan_106001_win_001
62,vo_caravan,63301,0,1,vo_caravan_106001_lose_001
6,vo_caravan,64101,0,1,vo_caravan_118501_goal_001
7,vo_caravan,71101,0,1,vo_caravan_105801_appraise_001
7,vo_caravan,72101,0,1,vo_caravan_105901_appraise_001
7,vo_caravan,73101,0,1,vo_caravan_106001_appraise_001
8,vo_caravan,81101,0,1,vo_caravan_105801_result_001
8,vo_caravan,82101,0,1,vo_caravan_105901_result_001
8,vo_caravan,83101,0,1,vo_caravan_106001_result_001
2,vo_caravan,211101,11,1,vo_caravan_319700_dice_001
2,vo_caravan,211102,11,1,vo_caravan_319700_dice_002
2,vo_caravan,212101,12,1,vo_caravan_319800_dice_001
2,vo_caravan,212102,12,1,vo_caravan_319800_dice_002
2,vo_caravan,213101,13,1,vo_caravan_319900_dice_001
2,vo_caravan,213102,13,1,vo_caravan_319900_dice_002
