talent_id_1,talent_id_4,talent_id_5,enhance_id,enhance_value,talent_id_3,talent_id_2,parameter_type
1,4,5,111,200,3,2,104
1,4,5,211,2,3,2,14
1,4,5,311,2,3,2,103
1,4,5,411,2,3,2,102
1,4,5,511,200,3,2,104
1,4,5,611,250,3,2,1
1,4,5,711,3,3,2,101
1,4,5,811,3,3,2,100
1,4,5,911,200,3,2,104
1,4,5,1011,250,3,2,1
1,4,5,1111,250,3,2,3
1,4,5,1112,250,3,2,5
1,4,5,1211,150,3,2,6
1,4,5,1212,150,3,2,7
1,4,5,1311,200,3,2,104
1,4,5,1411,2,3,2,103
1,4,5,1511,2,3,2,102
1,4,5,1611,250,3,2,1
1,4,5,1711,200,3,2,104
1,4,5,1811,500,3,2,2
1,4,5,1812,500,3,2,4
1,4,5,1911,3,3,2,101
1,4,5,2011,3,3,2,100
1,4,5,2111,200,3,2,104
1,4,5,2211,250,3,2,1
1,4,5,2311,3,3,2,100
1,4,5,2411,3,3,2,101
1,4,5,2511,200,3,2,104
1,4,5,2611,500,3,2,2
1,4,5,2612,500,3,2,4
1,4,5,2711,150,3,2,6
1,4,5,2712,150,3,2,7
1,4,5,2811,500,3,2,2
1,4,5,2812,500,3,2,4
1,4,5,2911,200,3,2,104
1,4,5,3011,250,3,2,3
1,4,5,3012,250,3,2,5
1,4,5,3111,3,3,2,100
1,4,5,3211,3,3,2,101
1,4,5,3311,200,3,2,104
1,4,5,3411,2,3,2,100
1,4,5,3511,200,3,2,104
1,4,5,3611,1,3,2,103
1,4,5,3711,1,3,2,102
1,4,5,3811,250,3,2,2
1,4,5,3812,250,3,2,4
1,4,5,3911,1,3,2,102
1,4,5,4011,200,3,2,104
1,4,5,4111,2,3,2,100
1,4,5,4211,150,3,2,6
1,4,5,4212,150,3,2,7
1,4,5,4311,200,3,2,104
1,4,5,4411,1,3,2,103
1,4,5,4511,200,3,2,104
1,4,5,4611,2,3,2,101
1,4,5,4711,1,3,2,102
1,4,5,4811,200,3,2,104
1,4,5,4911,1,3,2,103
1,4,5,5011,200,3,2,104
1,4,5,5111,2,3,2,101
1,4,5,5211,1,3,2,102
1,4,5,5311,200,3,2,104
1,4,5,5411,150,3,2,6
1,4,5,5412,150,3,2,7
1,4,5,5511,1,3,2,103
1,4,5,5611,200,3,2,104
1,4,5,5711,2,3,2,100
1,4,5,5811,2,3,2,101
1,4,5,5911,1,3,2,103
1,4,5,6011,200,3,2,104
1,4,5,6111,1,3,2,102
1,4,5,6211,250,3,2,2
1,4,5,6212,250,3,2,4
1,4,5,6311,200,3,2,104
1,4,5,6411,1,3,2,103
1,4,5,6511,1,3,2,102
1,4,5,6611,200,3,2,104
