reward_type_3,reward_num_3,id,reward_id_3,reward_id_2,reward_group_id,reward_id_1,reward_type_2,reward_num_1,reward_num_2,reward_type_1
2,31,1,25012,25021,282001001,91002,2,10,8,8
2,31,2,25012,25021,282001002,91002,2,10,8,8
2,32,3,25012,25021,282001003,91002,2,10,8,8
2,32,4,25012,25021,282001004,91002,2,10,8,8
2,33,5,25012,25021,282001005,91002,2,10,8,8
2,33,6,25012,25021,282001006,91002,2,10,9,8
2,34,7,25012,25021,282001007,91002,2,10,9,8
2,35,8,25012,25021,282001008,91002,2,10,9,8
2,35,9,25012,25021,282001009,91002,2,10,9,8
2,37,10,25012,25021,282001010,91002,2,30,10,8
2,41,11,25012,25021,282001011,91002,2,10,10,8
2,43,12,25012,25021,282001012,91002,2,10,11,8
2,46,13,25012,25021,282001013,91002,2,10,11,8
2,48,14,25012,25021,282001014,91002,2,10,12,8
2,50,15,25012,25021,282001015,91002,2,10,12,8
2,53,16,25012,25021,282001016,91002,2,10,13,8
2,55,17,25012,25021,282001017,91002,2,10,14,8
2,58,18,25012,25021,282001018,91002,2,10,14,8
2,60,19,25012,25021,282001019,91002,2,10,15,8
2,62,20,25012,25021,282001020,91002,2,30,15,8
2,68,21,25012,25021,282001021,91002,2,10,16,8
2,70,22,25012,25021,282001022,91002,2,10,16,8
2,72,23,25012,25021,282001023,91002,2,10,16,8
2,75,24,25012,25021,282001024,91002,2,10,17,8
2,77,25,25012,25021,282001025,91002,2,10,18,8
2,79,26,25012,25021,282001026,91002,2,10,18,8
2,82,27,25012,25021,282001027,91002,2,10,19,8
2,84,28,25012,25021,282001028,91002,2,10,19,8
2,86,29,25012,25021,282001029,91002,2,10,19,8
2,89,30,25012,25021,282001030,91002,2,30,20,8
2,94,31,25012,25021,282001031,91002,2,10,20,8
2,96,32,25012,25021,282001032,91002,2,10,21,8
2,99,33,25012,25021,282001033,91002,2,10,21,8
2,101,34,25012,25021,282001034,91002,2,10,22,8
2,103,35,25012,25021,282001035,91002,2,10,22,8
2,106,36,25012,25021,282001036,91002,2,10,23,8
2,108,37,25012,25021,282001037,91002,2,10,23,8
2,111,38,25012,25021,282001038,91002,2,10,24,8
2,113,39,25012,25021,282001039,91002,2,10,25,8
2,115,40,25012,25021,282001040,91002,2,30,25,8
2,121,41,25012,25021,282001041,91002,2,10,26,8
2,123,42,25012,25021,282001042,91002,2,10,27,8
2,125,43,25012,25021,282001043,91002,2,10,28,8
2,128,44,25012,25021,282001044,91002,2,10,28,8
2,130,45,25012,25021,282001045,91002,2,10,29,8
2,132,46,25012,25021,282001046,91002,2,10,30,8
2,135,47,25012,25021,282001047,91002,2,10,30,8
2,137,48,25012,25021,282001048,91002,2,10,31,8
2,139,49,25012,25021,282001049,91002,2,10,31,8
2,142,50,25012,25021,282001050,91002,2,30,31,8
