end_time,purpose_type,description,condition_value_1,start_time,condition_value_3,mission_reward_id,event_id,special_mission_id,mission_condition,condition_num,disp_group,category_icon,system_id,condition_value_2
"2020/02/17 14:59:59",0,"유이, 레이, 히요리의 섀도우를 쓰러뜨리자",0,"2020/01/30 15:00:00",0,81010001,10010,81010001,9001,3,103,601,6011,0
"2020/02/17 14:59:59",0,"번뇌를 36개 없애자",0,"2020/01/30 15:00:00",0,81010002,10010,81010002,9014,36,104,601,6011,0
"2020/02/17 14:59:59",0,"번뇌를 72개 없애자",0,"2020/01/30 15:00:00",0,81010003,10010,81010003,9014,72,105,601,6011,0
"2020/02/17 14:59:59",0,"번뇌를 108개 없애자",0,"2020/01/30 15:00:00",0,81010004,10010,81010004,9014,108,106,601,6011,0
"2020/02/17 14:59:59",0,"스페셜 배틀의 보스 HP를 1,080,000까지 줄이자",0,"2020/01/30 15:00:00",0,81010005,10010,81010005,9013,500000,111,601,6011,0
"2020/02/17 14:59:59",0,"스페셜 배틀의 보스 HP를 540,000까지 줄이자",0,"2020/01/30 15:00:00",0,81010006,10010,81010006,9013,1040000,113,601,6011,0
"2020/02/17 14:59:59",0,"스페셜 배틀의 보스를 격파하자",0,"2020/01/30 15:00:00",0,81010007,10010,81010007,9013,1580000,115,601,6011,0
"2020/03/16 14:59:59",0,"스페셜 배틀의 보스 HP를 5,000,000까지 줄이자",0,"2020/02/27 15:00:00",0,81011001,10011,81011001,9013,500000,103,601,6011,0
"2020/03/16 14:59:59",0,"스페셜 배틀의 보스 HP를 4,000,000까지 줄이자",0,"2020/02/27 15:00:00",0,81011002,10011,81011002,9013,1500000,104,601,6011,0
"2020/03/16 14:59:59",0,"스페셜 배틀의 MODE1을 클리어하자",0,"2020/02/27 15:00:00",0,81011003,10011,81011003,9013,1650000,105,601,6011,0
"2020/03/16 14:59:59",0,"스페셜 배틀의 보스 HP를 2,000,000까지 줄이자",0,"2020/02/27 15:00:00",0,81011004,10011,81011004,9013,3500000,106,601,6011,0
"2020/03/16 14:59:59",0,"스페셜 배틀의 MODE2를 클리어하자",0,"2020/02/27 15:00:00",0,81011005,10011,81011005,9013,3300000,111,601,6011,0
