top_description,event_id,unit_id,description_2,condition_mission_id,id,description_1
"보스 NORMAL 토벌로 오픈!",20004,107601,"[3C404E]보스 NORMAL 토벌로 오픈!",72004021,10,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20005,108001,"[3C404E]보스 NORMAL 토벌로 오픈!",72005021,12,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20007,108201,"[3C404E]보스 NORMAL 토벌로 오픈!",72007021,15,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20009,108501,"[3C404E]보스 NORMAL 토벌로 오픈!",72009021,17,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20010,108901,"[3C404E]보스 NORMAL 토벌로 오픈!",72010021,19,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20011,109001,"[3C404E]보스 NORMAL 토벌로 오픈!",72011021,21,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20013,109301,"[3C404E]보스 NORMAL 토벌로 오픈!",72013021,22,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20015,110101,"[3C404E]보스 NORMAL 토벌로 오픈!",72015021,23,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20016,110501,"[3C404E]보스 NORMAL 토벌로 오픈!",72016021,24,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20018,111201,"[3C404E]보스 NORMAL 토벌로 오픈!",72018021,25,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20020,111601,"[3C404E]보스 NORMAL 토벌로 오픈!",72020021,26,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20021,112101,"[3C404E]보스 NORMAL 토벌로 오픈!",72021021,27,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20022,112301,"[3C404E]보스 NORMAL 토벌로 오픈!",72022021,28,"[3C404E]이벤트를 진행하여 보스에 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]"
"보스 NORMAL 토벌로 오픈!",20025,113001,"[3C404E]보스 NORMAL 토벌로 오픈!",72025021,29,"[3C404E]이벤트를 진행하여 보스에 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]"
"보스 NORMAL 토벌로 오픈!",20026,113201,"[3C404E]보스 NORMAL 토벌로 오픈!",72026021,30,"[3C404E]이벤트를 진행하여 보스에 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]"
"보스 NORMAL 토벌로 오픈!",20027,113501,"[3C404E]보스 NORMAL 토벌로 오픈!",72027021,31,"[3C404E]이벤트를 진행하여 보스에 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]"
"보스 NORMAL 토벌로 오픈!",20029,114101,"[3C404E]보스 NORMAL 토벌로 오픈!",72029021,32,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20031,114601,"[3C404E]보스 NORMAL 토벌로 오픈!",72031021,33,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20032,114701,"[3C404E]보스 NORMAL 토벌로 오픈!",72032021,34,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20033,115601,"[3C404E]보스 NORMAL 토벌로 오픈!",72033021,35,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20035,115801,"[3C404E]보스 NORMAL 토벌로 오픈!",72035021,36,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20038,116801,"[3C404E]보스 NORMAL 토벌로 오픈!",72038021,37,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20040,117401,"[3C404E]보스 NORMAL 토벌로 오픈!",72040021,38,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20042,117801,"[3C404E]보스 NORMAL 토벌로 오픈!",72042021,39,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
