drama_id,param_08,param_07,param_04,command_type,param_01,param_05,param_03,param_02,command_id,param_06
20011,travel_topdrama_r_2000_idle_smile,1,42,1,1,-68,101,105811,1200110001,0.8
20011,travel_topdrama_r_2000_idle_sad_shy,0,-42,1,1,-68,102,106011,1200110002,0.8
20011,mana,0,0,5,0,-75,110,0,1200110003,1
20011,"","","",91,0,"","","",1200110004,""
20011,"","","",93,10,"","",0,1200110005,""
20011,"","","",101,1200110005,"","","",1200110006,""
20011,"","","",3,0,"",0,none,1200110007,0
20011,"","","",91,0,"","","",1200110008,""
20012,"","","",13,105811,"","",103,1200120001,""
20012,"","","",13,106011,"","",104,1200120002,""
20012,"","",travel_topdrama_r_2000_talk_smile_loop,3,105811,1,0,travel_topdrama_r_2000_talk_smile_in,1200120003,0.2
20012,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20001_00,1200120004,""
20012,0,0,1,11,105811,1,10,"캬루도 모험, 즐기고 있나요?\n조미료라면 잔뜩 있으니, 신종\n마물을 발견하면 알려주세요♪",1200120005,0
20012,"","","",91,0,"","","",1200120006,""
20012,"","","",3,105811,"",1,travel_topdrama_r_2000_idle_smile,1200120007,0.2
20012,"","","",3,106011,1,1,travel_topdrama_r_2000_talk_anger_shy,1200120008,0.2
20012,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20001_01,1200120009,""
20012,0,0,1,11,106011,1,10,"너 말이야, 죄다 잘못됐다고!\n찾는 건 보물이고, 마물은 식재료가\n아니라니까!",1200120010,0
20012,"","","",91,0,"","","",1200120011,""
20012,"","","",3,106011,"",1,travel_topdrama_r_2000_idle_sad_shy,1200120012,0.2
20012,"","",travel_topdrama_r_2000_talk_smile_loop,3,105811,1,0,travel_topdrama_r_2000_talk_smile_in,1200120013,0.2
20012,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20001_02,1200120014,""
20012,0,0,1,11,105811,1,10,"자자, 그러지 말고요.\n만약 새로운 마물 요리가 완성되면,\n캬루에게도 나눠줄 테니까요♪",1200120015,0
20012,"","","",91,0,"","","",1200120016,""
20012,"","","",3,105811,"",1,travel_topdrama_r_2000_idle_smile,1200120017,0.2
20012,"","","",112,"","","","",1200120018,""
20012,"","","",91,0,"","","",1200120019,""
20021,travel_topdrama_r_2000_idle_normal,1,42,1,1,-68,101,100211,1200210001,0.8
20021,travel_topdrama_r_2002_sitting_loop,0,-42,1,1,-68,102,100111,1200210002,0.8
20021,travel_topdrama_r_2002_sitting_loop,0,-42,5,3,-68,100,3,1200210003,0.8
20021,mana,0,0,5,0,-75,110,0,1200210004,1
20021,"","","",91,0,"","","",1200210005,""
20021,"","","",93,10,"","",0,1200210006,""
20021,"","","",101,1200210006,"","","",1200210007,""
20021,"","","",3,0,"",0,none,1200210008,0
20021,"","","",91,0,"","","",1200210009,""
20022,"","","",13,100211,"","",103,1200220001,""
20022,"","","",13,100111,"","",104,1200220002,""
20022,"","","",3,100211,1,1,travel_topdrama_r_2000_talk_normal,1200220003,0.2
20022,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20002_00,1200220004,""
20022,0,0,1,11,100211,1,10,"응, 이걸로 됐어.\n상처는 다 아물었는데,\n아직 어디 아프거나 할까?",1200220005,0
20022,"","","",91,0,"","","",1200220006,""
20022,"","","",3,100211,"",1,travel_topdrama_r_2000_idle_normal,1200220007,0.2
20022,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20002_01,1200220008,""
20022,0,0,1,11,100111,1,10,"이제 괜찮아, 고마워!\n역시 이런 긴 여행을 할 때는,\n유이의 마법이 의지가 되네♪",1200220009,0
20022,"","","",91,0,"","","",1200220010,""
20022,"","",travel_topdrama_r_2000_talk_wish_loop_joy,3,100211,1,0,travel_topdrama_r_2000_talk_wish_in_joy,1200220011,0.2
20022,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20002_02,1200220012,""
20022,0,0,1,11,100211,1,10,"천만에요♪\n다치지 않는 게 제일이지만,\n곤란할 때는 사양 말고 말해 줘?",1200220013,0
20022,"","","",91,0,"","","",1200220014,""
20022,"","","",3,100211,"",1,travel_topdrama_r_2000_idle_wish_joy,1200220015,0.2
20022,"","","",112,"","","","",1200220016,""
20022,"","","",91,0,"","","",1200220017,""
20031,travel_topdrama_r_2000_idle_doya,0,-42,1,1,-68,101,100411,1200310001,0.8
20031,travel_topdrama_r_2000_idle_normal,1,42,1,1,-68,102,102011,1200310002,0.8
20031,mana,0,0,5,0,-75,110,0,1200310003,1
20031,"","","",91,0,"","","",1200310004,""
20031,"","","",93,10,"","",0,1200310005,""
20031,"","","",101,1200310005,"","","",1200310006,""
20031,"","","",3,0,"",0,none,1200310007,0
20031,"","","",91,0,"","","",1200310008,""
20032,"","","",13,100411,"","",103,1200320001,""
20032,"","","",13,102011,"","",104,1200320002,""
20032,"","",travel_topdrama_r_2000_talk_doya_loop,3,100411,1,0,travel_topdrama_r_2000_talk_doya_in,1200320003,0.2
20032,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20003_00,1200320004,""
20032,0,0,1,11,100411,1,10,"모험은 말이야, 준비가 중요하거든!\n그래서 헤매지 않게 나침반을\n가져왔어~♪",1200320005,0
20032,"","","",91,0,"","","",1200320006,""
20032,"","","",3,100411,"",1,travel_topdrama_r_2000_idle_doya,1200320007,0.2
20032,"","",travel_topdrama_r_2000_talk_wish_loop,3,102011,1,0,travel_topdrama_r_2000_talk_wish_in,1200320008,0.2
20032,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20003_01,1200320009,""
20032,0,0,1,11,102011,1,10,"미소기, 대단해~♪\n바늘이 빙글빙글 막 돌아가는데\n어떻게 쓰는 거야~?",1200320010,0
20032,"","","",91,0,"","","",1200320011,""
20032,"","","",3,102011,"",1,travel_topdrama_r_2000_idle_wish,1200320012,0.2
20032,"","",travel_topdrama_r_2000_talk_sad_loop_surprise2,3,100411,1,0,travel_topdrama_r_2000_talk_sad_in_surprise2,1200320013,0.2
20032,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20003_02,1200320014,""
20032,0,0,1,11,100411,1,10,"어? 빙글빙글?\n……아~!? 장난에 쓰는 자석이\n같은 주머니에 들어있었다~!",1200320015,0
20032,"","","",91,0,"","","",1200320016,""
20032,"","","",3,100411,"",1,travel_topdrama_r_2000_idle_sad_surprise2,1200320017,0.2
20032,"","","",112,"","","","",1200320018,""
20032,"","","",91,0,"","","",1200320019,""
20041,travel_topdrama_r_2000_idle_normal,1,42,1,1,-68,101,105311,1200410001,0.8
20041,travel_topdrama_r_2000_idle_wish,0,-42,1,1,-68,102,104511,1200410002,0.8
20041,mana,0,0,5,0,-75,110,0,1200410003,1
20041,"","","",91,0,"","","",1200410004,""
20041,"","","",93,10,"","",0,1200410005,""
20041,"","","",101,1200410005,"","","",1200410006,""
20041,"","","",3,0,"",0,none,1200410007,0
20041,"","","",91,0,"","","",1200410008,""
20042,"","","",13,105311,"","",103,1200420001,""
20042,"","","",13,104511,"","",104,1200420002,""
20042,"","",travel_topdrama_r_2000_talk_surprise_loop_sad,3,105311,1,0,travel_topdrama_r_2000_talk_surprise_in_sad,1200420003,0.2
20042,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20004_00,1200420004,""
20042,0,0,1,11,105311,1,10,"무, 무슨 일이냐 쿠우카!?\n얼굴이 새빨갛고 이렇게 땀이 나서……\n어디 몸이라도 안 좋은 거냐!?",1200420005,0
20042,"","","",91,0,"","","",1200420006,""
20042,"","","",3,105311,"",1,travel_topdrama_r_2000_idle_surprise_sad,1200420007,0.2
20042,"","","",3,104511,1,1,travel_topdrama_r_2000_talk_wish_loop,1200420008,0.2
20042,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20004_01,1200420009,""
20042,0,0,1,11,104511,1,10,"지금부터 가는 곳에는 처음 보는\n무서운 마물이 있어서, 분명 쿠우카는\n전무후무한 능욕을 당하겠죠……♪",1200420010,0
20042,"","","",91,0,"","","",1200420011,""
20042,"","","",3,104511,"",1,travel_topdrama_r_2000_idle_wish,1200420012,0.2
20042,"","",travel_topdrama_r_2000_talk_doya_loop_sad,3,105311,1,0,travel_topdrama_r_2000_talk_doya_in_sad,1200420013,0.2
20042,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20004_02,1200420014,""
20042,0,0,1,11,105311,1,10,"뭐야, 늘 하던 망상인가.\n걱정해서 매우 손해 본 기분이 됐어,\n부탁이니 임무에 집중해 줘!",1200420015,0
20042,"","","",91,0,"","","",1200420016,""
20042,"","","",3,105311,"",1,travel_topdrama_r_2000_idle_doya_sad,1200420017,0.2
20042,"","","",112,"","","","",1200420018,""
20042,"","","",91,0,"","","",1200420019,""
20051,travel_topdrama_r_2000_idle_thinking,0,-42,1,1,-68,101,100911,1200510001,0.8
20051,travel_topdrama_r_2000_idle_arm_crossed,1,42,1,1,-68,102,105611,1200510002,0.8
20051,mana,0,0,5,0,-75,110,0,1200510003,1
20051,"","","",91,0,"","","",1200510004,""
20051,"","","",93,10,"","",0,1200510005,""
20051,"","","",101,1200510005,"","","",1200510006,""
20051,"","","",3,0,"",0,none,1200510007,0
20051,"","","",91,0,"","","",1200510008,""
20052,"","","",13,100911,"","",103,1200520001,""
20052,"","","",13,105611,"","",104,1200520002,""
20052,"","","",3,100911,1,1,travel_topdrama_r_2000_talk_thinking,1200520003,0.2
20052,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20005_00,1200520004,""
20052,0,0,1,11,100911,1,10,"내 안의 암흑이 속삭이고 있어……\n수많은 운명의 실이 복잡하게 얽혀,\n이 여행은 이윽고 장대한 모험담이 될 거라고!",1200520005,0
20052,"","","",91,0,"","","",1200520006,""
20052,"","","",3,100911,"",1,travel_topdrama_r_2000_idle_thinking,1200520007,0.2
20052,"","",travel_topdrama_r_2000_talk_arm_crossed_loop,3,105611,1,0,travel_topdrama_r_2000_talk_arm_crossed_in,1200520008,0.2
20052,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20005_01,1200520009,""
20052,0,0,1,11,105611,1,10,"그래?\n그럼 먼저, 불을 피울 가지를 모으는 운명을\n받아들여 주겠니?",1200520010,0
20052,"","","",91,0,"","","",1200520011,""
20052,"","","",3,105611,"",1,travel_topdrama_r_2000_idle_arm_crossed,1200520012,0.2
20052,"","",travel_topdrama_r_2000_talk_doya_loop,3,100911,1,0,travel_topdrama_r_2000_talk_doya_in_blink,1200520013,0.2
20052,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20005_02,1200520014,""
20052,0,0,1,11,100911,1,10,"훗, 이미 그 운명은 받아들였다!\n……만, 그게, 통 모이지 않아서.\n괜찮으면 도와줬으면 좋겠다만.",1200520015,0
20052,"","","",91,0,"","","",1200520016,""
20052,"","","",3,100911,"",1,travel_topdrama_r_2000_idle_doya,1200520017,0.2
20052,"","","",112,"","","","",1200520018,""
20052,"","","",91,0,"","","",1200520019,""
20061,travel_topdrama_r_2000_idle_kyapi,1,42,1,1,-68,101,110911,1200610001,0.8
20061,travel_topdrama_r_2000_idle_doya_sad,0,-42,1,1,-68,102,110811,1200610002,0.8
20061,mana,0,0,5,0,-75,110,0,1200610003,1
20061,"","","",91,0,"","","",1200610004,""
20061,"","","",93,10,"","",0,1200610005,""
20061,"","","",101,1200610005,"","","",1200610006,""
20061,"","","",3,0,"",0,none,1200610007,0
20061,"","","",91,0,"","","",1200610008,""
20062,"","","",13,110911,"","",103,1200620001,""
20062,"","","",13,110811,"","",104,1200620002,""
20062,"","",travel_topdrama_r_2000_talk_kyapi_loop,3,110911,1,0,travel_topdrama_r_2000_talk_kyapi_in,1200620003,0.2
20062,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20006_00,1200620004,""
20062,0,0,1,11,110911,1,10,"치에룬~☆\n치에루치에라, 치에린파,\n치에치에리포푸!",1200620005,0
