condition_num,condition_value_3,visible_flag,mission_description,condition_value_2,mission_condition,category_icon,dungeon_area_id,mission_reward_id,mission_id,emblem_description,disp_group,condition_value_1,end_time,start_time
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32001,32001001,3200101,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/06/16 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32001,32001002,3200102,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/06/16 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32001,32001003,3200103,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/06/16 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32001,32001004,3200104,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/06/16 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32001,32001005,3200105,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2023/06/16 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32002,32001001,3200201,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/08/18 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32002,32001002,3200202,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/08/18 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32002,32001003,3200203,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/08/18 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32002,32001004,3200204,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/08/18 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32002,32001005,3200205,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2023/08/18 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32003,32001001,3200301,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/10/18 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32003,32001002,3200302,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/10/18 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32003,32001003,3200303,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/10/18 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32003,32001004,3200304,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/10/18 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32003,32001005,3200305,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2023/10/18 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32004,32001001,3200401,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/12/13 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32004,32001002,3200402,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/12/13 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32004,32001003,3200403,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/12/13 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32004,32001004,3200404,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2023/12/13 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32004,32001005,3200405,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2023/12/13 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32005,32001001,3200501,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/02/16 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32005,32001002,3200502,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/02/16 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32005,32001003,3200503,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/02/16 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32005,32001004,3200504,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/02/16 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32005,32001005,3200505,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2024/02/16 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32006,32001001,3200601,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/05/16 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32006,32001002,3200602,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/05/16 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32006,32001003,3200603,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/05/16 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32006,32001004,3200604,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/05/16 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32006,32001005,3200605,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2024/05/16 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32007,32001001,3200701,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/08/15 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32007,32001002,3200702,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/08/15 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32007,32001003,3200703,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/08/15 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32007,32001004,3200704,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/08/15 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32007,32001005,3200705,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2024/08/15 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32008,32001001,3200801,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/11/16 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32008,32001002,3200802,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/11/16 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32008,32001003,3200803,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/11/16 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32008,32001004,3200804,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2024/11/16 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32008,32001005,3200805,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2024/11/16 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32009,32001001,3200901,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/02/13 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32009,32001002,3200902,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/02/13 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32009,32001003,3200903,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/02/13 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32009,32001004,3200904,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/02/13 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32009,32001005,3200905,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2025/02/13 5:00:00"
