wave_bgm_que_id,limit_time,background,difficulty,result_boss_position_y,detail_bg_position,wave_group_id,clear_reward_group,wave_bgm_sheet_id,detail_boss_bg_size,detail_boss_bg_height,quest_id,detail_bg_id,battle_name,category_id
bgm_M57,90,100113,1,0,0,701000101,110001,bgm_M57,1,0,90110001,100113,EASY,1
bgm_M57,90,100113,2,0,0,701000102,110001,bgm_M57,1,0,90110002,100113,NORMAL,1
bgm_M57,90,100113,3,0,0,701000103,110001,bgm_M57,1,0,90110003,100113,HARD,1
bgm_M57,90,100113,4,0,0,701000104,110001,bgm_M57,1,0,90110004,100113,"VERY HARD",1
bgm_M57,90,100113,5,0,0,701000105,110001,bgm_M57,1,0,90110005,100113,EXTREME,1
bgm_M169,90,103013,1,0,0,701000201,120001,bgm_M169,1,0,90120001,103013,EASY,2
bgm_M169,90,103013,2,0,0,701000202,120001,bgm_M169,1,0,90120002,103013,NORMAL,2
bgm_M169,90,103013,3,0,0,701000203,120001,bgm_M169,1,0,90120003,103013,HARD,2
bgm_M169,90,103013,4,0,0,701000204,120001,bgm_M169,1,0,90120004,103013,"VERY HARD",2
bgm_M169,90,103013,5,0,0,701000205,120001,bgm_M169,1,0,90120005,103013,EXTREME,2
bgm_M64,90,100113,1,0,0,701000301,130001,bgm_M64,1,0,90130001,100113,EASY,3
bgm_M64,90,100113,2,0,0,701000302,130001,bgm_M64,1,0,90130002,100113,NORMAL,3
bgm_M64,90,100113,3,0,0,701000303,130001,bgm_M64,1,0,90130003,100113,HARD,3
bgm_M64,90,100113,4,0,0,701000304,130001,bgm_M64,1,0,90130004,100113,"VERY HARD",3
bgm_M64,90,100113,5,0,0,701000305,130001,bgm_M64,1,0,90130005,100113,EXTREME,3
bgm_M07,90,100113,1,0,0,701000401,140001,bgm_M07,1,0,90140001,100113,EASY,4
bgm_M07,90,100113,2,0,0,701000402,140001,bgm_M07,1,0,90140002,100113,NORMAL,4
bgm_M07,90,100113,3,0,0,701000403,140001,bgm_M07,1,0,90140003,100113,HARD,4
bgm_M07,90,100113,4,0,0,701000404,140001,bgm_M07,1,0,90140004,100113,"VERY HARD",4
bgm_M07,90,100113,5,0,0,701000405,140001,bgm_M07,1,0,90140005,100113,EXTREME,4
bgm_M170,90,103013,1,0,0,701000501,150001,bgm_M170,1,0,90150001,103013,EASY,5
bgm_M170,90,103013,2,0,0,701000502,150001,bgm_M170,1,0,90150002,103013,NORMAL,5
bgm_M170,90,103013,3,0,0,701000503,150001,bgm_M170,1,0,90150003,103013,HARD,5
bgm_M170,90,103013,4,0,0,701000504,150001,bgm_M170,1,0,90150004,103013,"VERY HARD",5
bgm_M170,90,103013,5,0,0,701000505,150001,bgm_M170,1,0,90150005,103013,EXTREME,5
