title,sub_story_id,original_event_id,reward_type,condition_boss_id,reward_count,reward_id,condition_quest_id
"우리 길드 동료의 아름다움",5120061,10120,8,1014701,20,91002,10147115
"【미식전】의 아름다움",5120062,10120,8,1014701,20,91002,10147115
"【트윙클 위시】의 아름다움",5120063,10120,8,1014701,20,91002,10147115
"【라비린스】의 아름다움",5120064,10120,8,1014701,20,91002,10147115
"【카르미나】의 아름다움",5120065,10120,8,1014701,20,91002,10147115
"【리틀 리리컬】의 아름다움",5120066,10120,8,1014701,20,91002,10147115
"【포레스티에】의 아름다움",5120067,10120,8,1014701,20,91002,10147115
"【악마왕국군(디아볼로스)】의 아름다움",5120068,10120,8,1014701,20,91002,10147115
"【왕궁기사단(NIGHTMARE)】\n의 아름다움",5120069,10120,8,1014701,20,91002,10147115
"【사렌디아 구호원】의 아름다움",5120070,10120,8,1014701,20,91002,10147115
"【자경단(카온)】의 아름다움",5120071,10120,8,1014701,20,91002,10147115
"【목장(엘리자베스 파크)】의 아름다움",5120072,10120,8,1014701,20,91002,10147115
"【메르쿠리우스 재단】의 아름다움",5120073,10120,8,1014701,20,91002,10147115
"【트와일라이트 캐러밴】의 아름다움",5120074,10120,8,1014701,20,91002,10147115
"【루센트 학원】의 아름다움",5120075,10120,8,1014701,20,91002,10147115
"【성 테레사 여학원(단짝부)】의 아름다움",5120076,10120,8,1014701,20,91002,10147115
"【드래곤즈 네스트】의 아름다움",5120077,10120,8,1014701,20,91002,10147115
"???의 아름다움 1",5120078,10120,8,1014701,20,91002,10147115
"???의 아름다움 2",5120079,10120,8,1014701,20,91002,10147115
"???의 아름다움 3",5120080,10120,8,1014701,20,91002,10147115
