pos_y,event_id,character_name,face_type,description,comment_id,start_time,end_time,voice_id,where_type,character_id,change_face_time,change_face_type,pos_x
0.0,1,"카린",1,"미션을 클리어하면\n보상을 받을 수 있어요!\n힘내세요",1000001,"2026/02/27 15:00:00","2030/01/01 14:59:59",1,62,190801,3.414,2,-416.5
0.0,1,"카린",1,"미션을 클리어하고\n보상을 획득하세요!",1000002,"2026/02/27 15:00:00","2030/01/01 14:59:59",2,62,190801,3.099,2,-416.5
0.0,1,"카린",1,"수령 가능한\n보상이 있는 것 같아요\n확인해 보세요",1000003,"2026/02/27 15:00:00","2030/01/01 14:59:59",3,63,190801,2.801,2,-416.5
0.0,1,"카린",2,"보상을 받을 수 있어요!\n확인해 보세요",1000004,"2026/02/27 15:00:00","2030/01/01 14:59:59",4,63,190801,0.0,2,-416.5
0.0,1,"카린",2,"길드 관리 협회예요!\n이벤트 보상권을 갖고 계신다면 다양한 아이템으로 교환할 수 있어요",1000005,"2026/02/27 15:00:00","2030/01/01 14:59:59",5,64,190801,2.12,1,-363.0
0.0,1,"카린",1,"수고하셨어요!\n여기서 이벤트 보상권과 아이템을 교환할 수 있어요",1000006,"2026/02/27 15:00:00","2030/01/01 14:59:59",6,64,190801,1.68,2,-363.0
0.0,1,"카린",2,"언제나 감사합니다!\n보상 교환을 원하시나요?\n그럼 이벤트 보상권을 주시면 교환해 드릴게요",1000007,"2026/02/27 15:00:00","2030/01/01 14:59:59",7,64,190801,2.33,1,-363.0
-6.0,10201,"라비리스타",3,"이번 적은 나 역시도\n간과할 수 없는 존재야\n소년, 나도 전력을 다할 테니\n함께 지키자, 이 세계를",1020101,"2026/02/27 15:00:00","2030/01/01 14:59:59",101,61,133701,5.18,7,-285.0
-2.0,10201,"크리스티나",1,"지루함을 날려 버릴\n싸움의 기운이 느껴지는군, 꼬맹이\n어서 날 그곳으로 데려가라\n세계도 지켜 주지, 덤으로 말이야",1020102,"2026/02/27 15:00:00","2030/01/01 14:59:59",201,61,133901,8.77,2,-285.0
0.0,10201,"네네카",6,"어머, 제 힘이 필요하다……고요?\n그레고르가 돕겠다네요\n저는 왜 싸우지 않느냐는 표정이네요\n……생각해 볼게요",1020103,"2026/02/27 15:00:00","2030/01/01 14:59:59",301,61,133801,15.5,1,-285.0
