clan_battle_id,battle_report_monster_size,cursor_position,background,boss_thumb_id,wave_bgm,position_y,difficulty,position_x,map_position_y,result_boss_position_y,scale_ratio,order_num,quest_detail_monster_height,map_position_x,quest_detail_monster_size,quest_detail_bg_position,battle_report_monster_height,boss_id,tap_height_ratio,tap_width_ratio,quest_detail_bg_id
1001,0.7,210,101001,1,bgm_M64,-120,1,-480,10,250,0.6,1,0,0,0.8,-30,-30,10010101,1.0,1.0,101001
1001,1.0,200,101001,2,bgm_M64,-120,1,-260,10,0,0.75,2,0,0,1.2,-30,0,10010102,1.0,1.0,101001
1001,1.0,200,101001,3,bgm_M64,0,1,-40,0,100,0.75,3,-50,0,1.1,-30,-10,10010103,1.0,1.0,101001
1001,1.0,200,101001,4,bgm_M64,-50,1,240,0,0,0.7,4,0,0,1.0,-30,0,10010104,1.0,1.0,101001
1001,1.0,250,101011,5,bgm_M55,-40,1,480,0,200,1.2,5,0,0,1.3,-30,0,10010105,1.0,1.0,101011
1002,0.7,210,101021,1,bgm_M64,-155,1,-480,10,250,0.6,1,0,0,0.8,-30,-30,10020101,1.0,1.0,101001
1002,1.0,200,101021,2,bgm_M64,-120,1,-265,10,250,0.75,2,0,0,1.2,-30,0,10020102,1.0,1.0,101001
1002,1.0,200,101021,3,bgm_M64,30,1,-30,0,100,0.9,3,-30,-15,1.4,-30,-10,10020103,1.0,1.0,101001
1002,1.25,200,101021,4,bgm_M64,-90,1,220,0,100,1.0,4,-30,0,1.5,-30,0,10020104,1.0,1.0,101001
1002,1.6,250,101031,5,bgm_M55,0,1,440,0,200,1.4,5,0,0,1.8,-30,0,10020105,1.0,1.0,101011
1003,0.7,210,101041,1,bgm_M64,-155,1,-470,10,250,0.6,1,0,0,0.8,-30,-30,10030101,1.0,1.0,101041
1003,1.0,200,101041,2,bgm_M64,-95,1,-210,10,250,0.75,2,0,0,1.2,-30,0,10030102,1.0,1.0,101041
1003,1.0,200,101041,3,bgm_M64,-120,1,50,0,100,0.75,3,-50,0,1.1,-30,-10,10030103,1.0,1.0,101041
1003,1.2,200,101041,4,bgm_M64,35,1,195,0,100,0.8,4,-30,0,1.5,-30,0,10030104,1.0,1.0,101041
1003,1.35,210,101042,5,bgm_M55,-55,1,450,0,150,1.1,5,-50,0,1.8,-30,0,10030105,1.0,1.0,101042
1004,0.7,210,101161,1,bgm_M64,-120,1,-480,10,250,0.6,1,0,0,0.8,-30,-30,10040101,1.0,1.0,101161
1004,1.0,200,101161,2,bgm_M64,-120,1,-260,10,0,0.75,2,0,0,1.2,-30,0,10040102,1.0,1.0,101161
1004,1.0,200,101161,3,bgm_M64,55,1,-20,0,100,0.9,3,-30,-15,1.4,-30,-10,10040103,1.0,1.0,101161
1004,1.0,200,101161,4,bgm_M64,-30,1,180,0,0,0.9,4,-30,0,1.3,-30,0,10040104,1.0,1.0,101161
1004,0.9,250,101162,5,bgm_M55,-60,1,470,0,200,0.9,5,-50,-40,1.2,-30,-30,10040105,1.0,1.0,101162
1005,0.7,210,101171,1,bgm_M64,-120,1,-480,10,250,0.6,1,0,0,0.8,-30,-30,10050101,1.0,1.0,101161
1005,1.0,200,101171,2,bgm_M64,-120,1,-260,10,0,0.75,2,0,0,1.2,-30,0,10050102,1.0,1.0,101161
1005,1.0,200,101171,3,bgm_M64,45,1,-20,0,100,0.9,3,-30,-15,1.4,-30,-10,10050103,1.0,1.0,101161
1005,1.0,200,101171,4,bgm_M64,-70,1,190,0,0,0.7,4,0,0,1.0,-30,0,10050104,1.0,1.0,101161
1005,1.0,240,101172,5,bgm_M55,-25,1,445,0,200,1.0,5,-30,-40,1.3,-30,0,10050105,1.0,1.0,101162
1006,0.7,210,101191,1,bgm_M64,-120,1,-480,10,250,0.6,1,0,0,0.8,-30,-30,10060101,1.0,1.0,101161
1006,1.0,200,101191,2,bgm_M64,-100,1,-260,10,0,0.75,2,0,0,1.2,-30,0,10060102,1.0,1.0,101161
1006,1.0,200,101191,3,bgm_M64,65,1,-10,0,100,0.8,3,0,-15,1.1,-30,-10,10060103,1.0,1.0,101161
1006,1.0,200,101191,4,bgm_M64,-110,1,190,0,0,0.8,4,0,0,1.2,-30,0,10060104,1.0,1.0,101161
1006,1.0,280,101192,5,bgm_M55,-70,1,485,-10,270,0.9,5,-50,0,1.15,-30,-45,10060105,1.0,1.0,101162
1007,0.7,210,101201,1,bgm_M64,-120,1,-480,10,250,0.6,1,0,0,0.8,-30,-30,10070101,1.0,1.0,101161
1007,1.0,240,101201,2,bgm_M64,-120,1,-260,10,120,0.9,2,0,0,1.2,-30,0,10070102,1.0,1.0,101161
1007,1.0,200,101201,3,bgm_M64,65,1,-10,0,100,0.8,3,0,-15,1.1,-30,-10,10070103,1.0,1.0,101161
1007,1.0,200,101201,4,bgm_M64,-110,1,190,0,100,0.9,4,0,0,1.2,-30,0,10070104,1.0,1.0,101161
1007,1.0,250,101202,5,bgm_M55,-30,1,475,10,270,1.0,5,-50,-20,1.45,-30,-45,10070105,1.0,1.0,101162
1008,0.7,210,101291,1,bgm_M64,-120,1,-480,10,250,0.6,1,0,0,0.8,-30,-30,10080101,1.0,1.0,101161
1008,1.0,240,101291,2,bgm_M64,-120,1,-260,10,120,0.9,2,0,0,1.2,-30,0,10080102,1.0,1.0,101161
1008,1.0,200,101291,3,bgm_M64,65,1,-40,0,100,0.8,3,0,-15,1.1,-30,-10,10080103,1.0,1.0,101161
1008,1.3,200,101291,4,bgm_M64,-110,1,150,0,100,0.9,4,0,0,1.3,-30,0,10080104,1.0,1.0,101161
1008,1.3,230,101292,5,bgm_M55,-15,1,490,30,45,1.1,5,15,-20,1.45,-30,30,10080105,1.0,1.0,101162
1009,0.7,210,101301,1,bgm_M64,-120,1,-480,10,250,0.6,1,0,0,0.8,-30,-30,10090101,1.0,1.0,101161
