ailment_action,ailment_name,ailment_id,ailment_detail_1
8,"슬로우",1,1
8,"헤이스트",2,2
8,"마비",3,3
8,"정지",4,4
8,"바인드",5,5
8,"수면",6,6
8,"스턴",7,7
8,"석화",8,8
8,"구류",9,9
9,"구류(데미지)",10,0
9,"독",11,1
9,"화상",12,2
9,"저주",13,3
11,"매혹",14,0
12,"어둠",15,-1
13,"침묵",16,-1
30,"즉사",17,-1
3,"넉백",18,-1
11,"혼란",19,1
9,"맹독",20,4
56,"천리안",21,-1
59,"회복 저해",22,-1
61,"패닉",23,-1
60,"각인 부여",24,-1
62,"공포",25,-1
69,"순록 변신",26,-1
8,"기절",27,10
9,"저주",28,5
70,"HP 변화",29,-1
8,"시간 정지",30,11
76,"HP 회복량 감소",31,-1
78,"약체 피격 데미지 상승",32,-1
79,"행동 시 독 데미지",33,1
8,"스턴(별도 기준)",34,14
9,"독(별도 기준)",35,7
9,"저주(별도 기준)",36,8
11,"혼란(별도 기준)",37,2
8,"결정화",38,13
83,"슬로우(가산 가능)",39,1
83,"헤이스트(가산 가능)",40,2
49,"버프 삭제",41,3
49,"배리어 삭제",42,10
9,"흑염",43,9
99,"헤이스트 필드",44,2
99,"슬로 필드",45,1
49,"버프 소거(지정)",46,20
101,"타격 각인(공격 히트)",47,5
79,"행동 시 계뢰 데미지",48,10
112,"상태 이상 시간 연장",49,9
116,"집착 상태",50,1
117,"아라크네 구속",51,15
11,"조사",52,3
