id,icon_name,effect_name,quest_id,description
100100101,12,"불 속성 보너스 (특대) 증가",81001001,"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
100100102,11,"심역 몬스터",81001001,"모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
100100103,17,"TP 상승 최대치 부여",81001001,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다."
100100104,boss_def_lower_limit,"물리 방어력(감소 불가) 증가",81001001,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
100100105,boss_magic_def_lower_limit,"마법 방어력(감소 불가) 증가",81001001,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
100100106,9,"HP 흡수 감소",81001001,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
100100201,12,"불 속성 보너스 (특대) 증가",81001002,"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
100100202,11,"심역 몬스터",81001002,"모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
100100203,17,"TP 상승 최대치 부여",81001002,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다."
100100204,boss_def_lower_limit,"물리 방어력(감소 불가) 증가",81001002,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
100100205,boss_magic_def_lower_limit,"마법 방어력(감소 불가) 증가",81001002,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
100100206,9,"HP 흡수 감소",81001002,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
100100301,12,"불 속성 보너스 (특대) 증가",81001003,"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
100100302,11,"심역 몬스터",81001003,"모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
100100303,17,"TP 상승 최대치 부여",81001003,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다."
100100304,boss_def_lower_limit,"물리 방어력(감소 불가) 증가",81001003,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
100100305,boss_magic_def_lower_limit,"마법 방어력(감소 불가) 증가",81001003,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
100100306,9,"HP 흡수 감소",81001003,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
100100401,12,"불 속성 보너스 (특대) 증가",81001004,"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
100100402,11,"심역 몬스터",81001004,"모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
100100403,17,"TP 상승 최대치 부여",81001004,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다."
100100404,boss_def_lower_limit,"물리 방어력(감소 불가) 증가",81001004,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
100100405,boss_magic_def_lower_limit,"마법 방어력(감소 불가) 증가",81001004,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
100100406,9,"HP 흡수 감소",81001004,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
100100501,12,"불 속성 보너스 (특대) 증가",81001005,"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
100100502,11,"심역 몬스터",81001005,"모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
100100503,17,"TP 상승 최대치 부여",81001005,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다."
100100504,boss_def_lower_limit,"물리 방어력(감소 불가) 증가",81001005,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
100100505,boss_magic_def_lower_limit,"마법 방어력(감소 불가) 증가",81001005,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
100100506,9,"HP 흡수 감소",81001005,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
100100601,12,"불 속성 보너스 (특대) 증가",81001006,"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
100100602,11,"심역 몬스터",81001006,"모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
100100603,17,"TP 상승 최대치 부여",81001006,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다."
100100604,boss_def_lower_limit,"물리 방어력(감소 불가) 증가",81001006,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
100100605,boss_magic_def_lower_limit,"마법 방어력(감소 불가) 증가",81001006,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
100100606,9,"HP 흡수 감소",81001006,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
100100701,12,"불 속성 보너스 (특대) 증가",81001007,"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
100100702,11,"심역 몬스터",81001007,"모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
100100703,17,"TP 상승 최대치 부여",81001007,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다."
100100704,boss_def_lower_limit,"물리 방어력(감소 불가) 증가",81001007,"전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
100100705,boss_magic_def_lower_limit,"마법 방어력(감소 불가) 증가",81001007,"전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
100100706,9,"HP 흡수 감소",81001007,"전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
100100801,12,"불 속성 보너스 (특대) 증가",81001008,"불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
100100802,11,"심역 몬스터",81001008,"모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
100100803,17,"TP 상승 최대치 부여",81001008,"전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150으로 만든다."
