visible_type,pre_story_id,reward_type_3,reward_value_2,love_level,can_bookmark,reward_type_1,start_time,sub_title,reward_value_3,title,unlock_quest_id,reward_value_1,story_group_id,end_time,lock_all_text,story_end,reward_id_3,story_id,pre_story_id_2,story_quest_id,reward_id_2,reward_id_1,reward_type_2,requirement_id
0,0,0,1,0,1,8,"2019/05/01 15:00:00","선물 대작전 개막!",0,"하츠네의 선물 대작전 오프닝",0,20,5001,"2030/04/24 14:59:59",0,0,0,5001000,0,0,31012,91002,2,0
0,5001000,0,1,0,1,8,"2019/05/01 15:00:00","추억의 귀갓길",0,"하츠네의 선물 대작전 제1화",0,20,5001,"2030/04/24 14:59:59",0,0,0,5001001,0,0,31038,91002,2,0
0,5001001,0,1,0,1,8,"2019/05/01 15:00:00","신기한 책과의 만남",0,"하츠네의 선물 대작전 제2화",0,20,5001,"2030/04/24 14:59:59",0,0,0,5001002,0,0,31012,91002,2,0
0,5001002,0,1,0,1,8,"2019/05/01 15:00:00","DearㆍSister",0,"하츠네의 선물 대작전 제3화",0,20,5001,"2030/04/24 14:59:59",0,0,0,5001003,0,0,31038,91002,2,0
0,5001003,0,1,0,1,8,"2019/05/01 15:00:00","해방된 마물들",0,"하츠네의 선물 대작전 제4화",0,20,5001,"2030/04/24 14:59:59",1,0,0,5001004,0,55001004,31012,91002,2,0
0,5001004,0,1,0,1,8,"2019/05/01 15:00:00","공명하는 마음",0,"하츠네의 선물 대작전 제5화",0,20,5001,"2030/04/24 14:59:59",0,0,0,5001005,0,0,31038,91002,2,0
0,5001005,0,1,0,1,8,"2019/05/01 15:00:00","세 발의 화살",0,"하츠네의 선물 대작전 제6화",0,20,5001,"2030/04/24 14:59:59",1,0,0,5001006,0,55001006,31012,91002,2,0
0,5001006,0,1,0,1,8,"2019/05/01 15:00:00","최고의 선물",0,"하츠네의 선물 대작전 엔딩",0,20,5001,"2030/04/24 14:59:59",0,0,0,5001007,0,0,31038,91002,2,0
0,0,0,1,0,1,8,"2019/05/29 15:00:00","쿄우카 선생님의 스터디 모임",0,"리틀 리리컬 어드벤처! 오프닝",0,20,5002,"2030/04/24 14:59:59",0,0,0,5002000,0,0,31020,91002,2,0
0,5002000,0,1,0,1,8,"2019/05/29 15:00:00","탐험으로의 초대",0,"리틀 리리컬 어드벤처! 제1화",0,20,5002,"2030/04/24 14:59:59",0,0,0,5002001,0,0,31004,91002,2,0
0,5002001,0,1,0,1,8,"2019/05/29 15:00:00","화해의 레시피",0,"리틀 리리컬 어드벤처! 제2화",0,20,5002,"2030/04/24 14:59:59",0,0,0,5002002,0,0,31020,91002,2,0
0,5002002,0,1,0,1,8,"2019/05/29 15:00:00","미소기 탐험대 출발!",0,"리틀 리리컬 어드벤처! 제3화",0,20,5002,"2030/04/24 14:59:59",0,0,0,5002003,0,0,31004,91002,2,0
0,5002003,0,1,0,1,8,"2019/05/29 15:00:00","미궁 트랩 위기일발!",0,"리틀 리리컬 어드벤처! 제4화",0,20,5002,"2030/04/24 14:59:59",0,0,0,5002004,0,0,31020,91002,2,0
0,5002004,0,1,0,1,8,"2019/05/29 15:00:00","전하고 싶었던 마음",0,"리틀 리리컬 어드벤처! 제5화",0,20,5002,"2030/04/24 14:59:59",1,0,0,5002005,0,55002005,31004,91002,2,0
0,5002005,0,1,0,1,8,"2019/05/29 15:00:00","리리컬 오퍼레이션!",0,"리틀 리리컬 어드벤처! 제6화",0,20,5002,"2030/04/24 14:59:59",1,0,0,5002006,0,55002006,31020,91002,2,0
0,5002006,0,1,0,1,8,"2019/05/29 15:00:00","만 점짜리 미소로",0,"리틀 리리컬 어드벤처! 엔딩",0,20,5002,"2030/04/24 14:59:59",0,0,0,5002007,0,0,31004,91002,2,0
