original_event_id,condition_boss_id,sub_story_id,title,reward_id_1,reward_count_1,reward_type_1,read_condition_sub_story_id
10150,1015001,5150061,"네비아의 장난의 길",91002,30,8,0
10150,1015001,5150062,"아이즈 온 유~",91002,30,8,0
10150,1015001,5150063,"기본에 충실하게",91002,30,8,0
10150,1015001,5150064,"위험한 그 사람",91002,30,8,0
10150,1015001,5150065,"강제 변신",91002,30,8,0
10150,1015001,5150066,"아머 퍼지",91002,30,8,0
10150,1015001,5150067,"언니에게 상담♪",91002,30,8,0
10150,1015001,5150068,"라고는 보고 있었다",91002,30,8,0
10150,1015001,5150069,"제로 거리의 접촉",91002,30,8,0
10150,1015001,5150070,"언제나 같은 대답",91002,30,8,0
