stage_id,talk_pos_y,talk_pos_x,col_size_x,create_front_drama_id,position_id_3,position_id_2,event_drama_id,create_back_drama_id,sub_story_id,position_id_1,col_pos_y,col_size_y,idle_drama_id,id,talk_drama_id
2,70.0,455.0,980,101,3,2,501,201,1008201,1,-110.0,215,401,1,301
2,70.0,230.0,515,102,3,2,502,202,1008202,1,-110.0,215,402,2,302
1,70.0,230.0,515,103,3,2,503,203,1008203,1,-110.0,215,403,3,303
1,70.0,230.0,515,104,3,2,504,204,1008204,1,-110.0,215,404,4,304
2,78.0,355.0,787,105,3,2,505,205,1008205,1,-110.0,233,405,5,305
3,78.0,355.0,787,106,3,2,506,206,1008206,1,-110.0,233,406,6,306
3,88.0,345.0,777,107,3,2,507,207,1008207,1,-110.0,233,407,7,307
1,88.0,345.0,777,108,3,2,508,208,1008208,1,-110.0,233,408,8,308
1,88.0,345.0,777,109,3,2,509,209,1008209,1,-110.0,233,409,9,309
3,88.0,355.0,810,110,3,2,510,210,1008210,1,-110.0,233,410,10,310
2,88.0,345.0,777,111,3,2,511,211,1008211,1,-110.0,233,411,11,311
2,70.0,230.0,515,112,3,2,512,212,1008212,1,-110.0,215,412,12,312
1,78.0,355.0,810,113,3,2,513,213,1008213,1,-110.0,233,413,13,313
1,70.0,230.0,515,114,3,2,514,214,1008214,1,-110.0,215,414,14,314
3,70.0,230.0,515,115,3,2,515,215,1008215,1,-110.0,215,415,15,315
2,70.0,275.0,655,116,3,2,516,216,1008216,1,-110.0,215,416,16,316
3,70.0,230.0,515,117,3,2,517,217,1008217,1,-110.0,215,417,17,317
3,88.0,345.0,777,118,3,2,518,218,1008218,1,-110.0,233,418,18,318
