name,description,unit_id,effect_type,effect_description2,effect_description1,buddy_id,effect_value_1,effect_value_2,effect_turn
"라이라엘","최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",126501,1,"","",1001,10001,0,1
"모니카","최대 1000마일을 획득한다",105301,2,"","",1002,10001,0,2
"클로체","요리 {0}개를 획득한다",126401,3,"","",1003,1,0,1
"마츠리","주사위를 {0}번 다시 던질 수 있다",100501,4,"주사위를 {0}번 다시 던질 수 있다\n다시 던질 수 없는 경우, 마일을 획득한다","주사위를 {0}번 다시 던질 수 있다\n(앞으로 {1}번)",1004,1,0,3
"나나카","주사위를 {0}번 다시 던질 수 있다",101301,4,"주사위를 {0}번 다시 던질 수 있다\n다시 던질 수 없는 경우, 마일을 획득한다","주사위를 {0}번 다시 던질 수 있다\n(앞으로 {1}번)",1005,2,0,2
"마코토","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",104301,5,"","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",1006,4,0,2
"에리코","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",102701,5,"","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",1007,3,0,3
"안나","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",100901,6,"","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",1008,7,0,1
"미츠키","최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",105101,1,"","",1009,10001,0,1
"이오","최대 1000 마일을 획득한다",101801,2,"","",1010,10001,0,2
"네피＝네라","주사위의 앞면과 뒷면 중\n어느 쪽을 적용할지 선택할 수 있다",129701,8,"","주사위의 앞면과 뒷면 중\n어느 쪽을 적용할지 선택할 수 있다",1011,0,0,2
"스즈나","주사위를 {0}번 다시 던질 수 있다",101601,4,"주사위를 {0}번 다시 던질 수 있다\n다시 던질 수 없는 경우, 마일을 획득한다","주사위를 {0}번 다시 던질 수 있다\n(앞으로 {1}번)",1012,1,0,3
"루카","주사위를 {0}번 다시 던질 수 있다",105601,4,"주사위를 {0}번 다시 던질 수 있다\n다시 던질 수 없는 경우, 마일을 획득한다","주사위를 {0}번 다시 던질 수 있다\n(앞으로 {1}번)",1013,2,0,2
"미미","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",102001,5,"","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",1014,3,0,3
"아네모네","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",129601,6,"","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",1015,7,0,1
"미소기","나온 숫자가 {0}인 경우,\n라이벌을 {1}턴 쉬게 할 수 있다",100401,10,"","나온 숫자가 {0}인 경우, 라이벌을 {1}턴 쉬게 할 수 있다",1016,1,1,2
"린드","나온 숫자가 {0}인 경우,\n+{1}칸 더 이동한다",127701,13,"","나온 숫자가 {0}인 경우,\n+{1}칸 더 이동한다",1017,2,1,3
"블룸","나온 숫자가 {0}인 경우,\n라이벌을 {1}턴 쉬게 할 수 있다",127801,10,"","나온 숫자가 {0}인 경우,\n라이벌을 {1}턴 쉬게 할 수 있다",1018,1,1,2
"미후유","최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",104801,1,"","",1019,10001,0,1
"쥰","주사위를 {0}번 다시 던질 수 있다",104701,4,"주사위를 {0}번 다시 던질 수 있다\n다시 던질 수 없는 경우, 마일을 획득한다","주사위를 {0}번 다시 던질 수 있다\n(앞으로 {1}번)",1020,2,0,2
"미사키","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",105001,6,"","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",1021,7,0,1
"아키노","최대 2000마일을 획득한다",103201,2,"","",1022,10002,0,1
"쿠루루","추첨권을 {0}장 획득한다",130901,12,"","",1023,1,0,1
"스즈메","요리 {0}개를 획득한다",102501,3,"","",1024,1,0,1
"유키","주사위의 앞면과 뒷면 중\n어느 쪽을 적용할지 선택할 수 있다",100801,8,"","주사위의 앞면과 뒷면 중\n어느 쪽을 적용할지 선택할 수 있다",1025,0,0,2
"네아","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",123301,5,"","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",1026,4,0,2
"타마키","최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",104601,1,"","",1027,10001,0,1
"란파","주사위를 {0}번 다시 던질 수 있다",118101,4,"주사위를 {0}번 다시 던질 수 있다\n다시 던질 수 없는 경우, 마일을 획득한다","주사위를 {0}번 다시 던질 수 있다\n(앞으로 {1}번)",1028,2,0,2
"유카리","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",103401,6,"","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",1029,7,0,1
"크레짓타","최대 2000마일을 획득한다",118001,2,"","",1030,10002,0,1
"사렌","추첨권을 {0}장 획득한다",102801,12,"","",1031,1,0,1
"유이","요리 {0}개를 획득한다",100201,3,"","",1032,1,0,1
"하츠네","나온 숫자가 {0}인 경우,\n+{1}칸 더 이동한다",101201,13,"","나온 숫자가 {0}인 경우,\n+{1}칸 더 이동한다",1033,1,1,3
"미소라","주사위를 {0}번 다시 던질 수 있다",118201,4,"주사위를 {0}번 다시 던질 수 있다\n다시 던질 수 없는 경우, 마일을 획득한다","주사위를 {0}번 다시 던질 수 있다\n(앞으로 {1}번)",1034,1,0,3
"무이미","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",106101,6,"","나온 숫자를 더했을 때 {0} 이상이 될 때까지\n주사위를 추가로 던질 수 있다",1035,7,0,1
"시노부","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",103101,5,"","나온 숫자가 {0}인 주사위를 동시에 던져\n어느 한쪽을 선택할 수 있다",1036,4,0,2
"마히루","최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",103301,1,"","",1037,10001,0,1
"쿄우카","최대 2000마일을 획득한다",103601,2,"","",1038,10002,0,1
"그레이스","추첨권을 {0}장 획득한다",133001,12,"","",1039,1,0,1
"바이올렛","요리 {0}개를 획득한다",133101,3,"","",1040,1,0,1
