reward_get,id,poster,vegetable,arcade,nebbia,jukebox,stock
1,1,0,0,0,0,0,0
2,2,0,0,0,0,0,0
3,3,0,0,0,0,0,0
4,4,0,0,0,0,0,0
5,5,0,0,0,0,0,0
6,6,0,0,0,0,0,0
7,7,0,0,0,0,0,0
8,8,0,0,0,0,0,0
0,9,0,0,0,0,1,0
0,10,0,0,0,1,0,0
11,11,0,0,0,0,0,0
12,12,0,0,0,0,0,0
0,13,0,0,1,0,0,0
0,14,0,0,0,0,0,0
0,15,0,0,0,0,0,0
0,16,0,1,0,0,0,0
0,17,10056,0,0,0,0,0
0,18,0,0,0,0,0,0
19,19,0,0,0,0,0,0
0,20,10061,0,0,0,0,0
0,21,0,0,0,0,0,0
0,22,0,0,0,0,0,0
0,23,0,0,0,0,0,23
0,24,0,0,0,0,0,0
25,25,0,0,0,0,0,0
0,26,10088,0,0,0,0,0
0,27,10102,0,0,0,0,0
28,28,0,0,0,0,0,0
0,29,30001,0,0,0,0,0
30,30,0,0,0,0,0,0
