detail_scale_x,name,description,goods_id,shelf_position_id,rarity,detail_scale_y
0.3046875,"츠무기의 피규어","세세한 디테일에 신경 쓴 약동감 넘치는 최고의 츠무기\n피규어. 최고의 라이브가 주는 열기와 감동이 선명하게 상기돼 하루하루\n활력을 선사한다.",10101,1,3,0.478515625
0.365234375,"노조미의 피규어","세세한 디테일에 신경 쓴 약동감 넘치는 최고의 노조미\n피규어. 최고의 라이브가 주는 열기와 감동이 선명하게 상기돼 하루하루\n활력을 선사한다.",10102,1,3,0.490234375
0.291015625,"치카의 피규어","세세한 디테일에 신경 쓴 약동감 넘치는 최고의 치카\n피규어. 최고의 라이브가 주는 열기와 감동이 선명하게 상기돼 하루하루\n활력을 선사한다.",10103,1,3,0.478515625
0.440625,"츠무기 친필 사인지","츠무기의 개성이 빛나는 친필 사인지. 마음이 담긴 메시지가\n들어가 있다. 가보로 삼은 팬도 많다고 한다.",10201,2,3,0.440625
0.440625,"노조미 친필 사인지","노조미의 개성이 빛나는 친필 사인지. 마음이 담긴 메시지가\n들어가 있다. 가보로 삼은 팬도 많다고 한다.",10202,2,3,0.440625
0.440625,"치카 친필 사인지","치카의 개성이 빛나는 친필 사인지. 마음이 담긴 메시지가\n들어가 있다. 가보로 삼은 팬도 많다고 한다.",10203,2,3,0.440625
1.40625,"츠무기의 메모리얼 핀 배지","츠무기의 서머 라이브 한정 메모리얼 핀 배지. 고급스러운 느낌이 있고\n세련된 디자인. 각 멤버 디자인은 퍼스널 컬러를 재현.\n노려라, 풀 컴플리트!",10301,3,3,1.40625
1.40625,"노조미의 메모리얼 핀 배지","노조미의 서머 라이브 한정 메모리얼 핀 배지. 고급스러운 느낌이 있고\n세련된 디자인. 각 멤버 디자인은 퍼스널 컬러를 재현.\n노려라, 풀 컴플리트!",10302,3,3,1.40625
1.40625,"치카의 메모리얼 핀 배지","치카의 서머 라이브 한정 메모리얼 핀 배지. 고급스러운 느낌이 있고\n세련된 디자인. 각 멤버 디자인은 퍼스널 컬러를 재현.\n노려라, 풀 컴플리트!",10303,3,3,1.40625
1.40625,"카르미나 메모리얼 핀 배지","서머 라이브 개최를 기념해 만들어진 한정 메모리얼 핀 배지.\n엠블럼이 각인된 고급스러운 느낌의 귀한 물건. 각 멤버의\n배지와 함께 구비하자!",10304,3,3,1.40625
