mode,id,enemy_identify,floor_position_x,floor_position_y,disp_order,floor_scale,quest_id,enemy_id
0,1,1,43.5,11.0,1,0.7,320010106,502001102
0,2,2,13.0,67.0,3,0.65,320010106,502001103
0,3,3,-74.0,49.0,2,0.65,320010106,0
0,4,1,-49.0,13.0,1,0.7,320010107,502001108
0,5,2,-4.0,62.0,3,0.85,320010107,502001109
0,6,3,59.0,50.0,2,0.65,320010107,0
0,7,1,0.0,-10.0,1,1.05,320010108,0
0,8,1,-15.0,-10.0,1,1.05,320010109,0
0,9,1,-85.0,-45.0,1,0.43,320010110,0
0,10,2,85.0,-45.0,2,0.43,320010110,0
0,11,1,43.5,11.0,1,0.7,320010206,502001202
0,12,2,13.0,67.0,3,0.65,320010206,502001203
0,13,3,-74.0,49.0,2,0.65,320010206,0
0,14,1,-49.0,13.0,1,0.7,320010207,502001208
0,15,2,-4.0,62.0,3,0.85,320010207,502001209
0,16,3,59.0,50.0,2,0.65,320010207,0
0,17,1,0.0,-10.0,1,1.05,320010208,0
0,18,1,-15.0,-10.0,1,1.05,320010209,0
0,19,1,-85.0,-45.0,1,0.43,320010210,0
0,20,2,85.0,-45.0,2,0.43,320010210,0
0,21,1,43.5,11.0,1,0.7,320010306,502001302
0,22,2,13.0,67.0,3,0.65,320010306,502001303
0,23,3,-74.0,49.0,2,0.65,320010306,0
0,24,1,-49.0,13.0,1,0.7,320010307,502001308
0,25,2,-4.0,62.0,3,0.85,320010307,502001309
0,26,3,59.0,50.0,2,0.65,320010307,0
0,27,1,0.0,-10.0,1,1.05,320010308,0
0,28,1,-15.0,-10.0,1,1.05,320010309,0
0,29,1,-85.0,-45.0,1,0.43,320010310,0
0,30,2,85.0,-45.0,2,0.43,320010310,0
0,31,1,43.5,11.0,1,0.7,320010406,502001402
0,32,2,13.0,67.0,3,0.65,320010406,502001403
0,33,3,-74.0,49.0,2,0.65,320010406,0
0,34,1,-49.0,13.0,1,0.7,320010407,502001408
0,35,2,-4.0,62.0,3,0.85,320010407,502001409
0,36,3,59.0,50.0,2,0.65,320010407,0
0,37,1,0.0,-10.0,1,1.05,320010408,0
0,38,1,-15.0,-10.0,1,1.05,320010409,0
0,39,1,-85.0,-45.0,1,0.43,320010410,0
0,40,2,85.0,-45.0,2,0.43,320010410,0
0,41,1,43.5,11.0,1,0.7,320010506,502001502
0,42,2,13.0,67.0,3,0.65,320010506,502001503
0,43,3,-74.0,49.0,2,0.65,320010506,0
0,44,1,-49.0,13.0,1,0.7,320010507,502001508
0,45,2,-4.0,62.0,3,0.85,320010507,502001509
0,46,3,59.0,50.0,2,0.65,320010507,0
0,47,1,0.0,-10.0,1,1.05,320010508,0
0,48,1,-15.0,-10.0,1,1.05,320010509,0
