text_animation_speed,id,type,diary_id,diary_text,command_param,sheet_name,command,seq_num,cue_name
0,1010001,2,1,"",0.0,vo_10011600,0,1,vo_10011600_0101
8,1010002,1,1," 내일부터 ",0.0,0,0,2,0
0,1010003,4,1,"",1.625,0,1,3,0
10,1010004,1,1,"성 테레사 여학원에 다니게 되었어! ",0.0,0,0,4,0
0,1010005,4,1,"",4.0,0,1,5,0
0,1010006,2,1,"",0.0,vo_10011600,0,6,vo_10011600_0102
8,1010007,1,1,"왜 ",0.0,0,0,7,0
0,1010008,4,1,"",1.375,0,1,8,0
9,1010009,1,1,"어째서 이렇게 되어버린 거지.\n",0.0,0,0,9,0
0,1010010,4,1,"",3.33333333333333,0,1,10,0
0,1010011,2,1,"",0.0,vo_10011600,0,11,vo_10011600_0103
8,1010012,1,1,"미사토 선생님은 ",0.0,0,0,12,0
0,1010013,4,1,"",1.75,0,1,13,0
10,1010014,1,1,"나라면 분명 잘할 수 있을 거라고 했지만…… ",0.0,0,0,14,0
0,1010015,4,1,"",3.0,0,1,15,0
8,1010016,1,1,"절대 그렇지 않아!\n",0.0,0,0,16,0
0,1010017,4,1,"",3.875,0,1,17,0
0,1010018,2,1,"",0.0,vo_10011600,0,18,vo_10011600_0104
8,1010019,1,1,"하지만. ",0.0,0,0,19,0
0,1010020,4,1,"",2.375,0,1,20,0
8,1010021,1,1,"하지만…… ",0.0,0,0,21,0
0,1010022,4,1,"",2.5,0,1,22,0
0,1010023,2,1,"",0.0,vo_10011600,0,23,vo_10011600_0105
8,1010024,1,1,"하지만, ",0.0,0,0,24,0
0,1010025,4,1,"",1.375,0,1,25,0
8,1010026,1,1,"만약 ",0.0,0,0,26,0
0,1010027,4,1,"",1.5,0,1,27,0
8,1010028,1,1,"내가 성 테레사 여학원에서 잘 해내면.\n\n",0.0,0,0,28,0
0,1010029,4,1,"",4.875,0,1,29,0
0,1010030,2,1,"",0.0,vo_10011600,0,30,vo_10011600_0106
6,1010031,1,1,"……친구, ",0.0,0,0,31,0
0,1010032,4,1,"",1.58333333333333,0,1,32,0
8,1010033,1,1,"사귈 수 있을까?",0.0,0,0,33,0
0,1010034,4,1,"",1.75,0,1,34,0
0,1020001,2,2,"",0.0,vo_10011600,0,1,vo_10011600_0201
8,1020002,1,2," 안녕하세요라는 인사로 ",0.0,0,0,2,0
0,1020003,4,2,"",2.375,0,1,3,0
8,1020004,1,2,"내 외톨이 마음은 처음부터 폭발 직전.\n",0.0,0,0,4,0
0,1020005,4,2,"",4.0,0,1,5,0
0,1020006,2,2,"",0.0,vo_10011600,0,6,vo_10011600_0202
8,1020007,1,2,"그런데 ",0.0,0,0,7,0
0,1020008,4,2,"",1.125,0,1,8,0
8,1020009,1,2,"거기에 BB단 단장님이 등장! ",0.0,0,0,9,0
0,1020010,4,2,"",3.75,0,1,10,0
0,1020011,2,2,"",0.0,vo_10011600,0,11,vo_10011600_0203
8,1020012,1,2,"BB단의 연은 ",0.0,0,0,12,0
0,1020013,4,2,"",1.875,0,1,13,0
8,1020014,1,2,"어떤 장소든 떨어지질 않네요!\n",0.0,0,0,14,0
0,1020015,4,2,"",3.75,0,1,15,0
0,1020016,2,2,"",0.0,vo_10011600,0,16,vo_10011600_0204
8,1020017,1,2,"그리고 ",0.0,0,0,17,0
0,1020018,4,2,"",1.0,0,1,18,0
8,1020019,1,2,"그분과 함께 나타난 ",0.0,0,0,19,0
0,1020020,4,2,"",2.0,0,1,20,0
8,1020021,1,2,"성 테레사 여학원",0.0,0,0,21,0
0,1020022,4,2,"",1.125,0,1,22,0
8,1020023,1,2,"(단짝부) 여러분을 알게 되었죠. ",0.0,0,0,23,0
0,1020024,4,2,"",3.5,0,1,24,0
0,1020025,2,2,"",0.0,vo_10011600,0,25,vo_10011600_0205
8,1020026,1,2,"어딘지 정말 개성적인 사람들이라서 ",0.0,0,0,26,0
0,1020027,4,2,"",3.0,0,1,27,0
6,1020028,1,2,"친해질 수 있을지 걱정돼…… ",0.0,0,0,28,0
0,1020029,4,2,"",2.83333333333333,0,1,29,0
0,1030001,2,3,"",0.0,vo_10011600,0,1,vo_10011600_0301
8,1030002,1,3," 저질러버렸어. ",0.0,0,0,2,0
0,1030003,4,3,"",3.0,0,1,3,0
0,1030004,2,3,"",0.0,vo_10011600,0,4,vo_10011600_0302
8,1030005,1,3,"자기소개라는 외톨이의 앞에 놓인 거대한 벽. ",0.0,0,0,5,0
0,1030006,4,3,"",5.125,0,1,6,0
0,1030007,2,3,"",0.0,vo_10011600,0,7,vo_10011600_0303
8,1030008,1,3,"몇 번이고 머릿속에서 연습했는데 ",0.0,0,0,8,0
0,1030009,4,3,"",2.625,0,1,9,0
8,1030010,1,3,"거하게 무너져버렸어. ",0.0,0,0,10,0
0,1030011,4,3,"",2.75,0,1,11,0
0,1030012,2,3,"",0.0,vo_10011600,0,12,vo_10011600_0304
8,1030013,1,3,"같은 반 아이들의 눈길이 나를 향한 순간, ",0.0,0,0,13,0
0,1030014,4,3,"",3.5,0,1,14,0
8,1030015,1,3,"머릿속이 하얘져서 ",0.0,0,0,15,0
0,1030016,4,3,"",2.0,0,1,16,0
10,1030017,1,3,"또 말도 안 되는 말을 해버렸어. ",0.0,0,0,17,0
0,1030018,4,3,"",4.5,0,1,18,0
0,1030019,2,3,"",0.0,vo_10011600,0,19,vo_10011600_0305
8,1030020,1,3,"모두 즐겁게 웃어줬지만 ",0.0,0,0,20,0
0,1030021,4,3,"",3.0,0,1,21,0
8,1030022,1,3,"앞으로가 불안해…… ",0.0,0,0,22,0
